Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Berlin, 11, , 0.3
2020-03-06, , Berlin, 11, , 0.5
2020-03-07, , Berlin, 11, , 0.7
2020-03-08, , Berlin, 11, , 0.7
2020-03-09, , Berlin, 11, , 1
2020-03-10, , Berlin, 11, , 1.6
2020-03-11, , Berlin, 11, , 2.3
2020-03-12, 3.2536, Berlin, 11, 0.0455, 3.3
2020-03-13, 3.8551, Berlin, 11, 0.054, 4.3
2020-03-14, 4.7847, Berlin, 11, 0.067, 5.8
2020-03-15, 6.0971, Berlin, 11, 0.0853, 6.6
2020-03-16, 6.3705, Berlin, 11, 0.0892, 7
2020-03-17, 6.8627, Berlin, 11, 0.0961, 8.1
2020-03-18, 5.9057, Berlin, 11, 0.0827, 9.8
2020-03-19, 8.6125, Berlin, 11, 0.1206, 12.6
2020-03-20, 10.9092, Berlin, 11, 0.1527, 16.2
2020-03-21, 11.8661, Berlin, 11, 0.1661, 19.2
2020-03-22, 14.0808, Berlin, 11, 0.1971, 21.9
2020-03-23, 14.2995, Berlin, 11, 0.2002, 23.1
2020-03-24, 15.9947, Berlin, 11, 0.2239, 25.7
2020-03-25, 18.5648, Berlin, 11, 0.2599, 28.6
2020-03-26, 17.0337, Berlin, 11, 0.2384, 31.3
2020-03-27, 17.3344, Berlin, 11, 0.2426, 34.2
2020-03-28, 16.2681, Berlin, 11, 0.2277, 35.2
2020-03-29, 14.7096, Berlin, 11, 0.2059, 37.2
2020-03-30, 14.819, Berlin, 11, 0.2074, 37.7
2020-03-31, 11.2646, Berlin, 11, 0.1577, 37.9
2020-04-01, 7.6556, Berlin, 11, 0.1072, 38.3
2020-04-02, 4.484, Berlin, 11, 0.0628, 36.7
2020-04-03, -0.1367, Berlin, 11, -0.0017, 35.4
2020-04-04, 0.8202, Berlin, 11, 0.0115, 36.3
2020-04-05, -2.3787, Berlin, 11, -0.0291, 33.7
2020-04-06, -4.1285, Berlin, 11, -0.0506, 33.5
2020-04-07, -2.7068, Berlin, 11, -0.0332, 32.8
2020-04-08, -3.0075, Berlin, 11, -0.0368, 32.6
2020-04-09, -2.4607, Berlin, 11, -0.0301, 32.3
2020-04-10, -3.2263, Berlin, 11, -0.0395, 30.6
2020-04-11, -8.6946, Berlin, 11, -0.1065, 26.4
2020-04-12, -7.5736, Berlin, 11, -0.0928, 25.8
2020-04-13, -7.847, Berlin, 11, -0.0961, 25.2
2020-04-14, -10.0343, Berlin, 11, -0.1229, 22.9
2020-04-15, -13.3699, Berlin, 11, -0.1638, 19.4
2020-04-16, -14.2722, Berlin, 11, -0.1748, 17.6
2020-04-17, -14.4636, Berlin, 11, -0.1772, 15.4
2020-04-18, -9.8976, Berlin, 11, -0.1212, 16.4
2020-04-19, -9.5421, Berlin, 11, -0.1169, 16.2
2020-04-20, -8.8586, Berlin, 11, -0.1085, 15.6
2020-04-21, -7.3275, Berlin, 11, -0.0898, 15.2
2020-04-22, -3.1169, Berlin, 11, -0.0382, 15.3
2020-04-23, -4.648, Berlin, 11, -0.0569, 14.4
2020-04-24, -1.7498, Berlin, 11, -0.0214, 14.2
2020-04-25, -4.484, Berlin, 11, -0.0549, 13
2020-04-26, -4.8941, Berlin, 11, -0.0599, 12.2
2020-04-27, -4.2653, Berlin, 11, -0.0522, 11.9
2020-04-28, -4.1832, Berlin, 11, -0.0512, 12.2
2020-04-29, -4.5933, Berlin, 11, -0.0563, 12.2
2020-04-30, -1.8319, Berlin, 11, -0.0224, 11.8
2020-05-01, -3.1716, Berlin, 11, -0.0388, 11
2020-05-02, -1.9412, Berlin, 11, -0.0238, 9.7
2020-05-03, -2.2967, Berlin, 11, -0.0281, 9
2020-05-04, -2.1053, Berlin, 11, -0.0258, 9.3
2020-05-05, -2.324, Berlin, 11, -0.0285, 9.2
2020-05-06, -2.7888, Berlin, 11, -0.0342, 8.6
2020-05-07, -3.0896, Berlin, 11, -0.0378, 8.4
2020-05-08, -2.2146, Berlin, 11, -0.0271, 8.4
2020-05-09, -1.5585, Berlin, 11, -0.0191, 7.8
2020-05-10, -1.3397, Berlin, 11, -0.0164, 7.4
2020-05-11, -2.2693, Berlin, 11, -0.0278, 6.8
2020-05-12, -2.9802, Berlin, 11, -0.0365, 5.9
2020-05-13, -2.8982, Berlin, 11, -0.0355, 5.4
2020-05-14, -2.9802, Berlin, 11, -0.0365, 5.4
2020-05-15, -3.2263, Berlin, 11, -0.0395, 5.1
2020-05-16, -2.7068, Berlin, 11, -0.0332, 5.4
2020-05-17, -2.324, Berlin, 11, -0.0285, 5.4
2020-05-18, -1.6678, Berlin, 11, -0.0204, 5.4
2020-05-19, -0.1914, Berlin, 11, -0.0023, 5.9
2020-05-20, 0.3281, Berlin, 11, 0.0046, 6.1
2020-05-21, 0.4648, Berlin, 11, 0.0065, 5.7
2020-05-22, 0.1367, Berlin, 11, 0.0019, 4.8
2020-05-23, -0.2461, Berlin, 11, -0.003, 5.2
2020-05-24, -0.1094, Berlin, 11, -0.0013, 5
2020-05-25, -0.2734, Berlin, 11, -0.0033, 4.9
2020-05-26, -0.9843, Berlin, 11, -0.0121, 4.6
2020-05-27, -1.4764, Berlin, 11, -0.0181, 4
2020-05-28, -1.7225, Berlin, 11, -0.0211, 3.9
2020-05-29, -0.6289, Berlin, 11, -0.0077, 4.3
2020-05-30, -1.1757, Berlin, 11, -0.0144, 4.1
2020-05-31, -0.6835, Berlin, 11, -0.0084, 4.5
2020-06-01, -0.2461, Berlin, 11, -0.003, 5.2
2020-06-02, 0.3828, Berlin, 11, 0.0054, 4.6
2020-06-03, 1.4764, Berlin, 11, 0.0207, 5.1
2020-06-04, 1.5858, Berlin, 11, 0.0222, 5.5
2020-06-05, 1.3944, Berlin, 11, 0.0195, 5.7
2020-06-06, 1.2577, Berlin, 11, 0.0176, 5.9
2020-06-07, 0.7929, Berlin, 11, 0.0111, 5.7
2020-06-08, 0.2187, Berlin, 11, 0.0031, 5.2
2020-06-09, 0.8476, Berlin, 11, 0.0119, 5.9
2020-06-10, 0.4921, Berlin, 11, 0.0069, 6.3
2020-06-11, 0.9843, Berlin, 11, 0.0138, 6.9
2020-06-12, 0.3281, Berlin, 11, 0.0046, 7.5
2020-06-13, 2.16, Berlin, 11, 0.0302, 7.7
