Meldedatum, region, region_id, value, difference, trend
2020-03-05, Brandenburg, 12, , , 
2020-03-06, Brandenburg, 12, 0.1, , 
2020-03-07, Brandenburg, 12, 0.1, , 
2020-03-08, Brandenburg, 12, 0.1, , 
2020-03-09, Brandenburg, 12, 0.2, , 
2020-03-10, Brandenburg, 12, 0.4, , 
2020-03-11, Brandenburg, 12, 0.8, , 
2020-03-12, Brandenburg, 12, 1.1, , 
2020-03-13, Brandenburg, 12, 2, 1.6199, 0.0141
2020-03-14, Brandenburg, 12, 2.8, 2.094, 0.0183
2020-03-15, Brandenburg, 12, 3.3, 2.0545, 0.0179
2020-03-16, Brandenburg, 12, 3.9, 2.2915, 0.02
2020-03-17, Brandenburg, 12, 4.5, 2.4891, 0.0217
2020-03-18, Brandenburg, 12, 6.6, 2.4496, 0.0214
2020-03-19, Brandenburg, 12, 8.1, 3.3188, 0.0289
2020-03-20, Brandenburg, 12, 9.4, 4.0299, 0.0351
2020-03-21, Brandenburg, 12, 11, 5.1757, 0.0451
2020-03-22, Brandenburg, 12, 11.5, 5.4917, 0.0479
2020-03-23, Brandenburg, 12, 11.5, 5.0176, 0.0437
2020-03-24, Brandenburg, 12, 12.8, 5.9263, 0.0517
2020-03-25, Brandenburg, 12, 12.5, 6.7165, 0.0586
2020-03-26, Brandenburg, 12, 14.5, 5.2152, 0.0455
2020-03-27, Brandenburg, 12, 15.1, 3.9114, 0.0341
2020-03-28, Brandenburg, 12, 15.8, 3.8719, 0.0338
2020-03-29, Brandenburg, 12, 16.6, 5.2152, 0.0455
2020-03-30, Brandenburg, 12, 16.9, 6.1634, 0.0537
2020-03-31, Brandenburg, 12, 18.5, 4.4645, 0.0389
2020-04-01, Brandenburg, 12, 21.4, 4.6225, 0.0403
2020-04-02, Brandenburg, 12, 20.3, 6.0054, 0.0524
2020-04-03, Brandenburg, 12, 22, 6.0844, 0.053
2020-04-04, Brandenburg, 12, 24.3, 6.7165, 0.0586
2020-04-05, Brandenburg, 12, 24.2, 7.1116, 0.062
2020-04-06, Brandenburg, 12, 24.2, 6.8746, 0.0599
2020-04-07, Brandenburg, 12, 23.4, 5.4127, 0.0472
2020-04-08, Brandenburg, 12, 22.6, 2.6471, 0.0231
2020-04-09, Brandenburg, 12, 24.7, 2.6076, 0.0227
2020-04-10, Brandenburg, 12, 24.6, 2.8051, 0.0245
2020-04-11, Brandenburg, 12, 22.2, -1.5804, -0.0235
2020-04-12, Brandenburg, 12, 22.5, -1.7779, -0.0264
2020-04-13, Brandenburg, 12, 23.2, -2.2915, -0.0341
2020-04-14, Brandenburg, 12, 20.7, -1.5408, -0.0229
2020-04-15, Brandenburg, 12, 18.8, -2.9237, -0.0435
2020-04-16, Brandenburg, 12, 16.7, -4.425, -0.0658
2020-04-17, Brandenburg, 12, 14.7, -6.5585, -0.0975
2020-04-18, Brandenburg, 12, 16.1, -5.8473, -0.087
2020-04-19, Brandenburg, 12, 16.6, -7.1511, -0.1063
