Meldedatum, region, region_id, value, difference, trend
2020-03-05, Sachsen-Anhalt, 15, , , 
2020-03-06, Sachsen-Anhalt, 15, , , 
2020-03-07, Sachsen-Anhalt, 15, , , 
2020-03-08, Sachsen-Anhalt, 15, , , 
2020-03-09, Sachsen-Anhalt, 15, , , 
2020-03-10, Sachsen-Anhalt, 15, , , 
2020-03-11, Sachsen-Anhalt, 15, 0.3, , 
2020-03-12, Sachsen-Anhalt, 15, 0.9, , 
2020-03-13, Sachsen-Anhalt, 15, 1.5, , 
2020-03-14, Sachsen-Anhalt, 15, 2, , 
2020-03-15, Sachsen-Anhalt, 15, 2.1, , 
2020-03-16, Sachsen-Anhalt, 15, 2.1, , 
2020-03-17, Sachsen-Anhalt, 15, 3.7, , 
2020-03-18, Sachsen-Anhalt, 15, 4.7, 4.2647, 0.0521
2020-03-19, Sachsen-Anhalt, 15, 5.8, 4.815, 0.0588
2020-03-20, Sachsen-Anhalt, 15, 7.2, 5.3194, 0.0649
2020-03-21, Sachsen-Anhalt, 15, 9, 4.6774, 0.0571
2020-03-22, Sachsen-Anhalt, 15, 9.7, 5.6404, 0.0689
2020-03-23, Sachsen-Anhalt, 15, 10.4, 5.6863, 0.0694
2020-03-24, Sachsen-Anhalt, 15, 11.8, 8.2543, 0.1008
2020-03-25, Sachsen-Anhalt, 15, 13.4, 7.5206, 0.0918
2020-03-26, Sachsen-Anhalt, 15, 13.9, 6.8327, 0.0834
2020-03-27, Sachsen-Anhalt, 15, 14.6, 5.5487, 0.0677
2020-03-28, Sachsen-Anhalt, 15, 15.9, 3.3476, 0.0409
2020-03-29, Sachsen-Anhalt, 15, 17, 7.7499, 0.0946
2020-03-30, Sachsen-Anhalt, 15, 17.2, 7.062, 0.0862
2020-03-31, Sachsen-Anhalt, 15, 17.5, 4.6774, 0.0571
2020-04-01, Sachsen-Anhalt, 15, 17.2, 3.8979, 0.0476
2020-04-02, Sachsen-Anhalt, 15, 16.6, 3.8061, 0.0465
2020-04-03, Sachsen-Anhalt, 15, 16, 2.8431, 0.0347
2020-04-04, Sachsen-Anhalt, 15, 14.4, 4.3564, 0.0532
2020-04-05, Sachsen-Anhalt, 15, 14.1, -1.8801, -0.0256
2020-04-06, Sachsen-Anhalt, 15, 15, -0.4127, -0.0056
2020-04-07, Sachsen-Anhalt, 15, 12.9, -3.3476, -0.0456
2020-04-08, Sachsen-Anhalt, 15, 12.4, -4.7233, -0.0643
2020-04-09, Sachsen-Anhalt, 15, 12.9, -3.9896, -0.0543
2020-04-10, Sachsen-Anhalt, 15, 12.6, -2.9807, -0.0406
2020-04-11, Sachsen-Anhalt, 15, 11.7, -3.531, -0.0481
2020-04-12, Sachsen-Anhalt, 15, 11.5, -2.6597, -0.0362
2020-04-13, Sachsen-Anhalt, 15, 10.3, -4.2189, -0.0575
2020-04-14, Sachsen-Anhalt, 15, 9.6, -2.8431, -0.0387
2020-04-15, Sachsen-Anhalt, 15, 8.6, -3.1641, -0.0431
2020-04-16, Sachsen-Anhalt, 15, 7.4, -5.0443, -0.0687
2020-04-17, Sachsen-Anhalt, 15, 6.7, -5.3653, -0.0731
2020-04-18, Sachsen-Anhalt, 15, 8.4, -3.4851, -0.0475
2020-04-19, Sachsen-Anhalt, 15, 8.2, -3.21, -0.0437
2020-04-20, Sachsen-Anhalt, 15, 8.3, -2.2011, -0.03
2020-04-21, Sachsen-Anhalt, 15, 8.3, -1.5133, -0.0206
2020-04-22, Sachsen-Anhalt, 15, 8.6, -0.8254, -0.0112
2020-04-23, Sachsen-Anhalt, 15, 8.3, 0.5961, 0.0073
2020-04-24, Sachsen-Anhalt, 15, 8.5, 0.3669, 0.0045
2020-04-25, Sachsen-Anhalt, 15, 6.8, -1.0089, -0.0137
2020-04-26, Sachsen-Anhalt, 15, 6.6, -1.6967, -0.0231
2020-04-27, Sachsen-Anhalt, 15, 6.1, -1.6967, -0.0231
2020-04-28, Sachsen-Anhalt, 15, 5.8, -2.2011, -0.03
2020-04-29, Sachsen-Anhalt, 15, 5.1, -2.7056, -0.0369
2020-04-30, Sachsen-Anhalt, 15, 5.1, -2.7514, -0.0375
2020-05-01, Sachsen-Anhalt, 15, 4.3, -2.7973, -0.0381
2020-05-02, Sachsen-Anhalt, 15, 3.8, -2.6597, -0.0362
2020-05-03, Sachsen-Anhalt, 15, 3.1, -2.889, -0.0394
2020-05-04, Sachsen-Anhalt, 15, 3.1, -3.3017, -0.045
2020-05-05, Sachsen-Anhalt, 15, 3, -2.8431, -0.0387
2020-05-06, Sachsen-Anhalt, 15, 3.3, -2.0636, -0.0281
2020-05-07, Sachsen-Anhalt, 15, 3, -2.6139, -0.0356
2020-05-08, Sachsen-Anhalt, 15, 3, -1.8801, -0.0256
2020-05-09, Sachsen-Anhalt, 15, 2.9, -0.7796, -0.0106
2020-05-10, Sachsen-Anhalt, 15, 2.8, -0.2293, -0.0031
2020-05-11, Sachsen-Anhalt, 15, 2.8, -0.1376, -0.0019
2020-05-12, Sachsen-Anhalt, 15, 2.6, -0.2751, -0.0037
2020-05-13, Sachsen-Anhalt, 15, 2.1, -0.6879, -0.0094
2020-05-14, Sachsen-Anhalt, 15, 2, -0.5961, -0.0081
2020-05-15, Sachsen-Anhalt, 15, 1.9, -0.7337, -0.01
2020-05-16, Sachsen-Anhalt, 15, 1.6, -1.1006, -0.015
2020-05-17, Sachsen-Anhalt, 15, 1.6, -1.1923, -0.0162
2020-05-18, Sachsen-Anhalt, 15, 1.6, -1.1464, -0.0156
2020-05-19, Sachsen-Anhalt, 15, 1.5, -1.1464, -0.0156
2020-05-20, Sachsen-Anhalt, 15, 1.5, -0.642, -0.0087
2020-05-21, Sachsen-Anhalt, 15, 1.2, -0.5044, -0.0069
2020-05-22, Sachsen-Anhalt, 15, 0.9, -0.7796, -0.0106
2020-05-23, Sachsen-Anhalt, 15, 0.9, -0.8254, -0.0112
2020-05-24, Sachsen-Anhalt, 15, 0.8, -0.6879, -0.0094
2020-05-25, Sachsen-Anhalt, 15, 0.7, -0.7796, -0.0106
2020-05-26, Sachsen-Anhalt, 15, 0.9, -0.5503, -0.0075
2020-05-27, Sachsen-Anhalt, 15, 0.6, -0.5961, -0.0081
2020-05-28, Sachsen-Anhalt, 15, 0.6, -0.6879, -0.0094
2020-05-29, Sachsen-Anhalt, 15, 0.5, -0.4586, -0.0062
2020-05-30, Sachsen-Anhalt, 15, 0.5, -0.4127, -0.0056
2020-05-31, Sachsen-Anhalt, 15, 0.6, -0.2751, -0.0037
2020-06-01, Sachsen-Anhalt, 15, 0.6, -0.1376, -0.0019
2020-06-02, Sachsen-Anhalt, 15, 0.4, -0.5044, -0.0069
2020-06-03, Sachsen-Anhalt, 15, 0.5, -0.2293, -0.0031
2020-06-04, Sachsen-Anhalt, 15, 0.4, -0.1376, -0.0019
2020-06-05, Sachsen-Anhalt, 15, 0.6, -0.0459, -0.0006
2020-06-06, Sachsen-Anhalt, 15, 0.7, 0.1376, 0.0017
2020-06-07, Sachsen-Anhalt, 15, 0.6, 0.0459, 0.0006
2020-06-08, Sachsen-Anhalt, 15, 0.6, , 
2020-06-09, Sachsen-Anhalt, 15, 0.6, 0.1834, 0.0022
2020-06-10, Sachsen-Anhalt, 15, 0.8, 0.1376, 0.0017
2020-06-11, Sachsen-Anhalt, 15, 0.9, 0.4127, 0.005
2020-06-12, Sachsen-Anhalt, 15, 0.8, 0.321, 0.0039
2020-06-13, Sachsen-Anhalt, 15, 1.3, 0.1376, 0.0017
2020-06-14, Sachsen-Anhalt, 15, 1.8, 1.1464, 0.014
2020-06-15, Sachsen-Anhalt, 15, 2.3, 1.6509, 0.0202
2020-06-16, Sachsen-Anhalt, 15, 2.6, 1.7884, 0.0218
2020-06-17, Sachsen-Anhalt, 15, 2.8, 1.6967, 0.0207
2020-06-18, Sachsen-Anhalt, 15, 3.5, 2.4763, 0.0302
2020-06-19, Sachsen-Anhalt, 15, 3.9, 3.1641, 0.0386
2020-06-20, Sachsen-Anhalt, 15, 4.2, 3.531, 0.0431
2020-06-21, Sachsen-Anhalt, 15, 3.9, 2.1553, 0.0263
2020-06-22, Sachsen-Anhalt, 15, 3.7, 1.1923, 0.0146
2020-06-23, Sachsen-Anhalt, 15, 3.7, 1.1006, 0.0134
2020-06-24, Sachsen-Anhalt, 15, 3.2, 0.963, 0.0118
2020-06-25, Sachsen-Anhalt, 15, 2.5, -0.963, -0.0131
2020-06-26, Sachsen-Anhalt, 15, 2.1, -1.8343, -0.025
2020-06-27, Sachsen-Anhalt, 15, 1.3, -3.0266, -0.0412
2020-06-28, Sachsen-Anhalt, 15, 1.3, -2.6597, -0.0362
2020-06-29, Sachsen-Anhalt, 15, 1, -2.5221, -0.0344
2020-06-30, Sachsen-Anhalt, 15, 0.7, -2.7514, -0.0375
2020-07-01, Sachsen-Anhalt, 15, 0.8, -2.4304, -0.0331
2020-07-02, Sachsen-Anhalt, 15, 0.6, -1.6509, -0.0225
2020-07-03, Sachsen-Anhalt, 15, 0.7, -1.3757, -0.0187
2020-07-04, Sachsen-Anhalt, 15, 0.7, -0.642, -0.0087
2020-07-05, Sachsen-Anhalt, 15, 0.6, -0.7337, -0.01
2020-07-06, Sachsen-Anhalt, 15, 1, -0.0917, -0.0012
2020-07-07, Sachsen-Anhalt, 15, 1.1, 0.321, 0.0039
2020-07-08, Sachsen-Anhalt, 15, 1.1, 0.2751, 0.0034
2020-07-09, Sachsen-Anhalt, 15, 1.2, 0.3669, 0.0045
2020-07-10, Sachsen-Anhalt, 15, 1.2, 0.5044, 0.0062
2020-07-11, Sachsen-Anhalt, 15, 1.5, 0.5503, 0.0067
2020-07-12, Sachsen-Anhalt, 15, 1.5, 1.0547, 0.0129
2020-07-13, Sachsen-Anhalt, 15, 1.1, 0.2751, 0.0034
2020-07-14, Sachsen-Anhalt, 15, 1, , 
2020-07-15, Sachsen-Anhalt, 15, 1.3, , 
2020-07-16, Sachsen-Anhalt, 15, 1.5, 0.0459, 0.0006
2020-07-17, Sachsen-Anhalt, 15, 1.4, 0.1834, 0.0022
2020-07-18, Sachsen-Anhalt, 15, 1.5, , 
2020-07-19, Sachsen-Anhalt, 15, 1.7, -0.1834, -0.0025
2020-07-20, Sachsen-Anhalt, 15, 1.7, 0.3669, 0.0045
2020-07-21, Sachsen-Anhalt, 15, 1.8, 0.6879, 0.0084
2020-07-22, Sachsen-Anhalt, 15, 1.8, 0.5044, 0.0062
2020-07-23, Sachsen-Anhalt, 15, 1.8, 0.6879, 0.0084
2020-07-24, Sachsen-Anhalt, 15, 1.9, 0.3669, 0.0045
2020-07-25, Sachsen-Anhalt, 15, 1.7, 0.3669, 0.0045
2020-07-26, Sachsen-Anhalt, 15, 1.5, 0.0917, 0.0011
2020-07-27, Sachsen-Anhalt, 15, 1.7, 0.0917, 0.0011
2020-07-28, Sachsen-Anhalt, 15, 1.7, -0.1834, -0.0025
2020-07-29, Sachsen-Anhalt, 15, 1.6, -0.1834, -0.0025
2020-07-30, Sachsen-Anhalt, 15, 1.7, -0.1834, -0.0025
2020-07-31, Sachsen-Anhalt, 15, 1.8, -0.0459, -0.0006
2020-08-01, Sachsen-Anhalt, 15, 1.9, 0.2293, 0.0028
2020-08-02, Sachsen-Anhalt, 15, 1.9, 0.5044, 0.0062
2020-08-03, Sachsen-Anhalt, 15, 1.8, 0.2751, 0.0034
2020-08-04, Sachsen-Anhalt, 15, 1.8, 0.2751, 0.0034
2020-08-05, Sachsen-Anhalt, 15, 1.7, 0.2293, 0.0028
2020-08-06, Sachsen-Anhalt, 15, 1.5, -0.0917, -0.0012
2020-08-07, Sachsen-Anhalt, 15, 1.5, -0.5044, -0.0069
2020-08-08, Sachsen-Anhalt, 15, 1.5, -0.321, -0.0044
2020-08-09, Sachsen-Anhalt, 15, 1.6, -0.6879, -0.0094
2020-08-10, Sachsen-Anhalt, 15, 1.6, -0.4586, -0.0062
2020-08-11, Sachsen-Anhalt, 15, 1.9, -0.2293, -0.0031
2020-08-12, Sachsen-Anhalt, 15, 2.2, 0.0917, 0.0011
2020-08-13, Sachsen-Anhalt, 15, 2.5, 0.642, 0.0078
2020-08-14, Sachsen-Anhalt, 15, 2.5, 1.0089, 0.0123
2020-08-15, Sachsen-Anhalt, 15, 2.7, 1.1464, 0.014
2020-08-16, Sachsen-Anhalt, 15, 2.8, 1.4216, 0.0174
2020-08-17, Sachsen-Anhalt, 15, 2.7, 1.2381, 0.0151
2020-08-18, Sachsen-Anhalt, 15, 2.5, 0.7337, 0.009
2020-08-19, Sachsen-Anhalt, 15, 2.5, 0.5044, 0.0062
2020-08-20, Sachsen-Anhalt, 15, 2.6, 0.0917, 0.0011
2020-08-21, Sachsen-Anhalt, 15, 2.8, 0.0917, 0.0011
2020-08-22, Sachsen-Anhalt, 15, 2.8, -0.0917, -0.0012
