Week, difference, region, region_id, trend, value
2020-12, , Mecklenburg-Vorpommern, 13, , 2.8
2020-13, 0.9, Mecklenburg-Vorpommern, 13, 0.2727, 3.7
2020-14, -2.1, Mecklenburg-Vorpommern, 13, -0.5833, 1.6
2020-15, 1.9, Mecklenburg-Vorpommern, 13, 0.5758, 3.5
2020-16, -1.7, Mecklenburg-Vorpommern, 13, -0.4722, 1.8
2020-17, , Mecklenburg-Vorpommern, 13, , 1.8
2020-18, -1.2, Mecklenburg-Vorpommern, 13, -0.3333, 0.6
2020-19, -0.2, Mecklenburg-Vorpommern, 13, -0.0556, 0.4
2020-20, -0.2, Mecklenburg-Vorpommern, 13, -0.0556, 0.2
2020-21, -0.2, Mecklenburg-Vorpommern, 13, -0.0556, 
2020-22, 0.3, Mecklenburg-Vorpommern, 13, 0.0909, 0.3
2020-23, 0.2, Mecklenburg-Vorpommern, 13, 0.0606, 0.5
2020-24, -0.4, Mecklenburg-Vorpommern, 13, -0.1111, 0.1
2020-25, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 0.2
2020-26, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 0.3
2020-27, -0.3, Mecklenburg-Vorpommern, 13, -0.0833, 
2020-28, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 0.1
2020-29, 0.2, Mecklenburg-Vorpommern, 13, 0.0606, 0.3
2020-30, -0.3, Mecklenburg-Vorpommern, 13, -0.0833, 
2020-31, 1.2, Mecklenburg-Vorpommern, 13, 0.3636, 1.2
2020-32, -0.5, Mecklenburg-Vorpommern, 13, -0.1389, 0.7
2020-33, -0.5, Mecklenburg-Vorpommern, 13, -0.1389, 0.2
2020-34, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 0.3
2020-35, -0.2, Mecklenburg-Vorpommern, 13, -0.0556, 0.1
2020-36, 0.2, Mecklenburg-Vorpommern, 13, 0.0606, 0.3
2020-37, , Mecklenburg-Vorpommern, 13, , 0.3
2020-38, , Mecklenburg-Vorpommern, 13, , 0.3
2020-39, , Mecklenburg-Vorpommern, 13, , 0.3
2020-40, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 1
2020-41, -0.2, Mecklenburg-Vorpommern, 13, -0.0556, 0.8
2020-42, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 1.5
2020-43, 0.9, Mecklenburg-Vorpommern, 13, 0.2727, 2.4
2020-44, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 3.1
2020-45, 1.6, Mecklenburg-Vorpommern, 13, 0.4848, 4.7
2020-46, -1.1, Mecklenburg-Vorpommern, 13, -0.3056, 3.6
2020-47, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 4.3
2020-48, 0.5, Mecklenburg-Vorpommern, 13, 0.1515, 4.8
2020-49, -0.4, Mecklenburg-Vorpommern, 13, -0.1111, 4.4
2020-50, 1.6, Mecklenburg-Vorpommern, 13, 0.4848, 6
2020-51, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 6.7
2020-52, 1.9, Mecklenburg-Vorpommern, 13, 0.5758, 8.6
2020-53, 2.4, Mecklenburg-Vorpommern, 13, 0.7273, 11
2021-01, -1, Mecklenburg-Vorpommern, 13, -0.2778, 10
2021-02, -3, Mecklenburg-Vorpommern, 13, -0.8333, 7
2021-03, 1.3, Mecklenburg-Vorpommern, 13, 0.3939, 8.3
2021-04, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 8.4
2021-05, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 8.5
2021-06, 1, Mecklenburg-Vorpommern, 13, 0.303, 9.5
2021-07, -0.1, Mecklenburg-Vorpommern, 13, -0.0278, 9.4
2021-08, -1, Mecklenburg-Vorpommern, 13, -0.2778, 8.4
2021-09, -1.7, Mecklenburg-Vorpommern, 13, -0.4722, 6.7
2021-10, -1.3, Mecklenburg-Vorpommern, 13, -0.3611, 5.4
2021-11, 1.3, Mecklenburg-Vorpommern, 13, 0.3939, 6.7
2021-12, 1.8, Mecklenburg-Vorpommern, 13, 0.5455, 8.5
2021-13, 3.3, Mecklenburg-Vorpommern, 13, 1, 11.8
2021-14, -1, Mecklenburg-Vorpommern, 13, -0.2778, 10.8
2021-15, -1.6, Mecklenburg-Vorpommern, 13, -0.4444, 9.2
2021-16, 0.8, Mecklenburg-Vorpommern, 13, 0.2424, 10
2021-17, -1, Mecklenburg-Vorpommern, 13, -0.2778, 9
2021-18, -1.7, Mecklenburg-Vorpommern, 13, -0.4722, 7.3
2021-19, -0.8, Mecklenburg-Vorpommern, 13, -0.2222, 6.5
2021-20, -0.3, Mecklenburg-Vorpommern, 13, -0.0833, 6.2
2021-21, -3.6, Mecklenburg-Vorpommern, 13, -1, 2.6
2021-22, -1.5, Mecklenburg-Vorpommern, 13, -0.4167, 1.1
2021-23, -0.1, Mecklenburg-Vorpommern, 13, -0.0278, 1
2021-24, -0.6, Mecklenburg-Vorpommern, 13, -0.1667, 0.4
2021-25, , Mecklenburg-Vorpommern, 13, , 0.4
2021-26, , Mecklenburg-Vorpommern, 13, , 0.4
2021-27, -0.3, Mecklenburg-Vorpommern, 13, -0.0833, 0.1
2021-28, 0.2, Mecklenburg-Vorpommern, 13, 0.0606, 0.3
2021-29, 0.2, Mecklenburg-Vorpommern, 13, 0.0606, 0.5
2021-30, 0.5, Mecklenburg-Vorpommern, 13, 0.1515, 1
2021-31, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 1.1
2021-32, 1, Mecklenburg-Vorpommern, 13, 0.303, 2.1
2021-33, 0.1, Mecklenburg-Vorpommern, 13, 0.0303, 2.2
2021-34, 0.7, Mecklenburg-Vorpommern, 13, 0.2121, 2.9
2021-35, -0.7, Mecklenburg-Vorpommern, 13, -0.1944, 2.2
2021-36, 0.9, Mecklenburg-Vorpommern, 13, 0.2727, 3.1
