Week, difference, trend, value
2020-11, , , 5.8024
2020-12, 1.1091, 0.4633, 6.9115
2020-13, 1.8647, 0.779, 8.7762
2020-14, 0.2383, 0.0996, 9.0146
2020-15, -1.0328, -0.4049, 7.9818
2020-16, -1.2979, -0.5089, 6.6839
2020-17, -1.6992, -0.6662, 4.9846
2020-18, -1.1408, -0.4472, 3.8438
2020-19, -1.2038, -0.4719, 2.64
2020-20, -0.9856, -0.3864, 1.6545
2020-21, -0.1635, -0.0641, 1.4909
2020-22, -0.4286, -0.168, 1.0623
2020-23, -0.122, -0.0478, 0.9403
2020-24, -0.0391, -0.0153, 0.9013
2020-25, 0.5508, 0.2301, 1.4521
2020-26, -0.6232, -0.2443, 0.8289
2020-27, -0.2043, -0.0801, 0.6246
2020-28, -0.0323, -0.0127, 0.5923
2020-29, 0.0706, 0.0295, 0.663
2020-30, 0.1521, 0.0635, 0.8151
2020-31, 0.1842, 0.077, 0.9993
2020-32, 0.0256, 0.0107, 1.0249
2020-33, -0.0441, -0.0173, 0.9808
2020-34, -0.1236, -0.0484, 0.8573
2020-35, -0.1275, -0.05, 0.7298
2020-36, 0.0493, 0.0206, 0.7791
2020-37, 0.1268, 0.053, 0.9058
2020-38, 0.2831, 0.1182, 1.1889
2020-39, 0.0549, 0.0229, 1.2438
2020-40, 0.5213, 0.2178, 1.7651
2020-41, 0.714, 0.2983, 2.4791
2020-42, 1.1025, 0.4605, 3.5816
2020-43, 1.9597, 0.8186, 5.5413
2020-44, 1.5568, 0.6503, 7.0981
2020-45, 0.7648, 0.3195, 7.8629
2020-46, 0.9269, 0.3872, 8.7898
2020-47, 0.5796, 0.2421, 9.3694
2020-48, -0.0377, -0.0148, 9.3317
2020-49, 0.577, 0.241, 9.9087
2020-50, 1.2731, 0.5318, 11.1818
2020-51, 0.0789, 0.033, 11.2607
2020-52, 1.7085, 0.7137, 12.9692
2020-53, 2.3938, 1, 15.3631
2021-01, -2.5507, -1, 12.8124
2021-02, -2.3677, -0.9282, 10.4447
2021-03, -0.5529, -0.2168, 9.8917
2021-04, -1.4356, -0.5628, 8.4561
2021-05, -0.9721, -0.3811, 7.484
2021-06, -1.0837, -0.4248, 6.4003
2021-07, -0.2929, -0.1148, 6.1074
2021-08, 0.042, 0.0176, 6.1494
2021-09, 0.069, 0.0288, 6.2184
2021-10, 0.4731, 0.1976, 6.6915
2021-11, 1.1978, 0.5003, 7.8893
2021-12, 1.4293, 0.5971, 9.3186
2021-13, 1.6064, 0.6711, 10.925
2021-14, 1.1142, 0.4654, 12.0392
2021-15, 0.3995, 0.1669, 12.4386
2021-16, -0.0331, -0.013, 12.4055
2021-17, -1.2436, -0.4876, 11.1619
2021-18, -0.9199, -0.3606, 10.2421
2021-19, -2.0375, -0.7988, 8.2046
2021-20, -2.4358, -0.9549, 5.7688
2021-21, -1.6202, -0.6352, 4.1486
2021-22, -1.0302, -0.4039, 3.1184
2021-23, -0.8082, -0.3169, 2.3101
2021-24, -0.8784, -0.3444, 1.4317
2021-25, -0.4622, -0.1812, 0.9695
2021-26, -0.1592, -0.0624, 0.8104
2021-27, 0.3121, 0.1304, 1.1225
2021-28, 0.5005, 0.2091, 1.623
2021-29, 0.6996, 0.2922, 2.3226
2021-30, 0.6103, 0.2549, 2.9329
2021-31, 0.8817, 0.3683, 3.8146
2021-32, 2.2168, 0.926, 6.0314
2021-33, 1.7797, 0.7435, 7.8111
2021-34, 0.3812, 0.1592, 8.1923
2021-35, 0.4602, 0.1923, 8.6525
2021-36, -0.6634, -0.2601, 7.9892
