Altersgruppe, Week, difference, trend, value
15-34, 2020-12, , , 7.5
15-34, 2020-13, 0.6, 0.1818, 8.1
15-34, 2020-14, -0.2, -0.069, 7.9
15-34, 2020-15, -0.8, -0.2759, 7.1
15-34, 2020-16, -1.4, -0.4828, 5.7
15-34, 2020-17, -0.9, -0.3103, 4.8
15-34, 2020-18, -1.4, -0.4828, 3.4
15-34, 2020-19, -1.1, -0.3793, 2.3
15-34, 2020-20, -0.4, -0.1379, 1.9
15-34, 2020-21, -0.3, -0.1034, 1.6
15-34, 2020-22, -0.3, -0.1034, 1.3
15-34, 2020-23, -0.2, -0.069, 1.1
15-34, 2020-24, 0.1, 0.0303, 1.2
15-34, 2020-25, 0.1, 0.0303, 1.3
15-34, 2020-26, -0.4, -0.1379, 0.9
15-34, 2020-27, -0.1, -0.0345, 0.8
15-34, 2020-28, , , 0.8
15-34, 2020-29, 0.1, 0.0303, 0.9
15-34, 2020-30, , , 0.9
15-34, 2020-31, 0.3, 0.0909, 1.2
15-34, 2020-32, 0.2, 0.0606, 1.4
15-34, 2020-33, 0.1, 0.0303, 1.5
15-34, 2020-34, -0.2, -0.069, 1.3
15-34, 2020-35, -0.1, -0.0345, 1.2
15-34, 2020-36, -0.1, -0.0345, 1.1
15-34, 2020-37, 0.1, 0.0303, 1.2
15-34, 2020-38, 0.3, 0.0909, 1.5
15-34, 2020-39, -0.1, -0.0345, 1.4
15-34, 2020-40, 0.4, 0.1212, 1.8
15-34, 2020-41, 0.8, 0.2424, 2.6
15-34, 2020-42, 1.3, 0.3939, 3.9
15-34, 2020-43, 2.3, 0.697, 6.2
15-34, 2020-44, 1.4, 0.4242, 7.6
15-34, 2020-45, 0.7, 0.2121, 8.3
15-34, 2020-46, 0.9, 0.2727, 9.2
15-34, 2020-47, 0.1, 0.0303, 9.3
15-34, 2020-48, -0.5, -0.1724, 8.8
15-34, 2020-49, 0.7, 0.2121, 9.5
15-34, 2020-50, 0.8, 0.2424, 10.3
15-34, 2020-51, -0.8, -0.2759, 9.5
15-34, 2020-52, 1.5, 0.4545, 11
15-34, 2020-53, 3.3, 1, 14.3
15-34, 2021-01, -1.7, -0.5862, 12.6
15-34, 2021-02, -2.9, -1, 9.7
15-34, 2021-03, -0.9, -0.3103, 8.8
15-34, 2021-04, -1, -0.3448, 7.8
15-34, 2021-05, -1, -0.3448, 6.8
15-34, 2021-06, -0.9, -0.3103, 5.9
15-34, 2021-07, , , 5.9
15-34, 2021-08, 0.7, 0.2121, 6.6
15-34, 2021-09, -0.1, -0.0345, 6.5
15-34, 2021-10, 0.9, 0.2727, 7.4
15-34, 2021-11, 1.4, 0.4242, 8.8
15-34, 2021-12, 1.4, 0.4242, 10.2
15-34, 2021-13, 1.8, 0.5455, 12
15-34, 2021-14, 1.8, 0.5455, 13.8
15-34, 2021-15, 0.1, 0.0303, 13.9
15-34, 2021-16, 0.2, 0.0606, 14.1
15-34, 2021-17, -1.5, -0.5172, 12.6
15-34, 2021-18, -1.2, -0.4138, 11.4
15-34, 2021-19, -1, -0.3448, 10.4
15-34, 2021-20, -2.7, -0.931, 7.7
15-34, 2021-21, -2, -0.6897, 5.7
15-34, 2021-22, -1.4, -0.4828, 4.3
15-34, 2021-23, -0.9, -0.3103, 3.4
15-34, 2021-24, -1.3, -0.4483, 2.1
15-34, 2021-25, -0.6, -0.2069, 1.5
15-34, 2021-26, -0.2, -0.069, 1.3
15-34, 2021-27, 0.5, 0.1515, 1.8
15-34, 2021-28, 1, 0.303, 2.8
15-34, 2021-29, 0.9, 0.2727, 3.7
15-34, 2021-30, 1.2, 0.3636, 4.9
15-34, 2021-31, 1.6, 0.4848, 6.5
15-34, 2021-32, 3, 0.9091, 9.5
15-34, 2021-33, 3.3, 1, 12.8
15-34, 2021-34, 1.1, 0.3333, 13.9
15-34, 2021-35, -0.5, -0.1724, 13.4
15-34, 2021-36, -2, -0.6897, 11.4
