Meldedatum, difference, group, trend, value
2020-03-04, , Inc_100-200, , 
2020-03-05, , Inc_100-200, , 
2020-03-06, , Inc_100-200, , 
2020-03-07, , Inc_100-200, , 
2020-03-08, , Inc_100-200, , 
2020-03-09, , Inc_100-200, , 
2020-03-10, , Inc_100-200, , 
2020-03-11, 1, Inc_100-200, 0.0078, 1
2020-03-12, 1, Inc_100-200, 0.0078, 1
2020-03-13, 1, Inc_100-200, 0.0078, 1
2020-03-14, 1, Inc_100-200, 0.0078, 1
2020-03-15, 1, Inc_100-200, 0.0078, 1
2020-03-16, 1, Inc_100-200, 0.0078, 1
2020-03-17, 1, Inc_100-200, 0.0078, 1
2020-03-18, , Inc_100-200, , 1
2020-03-19, 1, Inc_100-200, 0.0078, 2
2020-03-20, 1, Inc_100-200, 0.0078, 2
2020-03-21, 1, Inc_100-200, 0.0078, 2
2020-03-22, 2, Inc_100-200, 0.0155, 3
2020-03-23, 3, Inc_100-200, 0.0233, 4
2020-03-24, 3, Inc_100-200, 0.0233, 4
2020-03-25, 5, Inc_100-200, 0.0388, 6
2020-03-26, 8, Inc_100-200, 0.062, 10
2020-03-27, 9, Inc_100-200, 0.0698, 11
2020-03-28, 14, Inc_100-200, 0.1085, 16
2020-03-29, 13, Inc_100-200, 0.1008, 16
2020-03-30, 14, Inc_100-200, 0.1085, 18
2020-03-31, 13, Inc_100-200, 0.1008, 17
2020-04-01, 17, Inc_100-200, 0.1318, 23
2020-04-02, 17, Inc_100-200, 0.1318, 27
2020-04-03, 19, Inc_100-200, 0.1473, 30
2020-04-04, 19, Inc_100-200, 0.1473, 35
2020-04-05, 13, Inc_100-200, 0.1008, 29
2020-04-06, 10, Inc_100-200, 0.0775, 28
2020-04-07, 11, Inc_100-200, 0.0853, 28
2020-04-08, 4, Inc_100-200, 0.031, 27
2020-04-09, -2, Inc_100-200, -0.0156, 25
2020-04-10, -12, Inc_100-200, -0.0938, 18
2020-04-11, -18, Inc_100-200, -0.1406, 17
2020-04-12, -10, Inc_100-200, -0.0781, 19
2020-04-13, -11, Inc_100-200, -0.0859, 17
2020-04-14, -13, Inc_100-200, -0.1016, 15
2020-04-15, -14, Inc_100-200, -0.1094, 13
2020-04-16, -15, Inc_100-200, -0.1172, 10
2020-04-17, -9, Inc_100-200, -0.0703, 9
2020-04-18, -11, Inc_100-200, -0.0859, 6
2020-04-19, -14, Inc_100-200, -0.1094, 5
2020-04-20, -11, Inc_100-200, -0.0859, 6
2020-04-21, -9, Inc_100-200, -0.0703, 6
2020-04-22, -8, Inc_100-200, -0.0625, 5
2020-04-23, -7, Inc_100-200, -0.0547, 3
2020-04-24, -6, Inc_100-200, -0.0469, 3
2020-04-25, -4, Inc_100-200, -0.0312, 2
2020-04-26, -3, Inc_100-200, -0.0234, 2
2020-04-27, -3, Inc_100-200, -0.0234, 3
2020-04-28, -3, Inc_100-200, -0.0234, 3
2020-04-29, -2, Inc_100-200, -0.0156, 3
2020-04-30, -2, Inc_100-200, -0.0156, 1
2020-05-01, -3, Inc_100-200, -0.0234, 
2020-05-02, -2, Inc_100-200, -0.0156, 
2020-05-03, -2, Inc_100-200, -0.0156, 
2020-05-04, -3, Inc_100-200, -0.0234, 
2020-05-05, -3, Inc_100-200, -0.0234, 
2020-05-06, -3, Inc_100-200, -0.0234, 
2020-05-07, -1, Inc_100-200, -0.0078, 
2020-05-08, , Inc_100-200, , 
2020-05-09, , Inc_100-200, , 
2020-05-10, , Inc_100-200, , 
2020-05-11, , Inc_100-200, , 
2020-05-12, , Inc_100-200, , 
2020-05-13, , Inc_100-200, , 
2020-05-14, , Inc_100-200, , 
2020-05-15, , Inc_100-200, , 
2020-05-16, , Inc_100-200, , 
2020-05-17, , Inc_100-200, , 
2020-05-18, , Inc_100-200, , 
2020-05-19, , Inc_100-200, , 
2020-05-20, , Inc_100-200, , 
2020-05-21, , Inc_100-200, , 
2020-05-22, , Inc_100-200, , 
2020-05-23, , Inc_100-200, , 
2020-05-24, , Inc_100-200, , 
2020-05-25, , Inc_100-200, , 
2020-05-26, , Inc_100-200, , 
2020-05-27, , Inc_100-200, , 
2020-05-28, , Inc_100-200, , 
2020-05-29, , Inc_100-200, , 
2020-05-30, , Inc_100-200, , 
2020-05-31, , Inc_100-200, , 
2020-06-01, , Inc_100-200, , 
2020-06-02, , Inc_100-200, , 
2020-06-03, , Inc_100-200, , 
2020-06-04, , Inc_100-200, , 
2020-06-05, , Inc_100-200, , 
2020-06-06, , Inc_100-200, , 
2020-06-07, , Inc_100-200, , 
2020-06-08, , Inc_100-200, , 
2020-06-09, , Inc_100-200, , 
2020-06-10, , Inc_100-200, , 
2020-06-11, , Inc_100-200, , 
2020-06-12, , Inc_100-200, , 
2020-06-13, , Inc_100-200, , 
2020-06-14, , Inc_100-200, , 
2020-06-15, , Inc_100-200, , 
2020-06-16, , Inc_100-200, , 
2020-06-17, , Inc_100-200, , 
2020-06-18, 1, Inc_100-200, 0.0078, 1
2020-06-19, 1, Inc_100-200, 0.0078, 1
2020-06-20, , Inc_100-200, , 
2020-06-21, , Inc_100-200, , 
2020-06-22, , Inc_100-200, , 
2020-06-23, , Inc_100-200, , 
2020-06-24, , Inc_100-200, , 
2020-06-25, -1, Inc_100-200, -0.0078, 
2020-06-26, -1, Inc_100-200, -0.0078, 
2020-06-27, 1, Inc_100-200, 0.0078, 1
2020-06-28, 1, Inc_100-200, 0.0078, 1
2020-06-29, , Inc_100-200, , 
2020-06-30, , Inc_100-200, , 
2020-07-01, , Inc_100-200, , 
2020-07-02, , Inc_100-200, , 
2020-07-03, , Inc_100-200, , 
2020-07-04, -1, Inc_100-200, -0.0078, 
2020-07-05, -1, Inc_100-200, -0.0078, 
2020-07-06, , Inc_100-200, , 
2020-07-07, , Inc_100-200, , 
2020-07-08, , Inc_100-200, , 
2020-07-09, , Inc_100-200, , 
2020-07-10, , Inc_100-200, , 
2020-07-11, , Inc_100-200, , 
2020-07-12, , Inc_100-200, , 
2020-07-13, , Inc_100-200, , 
2020-07-14, , Inc_100-200, , 
2020-07-15, , Inc_100-200, , 
2020-07-16, , Inc_100-200, , 
2020-07-17, , Inc_100-200, , 
2020-07-18, , Inc_100-200, , 
2020-07-19, , Inc_100-200, , 
2020-07-20, , Inc_100-200, , 
2020-07-21, , Inc_100-200, , 
2020-07-22, , Inc_100-200, , 
2020-07-23, , Inc_100-200, , 
2020-07-24, , Inc_100-200, , 
2020-07-25, , Inc_100-200, , 
2020-07-26, 1, Inc_100-200, 0.0078, 1
2020-07-27, 1, Inc_100-200, 0.0078, 1
2020-07-28, 1, Inc_100-200, 0.0078, 1
2020-07-29, 1, Inc_100-200, 0.0078, 1
2020-07-30, 1, Inc_100-200, 0.0078, 1
2020-07-31, 1, Inc_100-200, 0.0078, 1
2020-08-01, , Inc_100-200, , 
2020-08-02, , Inc_100-200, , 1
2020-08-03, , Inc_100-200, , 1
2020-08-04, , Inc_100-200, , 1
2020-08-05, -1, Inc_100-200, -0.0078, 
2020-08-06, -1, Inc_100-200, -0.0078, 
2020-08-07, -1, Inc_100-200, -0.0078, 
2020-08-08, 1, Inc_100-200, 0.0078, 1
2020-08-09, , Inc_100-200, , 1
2020-08-10, , Inc_100-200, , 1
2020-08-11, , Inc_100-200, , 1
2020-08-12, 1, Inc_100-200, 0.0078, 1
2020-08-13, , Inc_100-200, , 
2020-08-14, 1, Inc_100-200, 0.0078, 1
2020-08-15, , Inc_100-200, , 1
2020-08-16, , Inc_100-200, , 1
2020-08-17, , Inc_100-200, , 1
2020-08-18, -1, Inc_100-200, -0.0078, 
2020-08-19, -1, Inc_100-200, -0.0078, 
2020-08-20, , Inc_100-200, , 
2020-08-21, -1, Inc_100-200, -0.0078, 
2020-08-22, -1, Inc_100-200, -0.0078, 
2020-08-23, -1, Inc_100-200, -0.0078, 
2020-08-24, -1, Inc_100-200, -0.0078, 
2020-08-25, , Inc_100-200, , 
2020-08-26, , Inc_100-200, , 
2020-08-27, , Inc_100-200, , 
2020-08-28, , Inc_100-200, , 
2020-08-29, , Inc_100-200, , 
2020-08-30, , Inc_100-200, , 
2020-08-31, , Inc_100-200, , 
2020-09-01, , Inc_100-200, , 
2020-09-02, , Inc_100-200, , 
2020-09-03, , Inc_100-200, , 
2020-09-04, , Inc_100-200, , 
2020-09-05, , Inc_100-200, , 
2020-09-06, , Inc_100-200, , 
2020-09-07, , Inc_100-200, , 
2020-09-08, , Inc_100-200, , 
2020-09-09, , Inc_100-200, , 
2020-09-10, , Inc_100-200, , 
2020-09-11, , Inc_100-200, , 
2020-09-12, , Inc_100-200, , 
2020-09-13, , Inc_100-200, , 
2020-09-14, , Inc_100-200, , 
2020-09-15, , Inc_100-200, , 
2020-09-16, , Inc_100-200, , 
2020-09-17, , Inc_100-200, , 
2020-09-18, , Inc_100-200, , 
2020-09-19, , Inc_100-200, , 
2020-09-20, , Inc_100-200, , 
2020-09-21, , Inc_100-200, , 
2020-09-22, , Inc_100-200, , 
2020-09-23, , Inc_100-200, , 
2020-09-24, , Inc_100-200, , 
2020-09-25, , Inc_100-200, , 
2020-09-26, , Inc_100-200, , 
2020-09-27, , Inc_100-200, , 
2020-09-28, 1, Inc_100-200, 0.0078, 1
2020-09-29, , Inc_100-200, , 
2020-09-30, , Inc_100-200, , 
2020-10-01, , Inc_100-200, , 
2020-10-02, , Inc_100-200, , 
2020-10-03, 1, Inc_100-200, 0.0078, 1
2020-10-04, 1, Inc_100-200, 0.0078, 1
2020-10-05, -1, Inc_100-200, -0.0078, 
2020-10-06, , Inc_100-200, , 
2020-10-07, , Inc_100-200, , 
2020-10-08, 2, Inc_100-200, 0.0155, 2
2020-10-09, 2, Inc_100-200, 0.0155, 2
2020-10-10, 2, Inc_100-200, 0.0155, 3
2020-10-11, 2, Inc_100-200, 0.0155, 3
2020-10-12, 4, Inc_100-200, 0.031, 4
2020-10-13, 5, Inc_100-200, 0.0388, 5
2020-10-14, 6, Inc_100-200, 0.0465, 6
2020-10-15, 8, Inc_100-200, 0.062, 10
2020-10-16, 13, Inc_100-200, 0.1008, 15
2020-10-17, 16, Inc_100-200, 0.124, 19
2020-10-18, 21, Inc_100-200, 0.1628, 24
2020-10-19, 21, Inc_100-200, 0.1628, 25
2020-10-20, 23, Inc_100-200, 0.1783, 28
2020-10-21, 27, Inc_100-200, 0.2093, 33
2020-10-22, 33, Inc_100-200, 0.2558, 43
2020-10-23, 38, Inc_100-200, 0.2946, 53
2020-10-24, 55, Inc_100-200, 0.4264, 74
2020-10-25, 66, Inc_100-200, 0.5116, 90
2020-10-26, 84, Inc_100-200, 0.6512, 109
2020-10-27, 100, Inc_100-200, 0.7752, 128
2020-10-28, 111, Inc_100-200, 0.8605, 144
2020-10-29, 123, Inc_100-200, 0.9535, 166
2020-10-30, 129, Inc_100-200, 1, 182
2020-10-31, 119, Inc_100-200, 0.9225, 193
2020-11-01, 111, Inc_100-200, 0.8605, 201
2020-11-02, 97, Inc_100-200, 0.7519, 206
2020-11-03, 83, Inc_100-200, 0.6434, 211
2020-11-04, 59, Inc_100-200, 0.4574, 203
2020-11-05, 54, Inc_100-200, 0.4186, 220
2020-11-06, 34, Inc_100-200, 0.2636, 216
2020-11-07, 26, Inc_100-200, 0.2016, 219
2020-11-08, 10, Inc_100-200, 0.0775, 211
2020-11-09, 2, Inc_100-200, 0.0155, 208
2020-11-10, 11, Inc_100-200, 0.0853, 222
2020-11-11, 11, Inc_100-200, 0.0853, 214
2020-11-12, -3, Inc_100-200, -0.0234, 217
2020-11-13, -3, Inc_100-200, -0.0234, 213
2020-11-14, -5, Inc_100-200, -0.0391, 214
2020-11-15, -1, Inc_100-200, -0.0078, 210
2020-11-16, 3, Inc_100-200, 0.0233, 211
2020-11-17, -10, Inc_100-200, -0.0781, 212
2020-11-18, 2, Inc_100-200, 0.0155, 216
2020-11-19, -5, Inc_100-200, -0.0391, 212
2020-11-20, , Inc_100-200, , 213
2020-11-21, 10, Inc_100-200, 0.0775, 224
2020-11-22, 13, Inc_100-200, 0.1008, 223
2020-11-23, 13, Inc_100-200, 0.1008, 224
2020-11-24, 12, Inc_100-200, 0.093, 224
2020-11-25, 6, Inc_100-200, 0.0465, 222
2020-11-26, 11, Inc_100-200, 0.0853, 223
2020-11-27, 12, Inc_100-200, 0.093, 225
2020-11-28, -6, Inc_100-200, -0.0469, 218
2020-11-29, -6, Inc_100-200, -0.0469, 217
2020-11-30, -7, Inc_100-200, -0.0547, 217
2020-12-01, 6, Inc_100-200, 0.0465, 230
2020-12-02, 6, Inc_100-200, 0.0465, 228
2020-12-03, 13, Inc_100-200, 0.1008, 236
2020-12-04, 6, Inc_100-200, 0.0465, 231
2020-12-05, 13, Inc_100-200, 0.1008, 231
2020-12-06, 20, Inc_100-200, 0.155, 237
2020-12-07, 24, Inc_100-200, 0.186, 241
2020-12-08, , Inc_100-200, , 230
2020-12-09, -2, Inc_100-200, -0.0156, 226
2020-12-10, -19, Inc_100-200, -0.1484, 217
2020-12-11, -15, Inc_100-200, -0.1172, 216
2020-12-12, -17, Inc_100-200, -0.1328, 214
2020-12-13, -23, Inc_100-200, -0.1797, 214
2020-12-14, -32, Inc_100-200, -0.25, 209
2020-12-15, -30, Inc_100-200, -0.2344, 200
2020-12-16, -20, Inc_100-200, -0.1562, 206
2020-12-17, -18, Inc_100-200, -0.1406, 199
2020-12-18, -15, Inc_100-200, -0.1172, 201
2020-12-19, -28, Inc_100-200, -0.2188, 186
2020-12-20, -27, Inc_100-200, -0.2109, 187
2020-12-21, -19, Inc_100-200, -0.1484, 190
2020-12-22, -13, Inc_100-200, -0.1016, 187
2020-12-23, -24, Inc_100-200, -0.1875, 182
2020-12-24, -22, Inc_100-200, -0.1719, 177
2020-12-25, -5, Inc_100-200, -0.0391, 196
2020-12-26, 29, Inc_100-200, 0.2248, 215
2020-12-27, 45, Inc_100-200, 0.3488, 232
2020-12-28, 42, Inc_100-200, 0.3256, 232
2020-12-29, 46, Inc_100-200, 0.3566, 233
2020-12-30, 50, Inc_100-200, 0.3876, 232
2020-12-31, 48, Inc_100-200, 0.3721, 225
2021-01-01, 23, Inc_100-200, 0.1783, 219
2021-01-02, 8, Inc_100-200, 0.062, 223
2021-01-03, -9, Inc_100-200, -0.0703, 223
2021-01-04, -8, Inc_100-200, -0.0625, 224
2021-01-05, -4, Inc_100-200, -0.0312, 229
2021-01-06, -10, Inc_100-200, -0.0781, 222
2021-01-07, -8, Inc_100-200, -0.0625, 217
2021-01-08, -4, Inc_100-200, -0.0312, 215
2021-01-09, 14, Inc_100-200, 0.1085, 237
2021-01-10, 5, Inc_100-200, 0.0388, 228
2021-01-11, 7, Inc_100-200, 0.0543, 231
2021-01-12, -1, Inc_100-200, -0.0078, 228
2021-01-13, , Inc_100-200, , 222
2021-01-14, 6, Inc_100-200, 0.0465, 223
2021-01-15, 16, Inc_100-200, 0.124, 231
2021-01-16, -7, Inc_100-200, -0.0547, 230
2021-01-17, 6, Inc_100-200, 0.0465, 234
2021-01-18, 1, Inc_100-200, 0.0078, 232
2021-01-19, -2, Inc_100-200, -0.0156, 226
2021-01-20, , Inc_100-200, , 222
2021-01-21, -8, Inc_100-200, -0.0625, 215
2021-01-22, -24, Inc_100-200, -0.1875, 207
2021-01-23, -32, Inc_100-200, -0.25, 198
2021-01-24, -46, Inc_100-200, -0.3594, 188
2021-01-25, -45, Inc_100-200, -0.3516, 187
2021-01-26, -43, Inc_100-200, -0.3359, 183
2021-01-27, -45, Inc_100-200, -0.3516, 177
2021-01-28, -52, Inc_100-200, -0.4062, 163
2021-01-29, -58, Inc_100-200, -0.4531, 149
2021-01-30, -55, Inc_100-200, -0.4297, 143
2021-01-31, -57, Inc_100-200, -0.4453, 131
2021-02-01, -51, Inc_100-200, -0.3984, 136
2021-02-02, -53, Inc_100-200, -0.4141, 130
2021-02-03, -51, Inc_100-200, -0.3984, 126
2021-02-04, -51, Inc_100-200, -0.3984, 112
2021-02-05, -48, Inc_100-200, -0.375, 101
2021-02-06, -46, Inc_100-200, -0.3594, 97
2021-02-07, -34, Inc_100-200, -0.2656, 97
2021-02-08, -42, Inc_100-200, -0.3281, 94
2021-02-09, -38, Inc_100-200, -0.2969, 92
2021-02-10, -54, Inc_100-200, -0.4219, 72
2021-02-11, -50, Inc_100-200, -0.3906, 62
2021-02-12, -52, Inc_100-200, -0.4062, 49
2021-02-13, -49, Inc_100-200, -0.3828, 48
2021-02-14, -59, Inc_100-200, -0.4609, 38
2021-02-15, -48, Inc_100-200, -0.375, 46
2021-02-16, -46, Inc_100-200, -0.3594, 46
2021-02-17, -24, Inc_100-200, -0.1875, 48
2021-02-18, -15, Inc_100-200, -0.1172, 47
2021-02-19, -6, Inc_100-200, -0.0469, 43
2021-02-20, -5, Inc_100-200, -0.0391, 43
2021-02-21, 10, Inc_100-200, 0.0775, 48
2021-02-22, , Inc_100-200, , 46
2021-02-23, , Inc_100-200, , 46
2021-02-24, 4, Inc_100-200, 0.031, 52
2021-02-25, 5, Inc_100-200, 0.0388, 52
2021-02-26, 8, Inc_100-200, 0.062, 51
2021-02-27, 13, Inc_100-200, 0.1008, 56
2021-02-28, 7, Inc_100-200, 0.0543, 55
2021-03-01, 7, Inc_100-200, 0.0543, 53
2021-03-02, 6, Inc_100-200, 0.0465, 52
2021-03-03, 7, Inc_100-200, 0.0543, 59
2021-03-04, 9, Inc_100-200, 0.0698, 61
2021-03-05, 12, Inc_100-200, 0.093, 63
2021-03-06, 11, Inc_100-200, 0.0853, 67
2021-03-07, 8, Inc_100-200, 0.062, 63
2021-03-08, 9, Inc_100-200, 0.0698, 62
2021-03-09, 15, Inc_100-200, 0.1163, 67
2021-03-10, 8, Inc_100-200, 0.062, 67
2021-03-11, 25, Inc_100-200, 0.1938, 86
2021-03-12, 36, Inc_100-200, 0.2791, 99
2021-03-13, 29, Inc_100-200, 0.2248, 96
2021-03-14, 42, Inc_100-200, 0.3256, 105
2021-03-15, 49, Inc_100-200, 0.3798, 111
2021-03-16, 51, Inc_100-200, 0.3953, 118
2021-03-17, 63, Inc_100-200, 0.4884, 130
2021-03-18, 58, Inc_100-200, 0.4496, 144
2021-03-19, 50, Inc_100-200, 0.3876, 149
2021-03-20, 70, Inc_100-200, 0.5426, 166
2021-03-21, 69, Inc_100-200, 0.5349, 174
2021-03-22, 66, Inc_100-200, 0.5116, 177
2021-03-23, 61, Inc_100-200, 0.4729, 179
2021-03-24, 60, Inc_100-200, 0.4651, 190
2021-03-25, 58, Inc_100-200, 0.4496, 202
2021-03-26, 73, Inc_100-200, 0.5659, 222
2021-03-27, 56, Inc_100-200, 0.4341, 222
2021-03-28, 54, Inc_100-200, 0.4186, 228
2021-03-29, 53, Inc_100-200, 0.4109, 230
2021-03-30, 58, Inc_100-200, 0.4496, 237
2021-03-31, 49, Inc_100-200, 0.3798, 239
2021-04-01, 43, Inc_100-200, 0.3333, 245
2021-04-02, 23, Inc_100-200, 0.1783, 245
2021-04-03, 20, Inc_100-200, 0.155, 242
2021-04-04, 8, Inc_100-200, 0.062, 236
2021-04-05, 4, Inc_100-200, 0.031, 234
2021-04-06, -3, Inc_100-200, -0.0234, 234
2021-04-07, -31, Inc_100-200, -0.2422, 208
2021-04-08, -38, Inc_100-200, -0.2969, 207
2021-04-09, -13, Inc_100-200, -0.1016, 232
2021-04-10, 16, Inc_100-200, 0.124, 258
2021-04-11, 23, Inc_100-200, 0.1783, 259
2021-04-12, 17, Inc_100-200, 0.1318, 251
2021-04-13, 28, Inc_100-200, 0.2171, 262
2021-04-14, 53, Inc_100-200, 0.4109, 261
2021-04-15, 50, Inc_100-200, 0.3876, 257
2021-04-16, 19, Inc_100-200, 0.1473, 251
2021-04-17, -2, Inc_100-200, -0.0156, 256
2021-04-18, -4, Inc_100-200, -0.0312, 255
2021-04-19, 8, Inc_100-200, 0.062, 259
2021-04-20, -8, Inc_100-200, -0.0625, 254
2021-04-21, -17, Inc_100-200, -0.1328, 244
2021-04-22, -17, Inc_100-200, -0.1328, 240
2021-04-23, -10, Inc_100-200, -0.0781, 241
2021-04-24, -23, Inc_100-200, -0.1797, 233
2021-04-25, -16, Inc_100-200, -0.125, 239
2021-04-26, -21, Inc_100-200, -0.1641, 238
2021-04-27, -14, Inc_100-200, -0.1094, 240
2021-04-28, -9, Inc_100-200, -0.0703, 235
2021-04-29, -14, Inc_100-200, -0.1094, 226
2021-04-30, -10, Inc_100-200, -0.0781, 231
2021-05-01, 7, Inc_100-200, 0.0543, 240
2021-05-02, -3, Inc_100-200, -0.0234, 236
2021-05-03, -5, Inc_100-200, -0.0391, 233
2021-05-04, 1, Inc_100-200, 0.0078, 241
2021-05-05, 9, Inc_100-200, 0.0698, 244
2021-05-06, 10, Inc_100-200, 0.0775, 236
2021-05-07, 1, Inc_100-200, 0.0078, 232
2021-05-08, -19, Inc_100-200, -0.1484, 221
2021-05-09, -18, Inc_100-200, -0.1406, 218
2021-05-10, -14, Inc_100-200, -0.1094, 219
2021-05-11, -19, Inc_100-200, -0.1484, 222
2021-05-12, -40, Inc_100-200, -0.3125, 204
2021-05-13, -39, Inc_100-200, -0.3047, 197
2021-05-14, -67, Inc_100-200, -0.5234, 165
2021-05-15, -84, Inc_100-200, -0.6562, 137
2021-05-16, -104, Inc_100-200, -0.8125, 114
2021-05-17, -100, Inc_100-200, -0.7812, 119
2021-05-18, -108, Inc_100-200, -0.8438, 114
2021-05-19, -114, Inc_100-200, -0.8906, 90
2021-05-20, -128, Inc_100-200, -1, 69
2021-05-21, -102, Inc_100-200, -0.7969, 63
