Week, difference, region, region_id, trend, value
2020-13, , Hessen, 6, , 0.1112
2020-14, 0.6356, Hessen, 6, 0.3478, 0.7468
2020-15, 0.3178, Hessen, 6, 0.1739, 1.0646
2020-16, 0.6356, Hessen, 6, 0.3478, 1.7003
2020-17, -0.3496, Hessen, 6, -0.2472, 1.3507
2020-18, -0.4767, Hessen, 6, -0.3371, 0.874
2020-19, -0.2225, Hessen, 6, -0.1573, 0.6515
2020-20, -0.2701, Hessen, 6, -0.191, 0.3814
2020-21, 0.0159, Hessen, 6, 0.0087, 0.3973
2020-22, -0.1271, Hessen, 6, -0.0899, 0.2701
2020-23, -0.1589, Hessen, 6, -0.1124, 0.1112
2020-24, , Hessen, 6, , 0.1112
2020-25, 0.0318, Hessen, 6, 0.0174, 0.143
2020-26, -0.0477, Hessen, 6, -0.0337, 0.0953
2020-27, , Hessen, 6, , 0.0953
2020-28, -0.0636, Hessen, 6, -0.0449, 0.0318
2020-29, -0.0318, Hessen, 6, -0.0225, 
2020-30, 0.0636, Hessen, 6, 0.0348, 0.0636
2020-31, -0.0318, Hessen, 6, -0.0225, 0.0318
2020-32, 0.0477, Hessen, 6, 0.0261, 0.0795
2020-33, -0.0636, Hessen, 6, -0.0449, 0.0159
2020-34, 0.0159, Hessen, 6, 0.0087, 0.0318
2020-35, 0.0159, Hessen, 6, 0.0087, 0.0477
2020-36, 0.0159, Hessen, 6, 0.0087, 0.0636
2020-37, , Hessen, 6, , 0.0636
2020-38, 0.0159, Hessen, 6, 0.0087, 0.0795
2020-39, 0.0159, Hessen, 6, 0.0087, 0.0953
2020-40, -0.0636, Hessen, 6, -0.0449, 0.0318
2020-41, 0.0953, Hessen, 6, 0.0522, 0.1271
2020-42, 0.0795, Hessen, 6, 0.0435, 0.2066
2020-43, 0.3655, Hessen, 6, 0.2, 0.5721
2020-44, 0.143, Hessen, 6, 0.0783, 0.7151
2020-45, 0.8581, Hessen, 6, 0.4696, 1.5731
2020-46, 0.1907, Hessen, 6, 0.1043, 1.7638
2020-47, 0.8263, Hessen, 6, 0.4522, 2.5901
2020-48, 0.7945, Hessen, 6, 0.4348, 3.3846
2020-49, 0.1112, Hessen, 6, 0.0609, 3.4959
2020-50, 1.0964, Hessen, 6, 0.6, 4.5923
2020-51, 1.3189, Hessen, 6, 0.7217, 5.9112
2020-52, -0.143, Hessen, 6, -0.1011, 5.7682
2020-53, 1.8274, Hessen, 6, 1, 7.5956
2021-01, 0.6833, Hessen, 6, 0.3739, 8.2788
2021-02, -1.0805, Hessen, 6, -0.764, 7.1983
2021-03, -0.0159, Hessen, 6, -0.0112, 7.1824
2021-04, -0.4449, Hessen, 6, -0.3146, 6.7375
2021-05, -1.1282, Hessen, 6, -0.7978, 5.6093
2021-06, -1.1123, Hessen, 6, -0.7865, 4.497
2021-07, -1.0646, Hessen, 6, -0.7528, 3.4323
2021-08, -0.8899, Hessen, 6, -0.6292, 2.5424
2021-09, -0.7786, Hessen, 6, -0.5506, 1.7638
2021-10, -0.1748, Hessen, 6, -0.1236, 1.589
2021-11, 0.1589, Hessen, 6, 0.087, 1.7479
2021-12, 0.3655, Hessen, 6, 0.2, 2.1134
2021-13, -0.6515, Hessen, 6, -0.4607, 1.4619
2021-14, 0.3019, Hessen, 6, 0.1652, 1.7638
2021-15, 0.1748, Hessen, 6, 0.0957, 1.9386
2021-16, 0.2701, Hessen, 6, 0.1478, 2.2087
2021-17, 0.1907, Hessen, 6, 0.1043, 2.3994
2021-18, 0.1748, Hessen, 6, 0.0957, 2.5742
2021-19, -1.4142, Hessen, 6, -1, 1.16
2021-20, 0.143, Hessen, 6, 0.0783, 1.303
2021-21, 0.5244, Hessen, 6, 0.287, 1.8274
2021-22, -0.6833, Hessen, 6, -0.4831, 1.1441
2021-23, -0.5244, Hessen, 6, -0.3708, 0.6197
2021-24, -0.1112, Hessen, 6, -0.0787, 0.5085
2021-25, 0.0636, Hessen, 6, 0.0348, 0.5721
2021-26, 0.0318, Hessen, 6, 0.0174, 0.6038
2021-27, -0.3973, Hessen, 6, -0.2809, 0.2066
2021-28, -0.0636, Hessen, 6, -0.0449, 0.143
2021-29, 0.0159, Hessen, 6, 0.0087, 0.1589
2021-30, 0.0477, Hessen, 6, 0.0261, 0.2066
2021-31, -0.1112, Hessen, 6, -0.0787, 0.0953
2021-32, 0.0477, Hessen, 6, 0.0261, 0.143
2021-33, 0.0636, Hessen, 6, 0.0348, 0.2066
2021-34, , Hessen, 6, , 0.2066
2021-35, -0.0159, Hessen, 6, -0.0112, 0.1907
2021-36, 0.1589, Hessen, 6, 0.087, 0.3496
