Week, difference, region, region_id, trend, value
2020-12, , Nordrhein-Westfalen, 5, , 0.0056
2020-13, 0.5077, Nordrhein-Westfalen, 5, 0.2252, 0.5132
2020-14, 0.3068, Nordrhein-Westfalen, 5, 0.1361, 0.8201
2020-15, 0.5746, Nordrhein-Westfalen, 5, 0.255, 1.3947
2020-16, 0.3849, Nordrhein-Westfalen, 5, 0.1708, 1.7796
2020-17, -0.2064, Nordrhein-Westfalen, 5, -0.1237, 1.5732
2020-18, -0.5077, Nordrhein-Westfalen, 5, -0.3043, 1.0655
2020-19, -0.2957, Nordrhein-Westfalen, 5, -0.1773, 0.7698
2020-20, -0.3236, Nordrhein-Westfalen, 5, -0.194, 0.4463
2020-21, -0.1227, Nordrhein-Westfalen, 5, -0.0736, 0.3236
2020-22, -0.1339, Nordrhein-Westfalen, 5, -0.0803, 0.1897
2020-23, -0.0446, Nordrhein-Westfalen, 5, -0.0268, 0.145
2020-24, -0.0223, Nordrhein-Westfalen, 5, -0.0134, 0.1227
2020-25, -0.0223, Nordrhein-Westfalen, 5, -0.0134, 0.1004
2020-26, -0.0391, Nordrhein-Westfalen, 5, -0.0234, 0.0614
2020-27, 0.0112, Nordrhein-Westfalen, 5, 0.005, 0.0725
2020-28, 0.0223, Nordrhein-Westfalen, 5, 0.0099, 0.0948
2020-29, -0.0502, Nordrhein-Westfalen, 5, -0.0301, 0.0446
2020-30, 0.0446, Nordrhein-Westfalen, 5, 0.0198, 0.0893
2020-31, -0.0725, Nordrhein-Westfalen, 5, -0.0435, 0.0167
2020-32, 0.1395, Nordrhein-Westfalen, 5, 0.0619, 0.1562
2020-33, -0.0558, Nordrhein-Westfalen, 5, -0.0334, 0.1004
2020-34, 0.0167, Nordrhein-Westfalen, 5, 0.0074, 0.1172
2020-35, -0.0558, Nordrhein-Westfalen, 5, -0.0334, 0.0614
2020-36, 0.0167, Nordrhein-Westfalen, 5, 0.0074, 0.0781
2020-37, -0.0502, Nordrhein-Westfalen, 5, -0.0301, 0.0279
2020-38, 0.0669, Nordrhein-Westfalen, 5, 0.0297, 0.0948
2020-39, 0.0112, Nordrhein-Westfalen, 5, 0.005, 0.106
2020-40, 0.0056, Nordrhein-Westfalen, 5, 0.0025, 0.1116
