Altersgruppe, Meldedatum, value, difference, trend
>=80, 2020-03-03, 0.0169, , 
>=80, 2020-03-04, 0.0169, , 
>=80, 2020-03-05, 0.0337, , 
>=80, 2020-03-06, 0.0675, , 
>=80, 2020-03-07, 0.1518, , 
>=80, 2020-03-08, 0.1518, , 
>=80, 2020-03-09, 0.1855, , 
>=80, 2020-03-10, 0.2867, , 
>=80, 2020-03-11, 0.4047, , 
>=80, 2020-03-12, 0.4553, , 
>=80, 2020-03-13, 0.5734, , 
>=80, 2020-03-14, 0.7589, , 
>=80, 2020-03-15, 0.9781, 0.3879, 0.0509
>=80, 2020-03-16, 1.3154, 0.6071, 0.0796
>=80, 2020-03-17, 1.6358, 0.6408, 0.0841
>=80, 2020-03-18, 2.3441, 0.5396, 0.0708
>=80, 2020-03-19, 3.3222, 0.8095, 0.1062
>=80, 2020-03-20, 4.2834, 1.3491, 0.177
>=80, 2020-03-21, 5.6157, 1.5515, 0.2035
>=80, 2020-03-22, 7.1503, 1.855, 0.2434
>=80, 2020-03-23, 7.9598, 2.4284, 0.3186
>=80, 2020-03-24, 9.3089, 3.7438, 0.4912
>=80, 2020-03-25, 11.1133, 4.6376, 0.6084
>=80, 2020-03-26, 13.3562, 5.1772, 0.6792
>=80, 2020-03-27, 15.9196, 5.8012, 0.7611
>=80, 2020-03-28, 18.1287, 6.9142, 0.9071
>=80, 2020-03-29, 19.8489, 6.7962, 0.8916
>=80, 2020-03-30, 21.2317, 7.6394, 1.0022
>=80, 2020-03-31, 23.6433, 7.8586, 1.031
>=80, 2020-04-01, 26.5607, 9.0222, 1.1836
>=80, 2020-04-02, 28.7699, 9.2752, 1.2168
>=80, 2020-04-03, 30.3045, 9.0053, 1.1814
>=80, 2020-04-04, 31.8223, 8.3982, 1.1018
>=80, 2020-04-05, 32.2776, 9.2752, 1.2168
>=80, 2020-04-06, 32.4125, 8.1116, 1.0642
>=80, 2020-04-07, 32.5643, 6.2903, 0.8252
>=80, 2020-04-08, 32.3451, 3.6426, 0.4779
>=80, 2020-04-09, 32.1764, 2.1923, 0.2876
>=80, 2020-04-10, 31.9572, 1.366, 0.1792
>=80, 2020-04-11, 29.8155, -0.2024, -0.0273
>=80, 2020-04-12, 29.3433, -1.9394, -0.2614
>=80, 2020-04-13, 29.3095, -2.2766, -0.3068
>=80, 2020-04-14, 27.6737, -2.732, -0.3682
>=80, 2020-04-15, 25.9368, -3.0861, -0.4159
>=80, 2020-04-16, 25.0936, -3.1367, -0.4227
>=80, 2020-04-17, 23.4915, -4.0642, -0.5477
