Meldedatum, region, region_id, value, difference, trend
2020-03-03, Berlin, 11, , , 
2020-03-04, Berlin, 11, 0.1094, , 
2020-03-05, Berlin, 11, 0.1094, , 
2020-03-06, Berlin, 11, 0.1094, , 
2020-03-07, Berlin, 11, 0.1094, , 
2020-03-08, Berlin, 11, 0.1094, , 
2020-03-09, Berlin, 11, 0.1094, , 
2020-03-10, Berlin, 11, 0.1914, , 
2020-03-11, Berlin, 11, 0.1094, , 
2020-03-12, Berlin, 11, 0.1914, 0.0273, 0.0053
2020-03-13, Berlin, 11, 0.2734, 0.1094, 0.0211
2020-03-14, Berlin, 11, 0.4648, 0.1914, 0.0368
2020-03-15, Berlin, 11, 0.4648, 0.2461, 0.0474
2020-03-16, Berlin, 11, 0.5195, 0.2734, 0.0526
2020-03-17, Berlin, 11, 0.5742, 0.3008, 0.0579
2020-03-18, Berlin, 11, 0.6835, 0.3828, 0.0737
2020-03-19, Berlin, 11, 0.9023, 0.4101, 0.0789
2020-03-20, Berlin, 11, 1.203, 0.3281, 0.0632
2020-03-21, Berlin, 11, 1.2304, 0.2187, 0.0421
2020-03-22, Berlin, 11, 1.5311, 0.2734, 0.0526
2020-03-23, Berlin, 11, 1.6131, 0.2734, 0.0526
2020-03-24, Berlin, 11, 1.8319, 0.3281, 0.0632
2020-03-25, Berlin, 11, 2.3787, 0.5742, 0.1105
2020-03-26, Berlin, 11, 2.7615, 0.7929, 0.1526
2020-03-27, Berlin, 11, 3.3083, 1.4491, 0.2789
2020-03-28, Berlin, 11, 3.9918, 1.7498, 0.3368
2020-03-29, Berlin, 11, 4.3473, 1.7772, 0.3421
2020-03-30, Berlin, 11, 4.7027, 1.9412, 0.3737
2020-03-31, Berlin, 11, 5.4409, 2.16, 0.4158
2020-04-01, Berlin, 11, 6.0424, 2.16, 0.4158
2020-04-02, Berlin, 11, 6.4252, 2.4334, 0.4684
2020-04-03, Berlin, 11, 6.2885, 1.8866, 0.3632
2020-04-04, Berlin, 11, 6.9994, 1.8866, 0.3632
2020-04-05, Berlin, 11, 6.8353, 2.16, 0.4158
2020-04-06, Berlin, 11, 6.9174, 1.8319, 0.3526
2020-04-07, Berlin, 11, 6.8627, 1.5585, 0.3
2020-04-08, Berlin, 11, 6.9447, 1.203, 0.2316
2020-04-09, Berlin, 11, 6.808, 0.3828, 0.0737
2020-04-10, Berlin, 11, 7.0541, 0.5195, 0.1
2020-04-11, Berlin, 11, 6.0424, -0.1914, -0.068
2020-04-12, Berlin, 11, 5.9878, -0.2187, -0.0777
