Meldedatum, region, region_id, value, difference, trend
2020-03-03, Brandenburg, 12, , , 
2020-03-04, Brandenburg, 12, , , 
2020-03-05, Brandenburg, 12, , , 
2020-03-06, Brandenburg, 12, , , 
2020-03-07, Brandenburg, 12, , , 
2020-03-08, Brandenburg, 12, , , 
2020-03-09, Brandenburg, 12, 0.0395, , 
2020-03-10, Brandenburg, 12, 0.079, , 
2020-03-11, Brandenburg, 12, 0.1185, , 
2020-03-12, Brandenburg, 12, 0.1185, , 
2020-03-13, Brandenburg, 12, 0.158, , 
2020-03-14, Brandenburg, 12, 0.1975, , 
2020-03-15, Brandenburg, 12, 0.1975, , 
2020-03-16, Brandenburg, 12, 0.158, , 
2020-03-17, Brandenburg, 12, 0.158, , 
2020-03-18, Brandenburg, 12, 0.2371, , 
2020-03-19, Brandenburg, 12, 0.3556, , 
2020-03-20, Brandenburg, 12, 0.5136, , 
2020-03-21, Brandenburg, 12, 0.8297, 0.1185, 0.0211
2020-03-22, Brandenburg, 12, 1.0272, 0.158, 0.0282
2020-03-23, Brandenburg, 12, 1.0272, 0.2371, 0.0423
2020-03-24, Brandenburg, 12, 1.1853, 0.3161, 0.0563
2020-03-25, Brandenburg, 12, 1.2643, 0.5136, 0.0915
2020-03-26, Brandenburg, 12, 1.6594, 0.6321, 0.1127
2020-03-27, Brandenburg, 12, 1.9754, 0.6717, 0.1197
2020-03-28, Brandenburg, 12, 2.1335, 0.9482, 0.169
2020-03-29, Brandenburg, 12, 2.331, 1.0667, 0.1901
2020-03-30, Brandenburg, 12, 2.6076, 1.2643, 0.2254
2020-03-31, Brandenburg, 12, 3.2792, 1.1853, 0.2113
2020-04-01, Brandenburg, 12, 4.5435, 1.5804, 0.2817
2020-04-02, Brandenburg, 12, 5.1757, 2.5286, 0.4507
2020-04-03, Brandenburg, 12, 5.4917, 3.2792, 0.5845
2020-04-04, Brandenburg, 12, 6.2424, 3.4768, 0.6197
2020-04-05, Brandenburg, 12, 6.2819, 3.9904, 0.7113
2020-04-06, Brandenburg, 12, 6.2424, 3.6743, 0.6549
2020-04-07, Brandenburg, 12, 6.0844, 3.4373, 0.6127
2020-04-08, Brandenburg, 12, 5.4917, 2.015, 0.3592
2020-04-09, Brandenburg, 12, 5.1362, 0.5136, 0.0915
2020-04-10, Brandenburg, 12, 5.8078, -0.158, -0.0315
2020-04-11, Brandenburg, 12, 5.0967, -0.7902, -0.1575
2020-04-12, Brandenburg, 12, 5.0967, -1.3038, -0.2598
2020-04-13, Brandenburg, 12, 5.4917, -1.4223, -0.2835
2020-04-14, Brandenburg, 12, 4.9386, -1.3038, -0.2598
2020-04-15, Brandenburg, 12, 4.7016, -0.8692, -0.1732
2020-04-16, Brandenburg, 12, 4.8201, 0.0395, 0.007
2020-04-17, Brandenburg, 12, 3.9509, -0.7112, -0.1417
2020-04-18, Brandenburg, 12, 4.0694, -0.8692, -0.1732
2020-04-19, Brandenburg, 12, 4.0694, -1.0667, -0.2126
2020-04-20, Brandenburg, 12, 3.7929, -1.3433, -0.2677
2020-04-21, Brandenburg, 12, 4.6225, -0.8692, -0.1732
2020-04-22, Brandenburg, 12, 5.0967, , 
2020-04-23, Brandenburg, 12, 4.8201, -0.1975, -0.0394
2020-04-24, Brandenburg, 12, 4.5435, 0.7507, 0.1338
2020-04-25, Brandenburg, 12, 4.3065, 0.4741, 0.0845
2020-04-26, Brandenburg, 12, 4.1484, 0.5136, 0.0915
2020-04-27, Brandenburg, 12, 3.8324, 1.0272, 0.1831
2020-04-28, Brandenburg, 12, 3.2792, -0.158, -0.0315
2020-04-29, Brandenburg, 12, 2.5681, -1.5804, -0.315
2020-04-30, Brandenburg, 12, 2.0545, -2.2125, -0.4409
2020-05-01, Brandenburg, 12, 1.8964, -2.5286, -0.5039
2020-05-02, Brandenburg, 12, 1.6594, -2.3705, -0.4724
2020-05-03, Brandenburg, 12, 1.5408, -2.6076, -0.5197
2020-05-04, Brandenburg, 12, 1.5408, -2.6471, -0.5276
2020-05-05, Brandenburg, 12, 1.3433, -1.8964, -0.378
2020-05-06, Brandenburg, 12, 1.0272, -1.0272, -0.2047
2020-05-07, Brandenburg, 12, 1.1063, -0.6321, -0.126
2020-05-08, Brandenburg, 12, 0.9877, -0.5926, -0.1181
2020-05-09, Brandenburg, 12, 0.9482, -0.3556, -0.0709
2020-05-10, Brandenburg, 12, 0.8297, -0.158, -0.0315
2020-05-11, Brandenburg, 12, 0.8297, -0.2371, -0.0472
2020-05-12, Brandenburg, 12, 0.6321, -0.2766, -0.0551
2020-05-13, Brandenburg, 12, 0.6321, -0.1975, -0.0394
2020-05-14, Brandenburg, 12, 0.5531, -0.3556, -0.0709
2020-05-15, Brandenburg, 12, 0.4741, -0.3951, -0.0787
2020-05-16, Brandenburg, 12, 0.3556, -0.3951, -0.0787
2020-05-17, Brandenburg, 12, 0.3556, -0.3951, -0.0787
2020-05-18, Brandenburg, 12, 0.3161, -0.3161, -0.063
2020-05-19, Brandenburg, 12, 0.3951, -0.1975, -0.0394
2020-05-20, Brandenburg, 12, 0.3556, -0.1975, -0.0394
2020-05-21, Brandenburg, 12, 0.3161, -0.1185, -0.0236
2020-05-22, Brandenburg, 12, 0.3161, -0.1185, -0.0236
2020-05-23, Brandenburg, 12, 0.3161, -0.0395, -0.0079
2020-05-24, Brandenburg, 12, 0.3161, -0.0395, -0.0079
2020-05-25, Brandenburg, 12, 0.3161, -0.079, -0.0157
2020-05-26, Brandenburg, 12, 0.2371, -0.079, -0.0157
2020-05-27, Brandenburg, 12, 0.2371, -0.079, -0.0157
2020-05-28, Brandenburg, 12, 0.1975, -0.079, -0.0157
2020-05-29, Brandenburg, 12, 0.3556, 0.079, 0.0141
2020-05-30, Brandenburg, 12, 0.3556, 0.1185, 0.0211
2020-05-31, Brandenburg, 12, 0.5136, 0.1975, 0.0352
2020-06-01, Brandenburg, 12, 0.5531, 0.2371, 0.0423
2020-06-02, Brandenburg, 12, 0.5136, 0.2371, 0.0423
2020-06-03, Brandenburg, 12, 0.5136, 0.1975, 0.0352
2020-06-04, Brandenburg, 12, 0.5136, 0.3161, 0.0563
2020-06-05, Brandenburg, 12, 0.4346, 0.079, 0.0141
2020-06-06, Brandenburg, 12, 0.3951, 0.0395, 0.007
2020-06-07, Brandenburg, 12, 0.1975, -0.1975, -0.0394
2020-06-08, Brandenburg, 12, 0.158, -0.2766, -0.0551
2020-06-09, Brandenburg, 12, 0.158, -0.2766, -0.0551
2020-06-10, Brandenburg, 12, 0.158, -0.2766, -0.0551
2020-06-11, Brandenburg, 12, 0.2371, -0.3161, -0.063
2020-06-12, Brandenburg, 12, 0.2766, -0.1975, -0.0394
2020-06-13, Brandenburg, 12, 0.2766, -0.079, -0.0157
2020-06-14, Brandenburg, 12, 0.3161, 0.1185, 0.0211
2020-06-15, Brandenburg, 12, 0.3161, 0.158, 0.0282
2020-06-16, Brandenburg, 12, 0.3556, 0.1975, 0.0352
2020-06-17, Brandenburg, 12, 0.4346, 0.2766, 0.0493
2020-06-18, Brandenburg, 12, 0.3161, 0.079, 0.0141
2020-06-19, Brandenburg, 12, 0.2766, , 
2020-06-20, Brandenburg, 12, 0.2766, -0.1185, -0.0236
2020-06-21, Brandenburg, 12, 0.2371, -0.1185, -0.0236
2020-06-22, Brandenburg, 12, 0.2371, -0.1185, -0.0236
2020-06-23, Brandenburg, 12, 0.1975, -0.1975, -0.0394
2020-06-24, Brandenburg, 12, 0.1185, -0.3556, -0.0709
2020-06-25, Brandenburg, 12, 0.1185, -0.158, -0.0315
2020-06-26, Brandenburg, 12, 0.0395, -0.158, -0.0315
2020-06-27, Brandenburg, 12, 0.079, -0.158, -0.0315
2020-06-28, Brandenburg, 12, 0.079, -0.1185, -0.0236
2020-06-29, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-06-30, Brandenburg, 12, 0.158, -0.0395, -0.0079
2020-07-01, Brandenburg, 12, 0.1185, 0.1185, 0.0211
2020-07-02, Brandenburg, 12, 0.1975, 0.079, 0.0141
2020-07-03, Brandenburg, 12, 0.2371, 0.1185, 0.0211
2020-07-04, Brandenburg, 12, 0.1975, 0.158, 0.0282
2020-07-05, Brandenburg, 12, 0.2766, 0.1185, 0.0211
2020-07-06, Brandenburg, 12, 0.2371, 0.0395, 0.007
2020-07-07, Brandenburg, 12, 0.1975, 0.0395, 0.007
2020-07-08, Brandenburg, 12, 0.1975, , 
2020-07-09, Brandenburg, 12, 0.1185, -0.0395, -0.0079
2020-07-10, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-07-11, Brandenburg, 12, 0.158, -0.0395, -0.0079
2020-07-12, Brandenburg, 12, 0.1185, -0.1185, -0.0236
2020-07-13, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-07-14, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-07-15, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-07-16, Brandenburg, 12, 0.1185, -0.0395, -0.0079
2020-07-17, Brandenburg, 12, 0.1185, , 
2020-07-18, Brandenburg, 12, 0.1185, -0.1185, -0.0236
2020-07-19, Brandenburg, 12, 0.1185, -0.0395, -0.0079
2020-07-20, Brandenburg, 12, 0.1185, -0.0395, -0.0079
2020-07-21, Brandenburg, 12, 0.2766, -0.0395, -0.0079
2020-07-22, Brandenburg, 12, 0.3556, -0.0395, -0.0079
2020-07-23, Brandenburg, 12, 0.3556, 0.0395, 0.007
2020-07-24, Brandenburg, 12, 0.3556, 0.1975, 0.0352
2020-07-25, Brandenburg, 12, 0.3556, 0.2371, 0.0423
2020-07-26, Brandenburg, 12, 0.3161, 0.2371, 0.0423
2020-07-27, Brandenburg, 12, 0.3161, 0.2371, 0.0423
2020-07-28, Brandenburg, 12, 0.2371, 0.079, 0.0141
2020-07-29, Brandenburg, 12, 0.1975, 0.0395, 0.007
2020-07-30, Brandenburg, 12, 0.1975, , 
2020-07-31, Brandenburg, 12, 0.158, -0.1185, -0.0236
2020-08-01, Brandenburg, 12, 0.1185, -0.158, -0.0315
2020-08-02, Brandenburg, 12, 0.1185, -0.158, -0.0315
2020-08-03, Brandenburg, 12, 0.1975, -0.158, -0.0315
2020-08-04, Brandenburg, 12, 0.1975, , 
2020-08-05, Brandenburg, 12, 0.3161, 0.079, 0.0141
2020-08-06, Brandenburg, 12, 0.3161, 0.1975, 0.0352
2020-08-07, Brandenburg, 12, 0.3161, 0.158, 0.0282
2020-08-08, Brandenburg, 12, 0.7507, 0.2371, 0.0423
2020-08-09, Brandenburg, 12, 0.7507, 0.2371, 0.0423
2020-08-10, Brandenburg, 12, 0.6717, 0.158, 0.0282
2020-08-11, Brandenburg, 12, 0.5926, 0.079, 0.0141
2020-08-12, Brandenburg, 12, 0.4346, -0.1185, -0.0236
2020-08-13, Brandenburg, 12, 0.5136, -0.2766, -0.0551
2020-08-14, Brandenburg, 12, 0.5136, 0.158, 0.0282
2020-08-15, Brandenburg, 12, 0.079, -0.3161, -0.063
2020-08-16, Brandenburg, 12, 0.1185, -0.3161, -0.063
2020-08-17, Brandenburg, 12, 0.1185, -0.2371, -0.0472
2020-08-18, Brandenburg, 12, 0.1185, -0.158, -0.0315
2020-08-19, Brandenburg, 12, 0.1185, 0.0395, 0.007
2020-08-20, Brandenburg, 12, 0.079, , 
2020-08-21, Brandenburg, 12, 0.1185, , 
2020-08-22, Brandenburg, 12, 0.1975, -0.3556, -0.0709
2020-08-23, Brandenburg, 12, 0.158, 0.0395, 0.007
2020-08-24, Brandenburg, 12, 0.1975, 0.0395, 0.007
2020-08-25, Brandenburg, 12, 0.2371, 0.1185, 0.0211
2020-08-26, Brandenburg, 12, 0.2766, 0.1975, 0.0352
2020-08-27, Brandenburg, 12, 0.2371, 0.158, 0.0282
2020-08-28, Brandenburg, 12, 0.1975, 0.158, 0.0282
2020-08-29, Brandenburg, 12, 0.1185, , 
2020-08-30, Brandenburg, 12, 0.1185, 0.0395, 0.007
2020-08-31, Brandenburg, 12, 0.079, , 
2020-09-01, Brandenburg, 12, 0.079, -0.079, -0.0157
2020-09-02, Brandenburg, 12, 0.079, -0.1975, -0.0394
2020-09-03, Brandenburg, 12, 0.1185, -0.1185, -0.0236
2020-09-04, Brandenburg, 12, 0.1185, -0.079, -0.0157
2020-09-05, Brandenburg, 12, 0.158, , 
2020-09-06, Brandenburg, 12, 0.158, , 
2020-09-07, Brandenburg, 12, 0.158, 0.0395, 0.007
2020-09-08, Brandenburg, 12, 0.1185, , 
2020-09-09, Brandenburg, 12, 0.158, , 
2020-09-10, Brandenburg, 12, 0.1185, , 
2020-09-11, Brandenburg, 12, 0.158, , 
2020-09-12, Brandenburg, 12, 0.1185, , 
2020-09-13, Brandenburg, 12, 0.1185, , 
2020-09-14, Brandenburg, 12, 0.1185, , 
2020-09-15, Brandenburg, 12, 0.1185, , 
2020-09-16, Brandenburg, 12, 0.079, -0.079, -0.0157
2020-09-17, Brandenburg, 12, 0.158, 0.0395, 0.007
2020-09-18, Brandenburg, 12, 0.158, 0.079, 0.0141
2020-09-19, Brandenburg, 12, 0.1975, 0.079, 0.0141
2020-09-20, Brandenburg, 12, 0.1975, 0.1185, 0.0211
2020-09-21, Brandenburg, 12, 0.1975, 0.1185, 0.0211
2020-09-22, Brandenburg, 12, 0.2766, 0.1185, 0.0211
2020-09-23, Brandenburg, 12, 0.2371, 0.1975, 0.0352
2020-09-24, Brandenburg, 12, 0.1975, 0.1185, 0.0211
2020-09-25, Brandenburg, 12, 0.3161, 0.0395, 0.007
2020-09-26, Brandenburg, 12, 0.3556, 0.079, 0.0141
2020-09-27, Brandenburg, 12, 0.3951, 0.0395, 0.007
2020-09-28, Brandenburg, 12, 0.3951, 0.0395, 0.007
2020-09-29, Brandenburg, 12, 0.4346, 0.0395, 0.007
2020-09-30, Brandenburg, 12, 0.5531, 0.079, 0.0141
2020-10-01, Brandenburg, 12, 0.6717, 0.2371, 0.0423
2020-10-02, Brandenburg, 12, 0.5926, 0.2766, 0.0493
2020-10-03, Brandenburg, 12, 0.6717, 0.1975, 0.0352
2020-10-04, Brandenburg, 12, 0.7507, 0.158, 0.0282
2020-10-05, Brandenburg, 12, 0.7507, 0.158, 0.0282
2020-10-06, Brandenburg, 12, 0.9482, 0.158, 0.0282
2020-10-07, Brandenburg, 12, 1.0667, 0.1185, 0.0211
2020-10-08, Brandenburg, 12, 1.1063, 0.3161, 0.0563
2020-10-09, Brandenburg, 12, 1.4618, 0.4741, 0.0845
2020-10-10, Brandenburg, 12, 1.5804, 0.5531, 0.0986
2020-10-11, Brandenburg, 12, 1.7384, 0.5531, 0.0986
2020-10-12, Brandenburg, 12, 1.9359, 0.7507, 0.1338
2020-10-13, Brandenburg, 12, 1.9754, 0.4741, 0.0845
2020-10-14, Brandenburg, 12, 2.0545, 0.9482, 0.169
2020-10-15, Brandenburg, 12, 2.3705, 0.9087, 0.162
2020-10-16, Brandenburg, 12, 2.41, 0.8297, 0.1479
2020-10-17, Brandenburg, 12, 2.41, 0.6717, 0.1197
2020-10-18, Brandenburg, 12, 2.6076, 0.6321, 0.1127
2020-10-19, Brandenburg, 12, 2.5681, 0.5136, 0.0915
2020-10-20, Brandenburg, 12, 2.4496, 0.7507, 0.1338
2020-10-21, Brandenburg, 12, 2.7656, 0.2371, 0.0423
2020-10-22, Brandenburg, 12, 3.2002, , 
2020-10-23, Brandenburg, 12, 3.4768, -0.0395, -0.0079
2020-10-24, Brandenburg, 12, 4.1484, 0.8297, 0.1479
2020-10-25, Brandenburg, 12, 4.188, 1.1063, 0.1972
2020-10-26, Brandenburg, 12, 4.425, 0.9877, 0.1761
2020-10-27, Brandenburg, 12, 4.9386, 1.0272, 0.1831
2020-10-28, Brandenburg, 12, 5.2942, 1.8964, 0.338
2020-10-29, Brandenburg, 12, 5.5313, 1.8964, 0.338
2020-10-30, Brandenburg, 12, 6.0054, 1.8569, 0.331
2020-10-31, Brandenburg, 12, 6.0844, 1.1853, 0.2113
2020-11-01, Brandenburg, 12, 6.4005, 1.1853, 0.2113
2020-11-02, Brandenburg, 12, 6.2819, 1.7779, 0.3169
2020-11-03, Brandenburg, 12, 6.4795, 2.1335, 0.3803
2020-11-04, Brandenburg, 12, 6.598, 0.5136, 0.0915
2020-11-05, Brandenburg, 12, 6.44, 0.1975, 0.0352
2020-11-06, Brandenburg, 12, 6.9536, 0.0395, 0.007
2020-11-07, Brandenburg, 12, 6.8351, 0.2766, 0.0493
2020-11-08, Brandenburg, 12, 6.7955, -0.158, -0.0315
2020-11-09, Brandenburg, 12, 7.1906, -0.5136, -0.1024
2020-11-10, Brandenburg, 12, 7.1511, -0.4741, -0.0945
2020-11-11, Brandenburg, 12, 7.2301, -0.079, -0.0157
2020-11-12, Brandenburg, 12, 7.1906, 0.4346, 0.0775
2020-11-13, Brandenburg, 12, 6.7165, 0.6321, 0.1127
2020-11-14, Brandenburg, 12, 7.2301, 0.3161, 0.0563
2020-11-15, Brandenburg, 12, 7.5462, 1.1063, 0.1972
2020-11-16, Brandenburg, 12, 7.2696, 0.8297, 0.1479
2020-11-17, Brandenburg, 12, 7.3487, 0.8297, 0.1479
2020-11-18, Brandenburg, 12, 8.1784, 0.7507, 0.1338
2020-11-19, Brandenburg, 12, 8.4944, 1.1458, 0.2042
2020-11-20, Brandenburg, 12, 8.9685, 1.4618, 0.2606
2020-11-21, Brandenburg, 12, 8.7315, 1.6594, 0.2958
2020-11-22, Brandenburg, 12, 8.6525, 0.7112, 0.1268
2020-11-23, Brandenburg, 12, 8.929, 1.1063, 0.1972
2020-11-24, Brandenburg, 12, 9.7587, 0.4346, 0.0775
2020-11-25, Brandenburg, 12, 9.2451, 0.3951, 0.0704
2020-11-26, Brandenburg, 12, 10.1143, 0.3161, 0.0563
2020-11-27, Brandenburg, 12, 10.1538, 0.5926, 0.1056
2020-11-28, Brandenburg, 12, 10.5489, 0.5136, 0.0915
2020-11-29, Brandenburg, 12, 11.2996, 0.9877, 0.1761
2020-11-30, Brandenburg, 12, 11.3391, 1.0272, 0.1831
2020-12-01, Brandenburg, 12, 11.6947, 1.6594, 0.2958
2020-12-02, Brandenburg, 12, 11.9712, 2.4891, 0.4437
2020-12-03, Brandenburg, 12, 12.2478, 1.3828, 0.2465
2020-12-04, Brandenburg, 12, 12.8404, 1.6989, 0.3028
2020-12-05, Brandenburg, 12, 12.8799, 1.9359, 0.3451
2020-12-06, Brandenburg, 12, 12.1293, 1.1853, 0.2113
2020-12-07, Brandenburg, 12, 11.7737, 0.6321, 0.1127
2020-12-08, Brandenburg, 12, 11.3786, -1.2248, -0.2441
2020-12-09, Brandenburg, 12, 11.8922, -1.3038, -0.2598
2020-12-10, Brandenburg, 12, 12.1293, -1.2248, -0.2441
2020-12-11, Brandenburg, 12, 12.5639, -1.3433, -0.2677
2020-12-12, Brandenburg, 12, 12.8799, -0.9877, -0.1969
2020-12-13, Brandenburg, 12, 13.433, -0.1975, -0.0394
2020-12-14, Brandenburg, 12, 14.3813, 0.6717, 0.1197
2020-12-15, Brandenburg, 12, 15.4875, 2.2915, 0.4085
2020-12-16, Brandenburg, 12, 16.8703, 2.2915, 0.4085
2020-12-17, Brandenburg, 12, 18.4902, 4.8991, 0.8732
2020-12-18, Brandenburg, 12, 19.0828, 4.425, 0.7887
2020-12-19, Brandenburg, 12, 22.1645, 4.8596, 0.8662
2020-12-20, Brandenburg, 12, 22.7967, 5.6103, 1
2020-12-21, Brandenburg, 12, 23.5869, 5.1362, 0.9155
2020-12-22, Brandenburg, 12, 23.9819, 5.6103, 1
2020-12-23, Brandenburg, 12, 24.6536, 4.267, 0.7606
2020-12-24, Brandenburg, 12, 23.7844, 1.7779, 0.3169
2020-12-25, Brandenburg, 12, 22.125, 1.5013, 0.2676
2020-12-26, Brandenburg, 12, 19.0828, -2.8842, -0.5748
2020-12-27, Brandenburg, 12, 19.9915, -4.5435, -0.9055
2020-12-28, Brandenburg, 12, 20.2681, -4.425, -0.8819
2020-12-29, Brandenburg, 12, 20.9002, -5.0176, -1
2020-12-30, Brandenburg, 12, 21.6509, -1.6199, -0.3228
2020-12-31, Brandenburg, 12, 22.9152, 0.3161, 0.0563
2021-01-01, Brandenburg, 12, 23.2313, 1.3828, 0.2465
2021-01-02, Brandenburg, 12, 23.2708, 3.5163, 0.6268
2021-01-03, Brandenburg, 12, 21.6114, 2.7261, 0.4859
2021-01-04, Brandenburg, 12, 20.8607, 1.3433, 0.2394
2021-01-05, Brandenburg, 12, 20.7027, 0.079, 0.0141
2021-01-06, Brandenburg, 12, 20.031, -1.5013, -0.2992
2021-01-07, Brandenburg, 12, 20.1891, -3.5953, -0.7165
2021-01-08, Brandenburg, 12, 21.9275, -1.1458, -0.2283
2021-01-09, Brandenburg, 12, 23.2313, 1.0667, 0.1901
2021-01-10, Brandenburg, 12, 23.7054, 1.5013, 0.2676
2021-01-11, Brandenburg, 12, 23.4288, 2.6471, 0.4718
2021-01-12, Brandenburg, 12, 22.7967, 3.2792, 0.5845
2021-01-13, Brandenburg, 12, 23.2313, 1.3828, 0.2465
2021-01-14, Brandenburg, 12, 22.6781, 1.6199, 0.2887
2021-01-15, Brandenburg, 12, 22.5596, -0.4741, -0.0945
2021-01-16, Brandenburg, 12, 22.204, -1.9754, -0.3937
2021-01-17, Brandenburg, 12, 21.967, , 
2021-01-18, Brandenburg, 12, 22.2831, -0.158, -0.0315
2021-01-19, Brandenburg, 12, 22.4806, -0.158, -0.0315
2021-01-20, Brandenburg, 12, 20.8607, -0.2766, -0.0551
2021-01-21, Brandenburg, 12, 19.5174, 0.5136, 0.0915
2021-01-22, Brandenburg, 12, 18.3717, -1.1458, -0.2283
2021-01-23, Brandenburg, 12, 17.9766, -1.2643, -0.252
2021-01-24, Brandenburg, 12, 18.1741, -2.8051, -0.5591
2021-01-25, Brandenburg, 12, 17.3839, -3.0422, -0.6063
2021-01-26, Brandenburg, 12, 16.2777, -2.2915, -0.4567
2021-01-27, Brandenburg, 12, 16.0406, -0.2371, -0.0472
2021-01-28, Brandenburg, 12, 15.7641, -1.3038, -0.2598
2021-01-29, Brandenburg, 12, 15.527, -1.5408, -0.3071
2021-01-30, Brandenburg, 12, 14.6578, -1.7384, -0.3465
2021-01-31, Brandenburg, 12, 13.8281, -1.7779, -0.3543
2021-02-01, Brandenburg, 12, 13.9467, -1.2248, -0.2441
2021-02-02, Brandenburg, 12, 13.2355, -1.5013, -0.2992
2021-02-03, Brandenburg, 12, 12.9589, -3.0817, -0.6142
2021-02-04, Brandenburg, 12, 11.7342, -2.7261, -0.5433
2021-02-05, Brandenburg, 12, 11.7342, -2.4891, -0.4961
2021-02-06, Brandenburg, 12, 11.6947, -1.9359, -0.3858
2021-02-07, Brandenburg, 12, 11.9712, -1.4618, -0.2913
2021-02-08, Brandenburg, 12, 11.6551, -2.015, -0.4016
2021-02-09, Brandenburg, 12, 11.6156, -1.4223, -0.2835
2021-02-10, Brandenburg, 12, 10.7069, -0.8692, -0.1732
2021-02-11, Brandenburg, 12, 11.102, -0.3161, -0.063
2021-02-12, Brandenburg, 12, 10.6674, 0.4741, 0.0845
2021-02-13, Brandenburg, 12, 10.2723, -0.0395, -0.0079
2021-02-14, Brandenburg, 12, 10.0353, -0.158, -0.0315
2021-02-15, Brandenburg, 12, 10.2328, 0.3556, 0.0634
2021-02-16, Brandenburg, 12, 9.9958, 0.079, 0.0141
2021-02-17, Brandenburg, 12, 9.7192, 0.3951, 0.0704
2021-02-18, Brandenburg, 12, 9.5217, -0.2766, -0.0551
2021-02-19, Brandenburg, 12, 9.4822, -0.7902, -0.1575
2021-02-20, Brandenburg, 12, 9.5217, -0.0395, -0.0079
2021-02-21, Brandenburg, 12, 9.5217, -0.3556, -0.0709
2021-02-22, Brandenburg, 12, 9.2056, -1.0667, -0.2126
2021-02-23, Brandenburg, 12, 9.1266, -1.2248, -0.2441
2021-02-24, Brandenburg, 12, 8.8105, -1.6989, -0.3386
2021-02-25, Brandenburg, 12, 8.2969, -1.6199, -0.3228
2021-02-26, Brandenburg, 12, 7.3092, -2.173, -0.4331
2021-02-27, Brandenburg, 12, 6.9536, -2.8051, -0.5591
2021-02-28, Brandenburg, 12, 6.2029, -2.6866, -0.5354
2021-03-01, Brandenburg, 12, 5.9659, -1.9359, -0.3858
2021-03-02, Brandenburg, 12, 6.0449, -1.9754, -0.3937
2021-03-03, Brandenburg, 12, 5.4522, -1.6989, -0.3386
2021-03-04, Brandenburg, 12, 4.9386, -1.5804, -0.315
2021-03-05, Brandenburg, 12, 5.1362, -1.2248, -0.2441
2021-03-06, Brandenburg, 12, 4.6225, -0.9482, -0.189
2021-03-07, Brandenburg, 12, 5.2152, -0.3951, -0.0787
2021-03-08, Brandenburg, 12, 5.0967, -0.7902, -0.1575
2021-03-09, Brandenburg, 12, 4.425, -1.1853, -0.2362
2021-03-10, Brandenburg, 12, 5.0967, -0.4741, -0.0945
2021-03-11, Brandenburg, 12, 5.3732, , 
2021-03-12, Brandenburg, 12, 5.7683, -0.0395, -0.0079
2021-03-13, Brandenburg, 12, 6.6375, 0.9087, 0.162
2021-03-14, Brandenburg, 12, 6.677, 0.6717, 0.1197
2021-03-15, Brandenburg, 12, 6.8351, 0.9482, 0.169
2021-03-16, Brandenburg, 12, 7.1511, 1.5408, 0.2746
2021-03-17, Brandenburg, 12, 7.1906, 1.6594, 0.2958
2021-03-18, Brandenburg, 12, 7.3882, 1.3828, 0.2465
2021-03-19, Brandenburg, 12, 7.2301, 1.4618, 0.2606
2021-03-20, Brandenburg, 12, 6.7165, 0.3161, 0.0563
2021-03-21, Brandenburg, 12, 6.9931, 0.0395, 0.007
2021-03-22, Brandenburg, 12, 7.1116, -0.1185, -0.0236
2021-03-23, Brandenburg, 12, 7.2696, -0.3556, -0.0709
2021-03-24, Brandenburg, 12, 7.5462, -0.6717, -0.1339
2021-03-25, Brandenburg, 12, 8.2969, -0.6717, -0.1339
