Meldedatum, difference, region, region_id, trend, value
2020-03-03, , Bremen, 4, , 0.2941
2020-03-04, , Bremen, 4, , 0.2941
2020-03-05, , Bremen, 4, , 0.2941
2020-03-06, , Bremen, 4, , 0.2941
2020-03-07, , Bremen, 4, , 0.2941
2020-03-08, , Bremen, 4, , 0.2941
2020-03-09, , Bremen, 4, , 0.147
2020-03-10, , Bremen, 4, , 
2020-03-11, , Bremen, 4, , 0.147
2020-03-12, , Bremen, 4, , 0.2941
2020-03-13, -0.147, Bremen, 4, -0.0357, 0.2941
2020-03-14, -0.147, Bremen, 4, -0.0357, 0.2941
2020-03-15, -0.147, Bremen, 4, -0.0357, 0.2941
2020-03-16, -0.147, Bremen, 4, -0.0357, 0.2941
2020-03-17, , Bremen, 4, , 0.2941
2020-03-18, , Bremen, 4, , 0.2941
2020-03-19, , Bremen, 4, , 0.147
2020-03-20, 0.147, Bremen, 4, 0.0333, 0.4411
2020-03-21, 0.147, Bremen, 4, 0.0333, 0.5881
2020-03-22, 0.147, Bremen, 4, 0.0333, 1.1762
2020-03-23, 0.147, Bremen, 4, 0.0333, 1.3233
2020-03-24, 0.4411, Bremen, 4, 0.1, 1.3233
2020-03-25, 0.5881, Bremen, 4, 0.1333, 1.7644
2020-03-26, 1.0292, Bremen, 4, 0.2333, 2.0584
2020-03-27, 1.3233, Bremen, 4, 0.3, 2.3525
2020-03-28, 1.3233, Bremen, 4, 0.3, 2.3525
2020-03-29, 1.3233, Bremen, 4, 0.3, 1.9114
2020-03-30, 1.3233, Bremen, 4, 0.3, 1.7644
2020-03-31, 1.6173, Bremen, 4, 0.3667, 2.2055
2020-04-01, 1.4703, Bremen, 4, 0.3333, 2.2055
2020-04-02, 0.8822, Bremen, 4, 0.2, 2.2055
2020-04-03, 0.2941, Bremen, 4, 0.0667, 1.9114
2020-04-04, 0.4411, Bremen, 4, 0.1, 2.6466
2020-04-05, 0.5881, Bremen, 4, 0.1333, 2.9406
2020-04-06, 0.7352, Bremen, 4, 0.1667, 3.0876
2020-04-07, , Bremen, 4, , 2.6466
2020-04-08, -0.2941, Bremen, 4, -0.0714, 3.2347
2020-04-09, 0.4411, Bremen, 4, 0.1, 3.0876
2020-04-10, 0.5881, Bremen, 4, 0.1333, 3.5287
2020-04-11, -0.147, Bremen, 4, -0.0357, 2.6466
2020-04-12, , Bremen, 4, , 2.7936
2020-04-13, 0.2941, Bremen, 4, 0.0667, 2.9406
2020-04-14, 0.7352, Bremen, 4, 0.1667, 3.2347
2020-04-15, , Bremen, 4, , 2.3525
2020-04-16, -0.5881, Bremen, 4, -0.1429, 2.4995
