Meldedatum, region, region_id, value, difference, trend
2020-03-03, Mecklenburg-Vorpommern, 13, , , 
2020-03-04, Mecklenburg-Vorpommern, 13, , , 
2020-03-05, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-06, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-07, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-08, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-09, Mecklenburg-Vorpommern, 13, 0.1242, , 
2020-03-10, Mecklenburg-Vorpommern, 13, 0.1242, , 
2020-03-11, Mecklenburg-Vorpommern, 13, 0.1242, , 
2020-03-12, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-13, Mecklenburg-Vorpommern, 13, 0.0621, , 
2020-03-14, Mecklenburg-Vorpommern, 13, 0.1862, , 
2020-03-15, Mecklenburg-Vorpommern, 13, 0.2483, , 
2020-03-16, Mecklenburg-Vorpommern, 13, 0.2483, , 
2020-03-17, Mecklenburg-Vorpommern, 13, 0.2483, , 
2020-03-18, Mecklenburg-Vorpommern, 13, 0.3104, 0.0621, 0.0076
2020-03-19, Mecklenburg-Vorpommern, 13, 0.6829, 0.1862, 0.0229
2020-03-20, Mecklenburg-Vorpommern, 13, 0.745, 0.2483, 0.0305
2020-03-21, Mecklenburg-Vorpommern, 13, 0.745, 0.3725, 0.0458
2020-03-22, Mecklenburg-Vorpommern, 13, 0.745, 0.2483, 0.0305
2020-03-23, Mecklenburg-Vorpommern, 13, 0.6829, 0.2483, 0.0305
2020-03-24, Mecklenburg-Vorpommern, 13, 0.745, 0.3725, 0.0458
2020-03-25, Mecklenburg-Vorpommern, 13, 0.8071, 0.3725, 0.0458
2020-03-26, Mecklenburg-Vorpommern, 13, 0.6829, 0.1242, 0.0153
2020-03-27, Mecklenburg-Vorpommern, 13, 0.8691, 0.0621, 0.0076
2020-03-28, Mecklenburg-Vorpommern, 13, 1.2416, 0.0621, 0.0076
2020-03-29, Mecklenburg-Vorpommern, 13, 1.3658, 0.4967, 0.0611
2020-03-30, Mecklenburg-Vorpommern, 13, 1.49, 0.745, 0.0916
2020-03-31, Mecklenburg-Vorpommern, 13, 1.49, 0.8071, 0.0992
2020-04-01, Mecklenburg-Vorpommern, 13, 2.1729, 1.3037, 0.1603
2020-04-02, Mecklenburg-Vorpommern, 13, 2.5454, 1.6762, 0.2061
