Meldedatum, region, region_id, value, difference, trend
2020-03-03, Niedersachsen, 3, 0.0125, , 
2020-03-04, Niedersachsen, 3, 0.025, , 
2020-03-05, Niedersachsen, 3, 0.0375, , 
2020-03-06, Niedersachsen, 3, 0.05, , 
2020-03-07, Niedersachsen, 3, 0.075, , 
2020-03-08, Niedersachsen, 3, 0.0875, , 
2020-03-09, Niedersachsen, 3, 0.0875, , 
2020-03-10, Niedersachsen, 3, 0.075, , 
2020-03-11, Niedersachsen, 3, 0.1, , 
2020-03-12, Niedersachsen, 3, 0.1125, , 
2020-03-13, Niedersachsen, 3, 0.1374, 0.0375, 0.0254
2020-03-14, Niedersachsen, 3, 0.1374, 0.0375, 0.0254
2020-03-15, Niedersachsen, 3, 0.1749, 0.0375, 0.0254
2020-03-16, Niedersachsen, 3, 0.2249, 0.025, 0.0169
2020-03-17, Niedersachsen, 3, 0.3249, 0.0375, 0.0254
2020-03-18, Niedersachsen, 3, 0.4248, 0.0375, 0.0254
2020-03-19, Niedersachsen, 3, 0.6247, 0.1249, 0.0847
2020-03-20, Niedersachsen, 3, 0.7247, 0.2499, 0.1695
2020-03-21, Niedersachsen, 3, 0.9621, 0.2749, 0.1864
2020-03-22, Niedersachsen, 3, 1.1245, 0.4873, 0.3305
2020-03-23, Niedersachsen, 3, 1.212, 0.6622, 0.4492
2020-03-24, Niedersachsen, 3, 1.3494, 0.7872, 0.5339
2020-03-25, Niedersachsen, 3, 1.5493, 1.112, 0.7542
2020-03-26, Niedersachsen, 3, 1.6993, 1.0246, 0.6949
2020-03-27, Niedersachsen, 3, 2.0116, 1.4494, 0.9831
2020-03-28, Niedersachsen, 3, 2.2365, 1.4119, 0.9576
2020-03-29, Niedersachsen, 3, 2.4614, 1.4369, 0.9746
2020-03-30, Niedersachsen, 3, 2.6489, 1.3994, 0.9492
2020-03-31, Niedersachsen, 3, 2.8363, 1.3494, 0.9153
2020-04-01, Niedersachsen, 3, 3.1112, 0.2999, 0.2034
2020-04-02, Niedersachsen, 3, 3.2986, 0.5872, 0.3983
2020-04-03, Niedersachsen, 3, 3.3611, 0.0375, 0.0254
2020-04-04, Niedersachsen, 3, 3.5735, 0.2249, 0.1525
2020-04-05, Niedersachsen, 3, 3.5485, -0.1374, -0.0917
2020-04-06, Niedersachsen, 3, 3.3861, -0.1249, -0.0833
2020-04-07, Niedersachsen, 3, 3.561, -0.1374, -0.0917
2020-04-08, Niedersachsen, 3, 3.411, 0.3374, 0.2288
2020-04-09, Niedersachsen, 3, 3.4985, 0.025, 0.0169
2020-04-10, Niedersachsen, 3, 3.461, , 
2020-04-11, Niedersachsen, 3, 3.1362, -0.2749, -0.1833
2020-04-12, Niedersachsen, 3, 2.9362, -0.1749, -0.1167
2020-04-13, Niedersachsen, 3, 3.0737, -0.2874, -0.1917
2020-04-14, Niedersachsen, 3, 2.7738, -0.5498, -0.3667
2020-04-15, Niedersachsen, 3, 2.8488, -0.2624, -0.175
2020-04-16, Niedersachsen, 3, 2.6988, -0.3499, -0.2333
2020-04-17, Niedersachsen, 3, 2.7238, -0.2749, -0.1833
2020-04-18, Niedersachsen, 3, 2.7613, -0.0875, -0.0583
2020-04-19, Niedersachsen, 3, 2.8738, , 
2020-04-20, Niedersachsen, 3, 2.8238, -0.0625, -0.0417
2020-04-21, Niedersachsen, 3, 2.7738, 0.4623, 0.3136
2020-04-22, Niedersachsen, 3, 2.5739, 0.1874, 0.1271
2020-04-23, Niedersachsen, 3, 2.3865, 0.1499, 0.1017
2020-04-24, Niedersachsen, 3, 2.1741, -0.1, -0.0667
2020-04-25, Niedersachsen, 3, 2.0366, -0.1499, -0.1
2020-04-26, Niedersachsen, 3, 1.8117, -0.3499, -0.2333
2020-04-27, Niedersachsen, 3, 1.6993, -0.4248, -0.2833
2020-04-28, Niedersachsen, 3, 1.5868, -0.8621, -0.575
2020-04-29, Niedersachsen, 3, 1.5868, -0.7997, -0.5333
2020-04-30, Niedersachsen, 3, 1.4744, -0.6122, -0.4083
2020-05-01, Niedersachsen, 3, 1.3369, -0.4873, -0.325
2020-05-02, Niedersachsen, 3, 1.112, -0.6372, -0.425
2020-05-03, Niedersachsen, 3, 1.0371, -0.5623, -0.375
2020-05-04, Niedersachsen, 3, 0.9121, -0.5748, -0.3833
2020-05-05, Niedersachsen, 3, 0.9996, -0.4623, -0.3083
2020-05-06, Niedersachsen, 3, 0.8746, -0.5373, -0.3583
2020-05-07, Niedersachsen, 3, 0.8746, -0.5997, -0.4
2020-05-08, Niedersachsen, 3, 0.8246, -0.4623, -0.3083
2020-05-09, Niedersachsen, 3, 0.8996, -0.2874, -0.1917
2020-05-10, Niedersachsen, 3, 0.9246, -0.2249, -0.15
2020-05-11, Niedersachsen, 3, 0.9246, -0.1, -0.0667
2020-05-12, Niedersachsen, 3, 0.8871, -0.1749, -0.1167
2020-05-13, Niedersachsen, 3, 0.7497, -0.0875, -0.0583
2020-05-14, Niedersachsen, 3, 0.6372, 0.025, 0.0169
2020-05-15, Niedersachsen, 3, 0.6247, -0.05, -0.0333
2020-05-16, Niedersachsen, 3, 0.5872, -0.1999, -0.1333
2020-05-17, Niedersachsen, 3, 0.5748, -0.1249, -0.0833
2020-05-18, Niedersachsen, 3, 0.5997, -0.1499, -0.1
2020-05-19, Niedersachsen, 3, 0.4873, -0.1374, -0.0917
2020-05-20, Niedersachsen, 3, 0.5123, , 
2020-05-21, Niedersachsen, 3, 0.6372, -0.0875, -0.0583
2020-05-22, Niedersachsen, 3, 0.5872, -0.0125, -0.0083
2020-05-23, Niedersachsen, 3, 0.5997, 0.0625, 0.0424
2020-05-24, Niedersachsen, 3, 0.5997, 0.025, 0.0169
2020-05-25, Niedersachsen, 3, 0.5623, , 
2020-05-26, Niedersachsen, 3, 0.5623, 0.025, 0.0169
2020-05-27, Niedersachsen, 3, 0.5872, 0.025, 0.0169
2020-05-28, Niedersachsen, 3, 0.4623, -0.0875, -0.0583
2020-05-29, Niedersachsen, 3, 0.5748, -0.1, -0.0667
2020-05-30, Niedersachsen, 3, 0.5248, -0.075, -0.05
2020-05-31, Niedersachsen, 3, 0.5248, -0.1, -0.0667
2020-06-01, Niedersachsen, 3, 0.5373, -0.025, -0.0167
2020-06-02, Niedersachsen, 3, 0.4873, -0.0875, -0.0583
2020-06-03, Niedersachsen, 3, 0.4623, -0.1499, -0.1
2020-06-04, Niedersachsen, 3, 0.5123, -0.0375, -0.025
2020-06-05, Niedersachsen, 3, 0.4873, -0.1, -0.0667
2020-06-06, Niedersachsen, 3, 0.4748, -0.0625, -0.0417
2020-06-07, Niedersachsen, 3, 0.4873, -0.075, -0.05
2020-06-08, Niedersachsen, 3, 0.4873, -0.1125, -0.075
2020-06-09, Niedersachsen, 3, 0.4748, 0.025, 0.0169
2020-06-10, Niedersachsen, 3, 0.3998, 0.0125, 0.0085
2020-06-11, Niedersachsen, 3, 0.3249, , 
2020-06-12, Niedersachsen, 3, 0.2374, -0.0625, -0.0417
2020-06-13, Niedersachsen, 3, 0.2999, -0.0875, -0.0583
2020-06-14, Niedersachsen, 3, 0.2749, -0.1, -0.0667
2020-06-15, Niedersachsen, 3, 0.2874, -0.1125, -0.075
2020-06-16, Niedersachsen, 3, 0.3748, -0.1374, -0.0917
2020-06-17, Niedersachsen, 3, 0.4373, -0.0375, -0.025
2020-06-18, Niedersachsen, 3, 0.4748, 0.1, 0.0678
2020-06-19, Niedersachsen, 3, 0.4623, 0.1749, 0.1186
2020-06-20, Niedersachsen, 3, 0.4123, 0.1249, 0.0847
2020-06-21, Niedersachsen, 3, 0.4498, 0.1249, 0.0847
2020-06-22, Niedersachsen, 3, 0.4248, 0.1374, 0.0932
2020-06-23, Niedersachsen, 3, 0.3873, 0.0375, 0.0254
2020-06-24, Niedersachsen, 3, 0.3623, , 
2020-06-25, Niedersachsen, 3, 0.2749, -0.1624, -0.1083
2020-06-26, Niedersachsen, 3, 0.2874, -0.1499, -0.1
2020-06-27, Niedersachsen, 3, 0.2874, -0.1125, -0.075
2020-06-28, Niedersachsen, 3, 0.2499, -0.1374, -0.0917
2020-06-29, Niedersachsen, 3, 0.2624, -0.1125, -0.075
2020-06-30, Niedersachsen, 3, 0.2624, -0.0625, -0.0417
2020-07-01, Niedersachsen, 3, 0.2124, -0.0375, -0.025
2020-07-02, Niedersachsen, 3, 0.2499, 0.0625, 0.0424
2020-07-03, Niedersachsen, 3, 0.2749, 0.0875, 0.0593
2020-07-04, Niedersachsen, 3, 0.2499, 0.05, 0.0339
2020-07-05, Niedersachsen, 3, 0.2374, 0.075, 0.0508
2020-07-06, Niedersachsen, 3, 0.2374, 0.0375, 0.0254
2020-07-07, Niedersachsen, 3, 0.1999, , 
2020-07-08, Niedersachsen, 3, 0.1874, -0.0125, -0.0083
2020-07-09, Niedersachsen, 3, 0.1749, -0.0875, -0.0583
2020-07-10, Niedersachsen, 3, 0.1374, -0.1749, -0.1167
2020-07-11, Niedersachsen, 3, 0.1125, -0.1499, -0.1
2020-07-12, Niedersachsen, 3, 0.1, -0.1374, -0.0917
2020-07-13, Niedersachsen, 3, 0.0875, -0.1374, -0.0917
2020-07-14, Niedersachsen, 3, 0.075, -0.1, -0.0667
2020-07-15, Niedersachsen, 3, 0.1, -0.0875, -0.0583
2020-07-16, Niedersachsen, 3, 0.0875, -0.075, -0.05
2020-07-17, Niedersachsen, 3, 0.0875, -0.05, -0.0333
2020-07-18, Niedersachsen, 3, 0.1249, , 
2020-07-19, Niedersachsen, 3, 0.1874, 0.0125, 0.0085
2020-07-20, Niedersachsen, 3, 0.1999, 0.0625, 0.0424
2020-07-21, Niedersachsen, 3, 0.2124, 0.1249, 0.0847
2020-07-22, Niedersachsen, 3, 0.2124, 0.0875, 0.0593
2020-07-23, Niedersachsen, 3, 0.2124, 0.1, 0.0678
2020-07-24, Niedersachsen, 3, 0.1999, 0.1249, 0.0847
