Meldedatum, difference, region, region_id, trend, value
2020-03-03, , Nordrhein-Westfalen, 5, , 0.0502
2020-03-04, , Nordrhein-Westfalen, 5, , 0.0725
2020-03-05, , Nordrhein-Westfalen, 5, , 0.0893
2020-03-06, , Nordrhein-Westfalen, 5, , 0.1004
2020-03-07, , Nordrhein-Westfalen, 5, , 0.1562
2020-03-08, , Nordrhein-Westfalen, 5, , 0.1897
2020-03-09, , Nordrhein-Westfalen, 5, , 0.2343
2020-03-10, 0.0335, Nordrhein-Westfalen, 5, 0.0198, 0.3236
2020-03-11, 0.0669, Nordrhein-Westfalen, 5, 0.0396, 0.4128
2020-03-12, 0.1729, Nordrhein-Westfalen, 5, 0.1023, 0.5132
2020-03-13, 0.212, Nordrhein-Westfalen, 5, 0.1254, 0.6694
2020-03-14, 0.2566, Nordrhein-Westfalen, 5, 0.1518, 0.8424
2020-03-15, 0.2622, Nordrhein-Westfalen, 5, 0.1551, 0.9205
2020-03-16, 0.2845, Nordrhein-Westfalen, 5, 0.1683, 1.032
2020-03-17, 0.3347, Nordrhein-Westfalen, 5, 0.198, 1.2719
2020-03-18, 0.251, Nordrhein-Westfalen, 5, 0.1485, 1.5341
2020-03-19, 0.1953, Nordrhein-Westfalen, 5, 0.1155, 1.8521
2020-03-20, 0.2622, Nordrhein-Westfalen, 5, 0.1551, 2.1924
2020-03-21, 0.1283, Nordrhein-Westfalen, 5, 0.0759, 2.4602
2020-03-22, 0.0893, Nordrhein-Westfalen, 5, 0.0528, 2.7837
2020-03-23, 0.781, Nordrhein-Westfalen, 5, 0.462, 2.912
2020-03-24, 0.8312, Nordrhein-Westfalen, 5, 0.4917, 3.1017
2020-03-25, 1.0042, Nordrhein-Westfalen, 5, 0.5941, 3.3304
2020-03-26, 1.0432, Nordrhein-Westfalen, 5, 0.6172, 3.799
2020-03-27, 1.1994, Nordrhein-Westfalen, 5, 0.7096, 4.0389
2020-03-28, 1.6624, Nordrhein-Westfalen, 5, 0.9835, 4.4238
2020-03-29, 1.8298, Nordrhein-Westfalen, 5, 1.0825, 4.7363
2020-03-30, 1.456, Nordrhein-Westfalen, 5, 0.8614, 5.0821
2020-03-31, 1.7294, Nordrhein-Westfalen, 5, 1.0231, 5.2997
2020-04-01, 1.9525, Nordrhein-Westfalen, 5, 1.1551, 5.8018
2020-04-02, 1.8856, Nordrhein-Westfalen, 5, 1.1155, 5.8966
2020-04-03, 1.8409, Nordrhein-Westfalen, 5, 1.0891, 6.0138
2020-04-04, 1.417, Nordrhein-Westfalen, 5, 0.8383, 6.0416
2020-04-05, 1.2552, Nordrhein-Westfalen, 5, 0.7426, 5.7962
2020-04-06, 0.8145, Nordrhein-Westfalen, 5, 0.4818, 5.6567
2020-04-07, 0.357, Nordrhein-Westfalen, 5, 0.2112, 5.8743
2020-04-08, -0.0558, Nordrhein-Westfalen, 5, -0.0251, 5.6511
2020-04-09, -0.0446, Nordrhein-Westfalen, 5, -0.0201, 5.7181
2020-04-10, -0.3403, Nordrhein-Westfalen, 5, -0.1533, 5.6344
2020-04-11, -0.6136, Nordrhein-Westfalen, 5, -0.2764, 5.2439
2020-04-12, -0.5355, Nordrhein-Westfalen, 5, -0.2412, 5.3611
2020-04-13, -0.2008, Nordrhein-Westfalen, 5, -0.0905, 5.3108
2020-04-14, -0.4909, Nordrhein-Westfalen, 5, -0.2211, 4.7251
2020-04-15, -0.3793, Nordrhein-Westfalen, 5, -0.1709, 4.4573
2020-04-16, -0.6192, Nordrhein-Westfalen, 5, -0.2789, 4.2063
2020-04-17, -0.4853, Nordrhein-Westfalen, 5, -0.2186, 4.0947
2020-04-18, 0.1172, Nordrhein-Westfalen, 5, 0.0693, 4.2063
2020-04-19, -0.0167, Nordrhein-Westfalen, 5, -0.0075, 3.9608
2020-04-20, -0.2008, Nordrhein-Westfalen, 5, -0.0905, 3.8437
2020-04-21, 0.106, Nordrhein-Westfalen, 5, 0.0627, 4.2621
2020-04-22, 0.106, Nordrhein-Westfalen, 5, 0.0627, 4.0724
2020-04-23, -0.0614, Nordrhein-Westfalen, 5, -0.0276, 3.7098
2020-04-24, -0.3012, Nordrhein-Westfalen, 5, -0.1357, 3.3249
2020-04-25, -0.8926, Nordrhein-Westfalen, 5, -0.402, 2.979
2020-04-26, -0.9372, Nordrhein-Westfalen, 5, -0.4221, 2.8786
2020-04-27, -1.1325, Nordrhein-Westfalen, 5, -0.5101, 2.661
2020-04-28, -1.2998, Nordrhein-Westfalen, 5, -0.5854, 2.1255
2020-04-29, -1.4504, Nordrhein-Westfalen, 5, -0.6533, 1.9637
2020-04-30, -1.311, Nordrhein-Westfalen, 5, -0.5905, 1.7294
2020-05-01, -1.0599, Nordrhein-Westfalen, 5, -0.4774, 1.8019
2020-05-02, -0.8535, Nordrhein-Westfalen, 5, -0.3844, 1.6513
2020-05-03, -0.8814, Nordrhein-Westfalen, 5, -0.397, 1.4895
2020-05-04, -0.7308, Nordrhein-Westfalen, 5, -0.3291, 1.5174
2020-05-05, -0.5634, Nordrhein-Westfalen, 5, -0.2538, 1.4393
2020-05-06, -0.4351, Nordrhein-Westfalen, 5, -0.196, 1.4672
2020-05-07, -0.1785, Nordrhein-Westfalen, 5, -0.0804, 1.5788
2020-05-08, -0.2566, Nordrhein-Westfalen, 5, -0.1156, 1.4839
2020-05-09, -0.1004, Nordrhein-Westfalen, 5, -0.0452, 1.5174
2020-05-10, 0.0167, Nordrhein-Westfalen, 5, 0.0099, 1.5174
2020-05-11, -0.0279, Nordrhein-Westfalen, 5, -0.0126, 1.4449
