Meldedatum, region, region_id, value, difference, trend
2020-03-03, Sachsen-Anhalt, 15, , , 
2020-03-04, Sachsen-Anhalt, 15, , , 
2020-03-05, Sachsen-Anhalt, 15, , , 
2020-03-06, Sachsen-Anhalt, 15, , , 
2020-03-07, Sachsen-Anhalt, 15, , , 
2020-03-08, Sachsen-Anhalt, 15, , , 
2020-03-09, Sachsen-Anhalt, 15, , , 
2020-03-10, Sachsen-Anhalt, 15, , , 
2020-03-11, Sachsen-Anhalt, 15, , , 
2020-03-12, Sachsen-Anhalt, 15, 0.0459, , 
2020-03-13, Sachsen-Anhalt, 15, 0.0917, , 
2020-03-14, Sachsen-Anhalt, 15, 0.0917, , 
2020-03-15, Sachsen-Anhalt, 15, 0.0917, , 
2020-03-16, Sachsen-Anhalt, 15, 0.0917, , 
2020-03-17, Sachsen-Anhalt, 15, 0.1834, , 
2020-03-18, Sachsen-Anhalt, 15, 0.2751, , 
2020-03-19, Sachsen-Anhalt, 15, 0.2293, , 
2020-03-20, Sachsen-Anhalt, 15, 0.5044, 0.2751, 0.0429
2020-03-21, Sachsen-Anhalt, 15, 0.8713, 0.2751, 0.0429
2020-03-22, Sachsen-Anhalt, 15, 0.963, 0.3669, 0.0571
2020-03-23, Sachsen-Anhalt, 15, 1.1923, 0.3669, 0.0571
2020-03-24, Sachsen-Anhalt, 15, 1.4674, 0.8713, 0.1357
2020-03-25, Sachsen-Anhalt, 15, 1.8801, 0.9171, 0.1429
2020-03-26, Sachsen-Anhalt, 15, 2.2011, 1.2381, 0.1929
2020-03-27, Sachsen-Anhalt, 15, 2.3846, 1.0089, 0.1571
2020-03-28, Sachsen-Anhalt, 15, 2.3846, 0.7796, 0.1214
2020-03-29, Sachsen-Anhalt, 15, 2.568, 1.2381, 0.1929
2020-03-30, Sachsen-Anhalt, 15, 2.4763, 1.0089, 0.1571
2020-03-31, Sachsen-Anhalt, 15, 2.4304, 0.4586, 0.0714
2020-04-01, Sachsen-Anhalt, 15, 2.247, 0.1834, 0.0286
2020-04-02, Sachsen-Anhalt, 15, 2.1094, -0.0459, -0.0085
2020-04-03, Sachsen-Anhalt, 15, 2.0177, -0.1834, -0.0342
2020-04-04, Sachsen-Anhalt, 15, 2.2011, 0.5044, 0.0786
2020-04-05, Sachsen-Anhalt, 15, 2.1094, -0.2293, -0.0427
2020-04-06, Sachsen-Anhalt, 15, 2.0177, 0.0917, 0.0143
2020-04-07, Sachsen-Anhalt, 15, 1.8343, 0.0917, 0.0143
2020-04-08, Sachsen-Anhalt, 15, 1.7884, 0.2293, 0.0357
2020-04-09, Sachsen-Anhalt, 15, 1.8801, 0.1834, 0.0286
2020-04-10, Sachsen-Anhalt, 15, 1.7426, 0.0459, 0.0071
2020-04-11, Sachsen-Anhalt, 15, 1.3757, -0.7337, -0.1368
2020-04-12, Sachsen-Anhalt, 15, 1.3757, -0.4586, -0.0855
2020-04-13, Sachsen-Anhalt, 15, 1.4216, -0.642, -0.1197
2020-04-14, Sachsen-Anhalt, 15, 1.284, -0.642, -0.1197
2020-04-15, Sachsen-Anhalt, 15, 1.284, -0.5503, -0.1026
2020-04-16, Sachsen-Anhalt, 15, 1.1923, -0.642, -0.1197
2020-04-17, Sachsen-Anhalt, 15, 1.1923, -0.3669, -0.0684
2020-04-18, Sachsen-Anhalt, 15, 1.2381, 0.0459, 0.0071
2020-04-19, Sachsen-Anhalt, 15, 1.284, -0.0917, -0.0171
2020-04-20, Sachsen-Anhalt, 15, 1.3299, 0.1376, 0.0214
2020-04-21, Sachsen-Anhalt, 15, 1.4216, 0.2293, 0.0357
2020-04-22, Sachsen-Anhalt, 15, 1.3757, 0.0917, 0.0143
2020-04-23, Sachsen-Anhalt, 15, 1.284, 0.0917, 0.0143
2020-04-24, Sachsen-Anhalt, 15, 1.1006, , 
2020-04-25, Sachsen-Anhalt, 15, 0.9171, -0.0459, -0.0085
2020-04-26, Sachsen-Anhalt, 15, 0.7796, -0.2293, -0.0427
2020-04-27, Sachsen-Anhalt, 15, 0.6879, -0.321, -0.0598
2020-04-28, Sachsen-Anhalt, 15, 0.5961, -0.4586, -0.0855
2020-04-29, Sachsen-Anhalt, 15, 0.5503, -0.5961, -0.1111
2020-04-30, Sachsen-Anhalt, 15, 0.642, -0.5503, -0.1026
2020-05-01, Sachsen-Anhalt, 15, 0.7796, -0.1834, -0.0342
2020-05-02, Sachsen-Anhalt, 15, 0.7796, -0.1834, -0.0342
2020-05-03, Sachsen-Anhalt, 15, 0.8254, -0.0459, -0.0085
2020-05-04, Sachsen-Anhalt, 15, 0.8254, -0.0917, -0.0171
2020-05-05, Sachsen-Anhalt, 15, 0.8713, 0.0917, 0.0143
2020-05-06, Sachsen-Anhalt, 15, 0.9171, 0.2293, 0.0357
2020-05-07, Sachsen-Anhalt, 15, 0.8254, 0.2293, 0.0357
2020-05-08, Sachsen-Anhalt, 15, 0.6879, -0.0917, -0.0171
2020-05-09, Sachsen-Anhalt, 15, 0.642, -0.1376, -0.0256
2020-05-10, Sachsen-Anhalt, 15, 0.642, -0.1376, -0.0256
2020-05-11, Sachsen-Anhalt, 15, 0.642, -0.0917, -0.0171
2020-05-12, Sachsen-Anhalt, 15, 0.642, -0.1376, -0.0256
2020-05-13, Sachsen-Anhalt, 15, 0.5503, -0.2293, -0.0427
2020-05-14, Sachsen-Anhalt, 15, 0.5044, -0.1834, -0.0342
2020-05-15, Sachsen-Anhalt, 15, 0.5961, -0.0459, -0.0085
2020-05-16, Sachsen-Anhalt, 15, 0.5961, 0.0459, 0.0071
2020-05-17, Sachsen-Anhalt, 15, 0.5044, , 
2020-05-18, Sachsen-Anhalt, 15, 0.5503, , 
2020-05-19, Sachsen-Anhalt, 15, 0.5044, -0.0917, -0.0171
2020-05-20, Sachsen-Anhalt, 15, 0.5503, -0.0917, -0.0171
2020-05-21, Sachsen-Anhalt, 15, 0.5503, 0.0917, 0.0143
2020-05-22, Sachsen-Anhalt, 15, 0.5044, -0.0459, -0.0085
2020-05-23, Sachsen-Anhalt, 15, 0.5503, -0.1376, -0.0256
2020-05-24, Sachsen-Anhalt, 15, 0.5044, 0.0459, 0.0071
2020-05-25, Sachsen-Anhalt, 15, 0.4127, -0.0917, -0.0171
2020-05-26, Sachsen-Anhalt, 15, 0.5503, 0.0917, 0.0143
2020-05-27, Sachsen-Anhalt, 15, 0.3669, 0.0459, 0.0071
2020-05-28, Sachsen-Anhalt, 15, 0.321, -0.2293, -0.0427
2020-05-29, Sachsen-Anhalt, 15, 0.2293, -0.2751, -0.0513
2020-05-30, Sachsen-Anhalt, 15, 0.2293, -0.2751, -0.0513
2020-05-31, Sachsen-Anhalt, 15, 0.2751, -0.2751, -0.0513
2020-06-01, Sachsen-Anhalt, 15, 0.2751, -0.1834, -0.0342
2020-06-02, Sachsen-Anhalt, 15, 0.1834, -0.4586, -0.0855
2020-06-03, Sachsen-Anhalt, 15, 0.2293, -0.2751, -0.0513
2020-06-04, Sachsen-Anhalt, 15, 0.2293, -0.1376, -0.0256
2020-06-05, Sachsen-Anhalt, 15, 0.1834, -0.0459, -0.0085
2020-06-06, Sachsen-Anhalt, 15, 0.1834, -0.0917, -0.0171
2020-06-07, Sachsen-Anhalt, 15, 0.1376, -0.0917, -0.0171
2020-06-08, Sachsen-Anhalt, 15, 0.1376, -0.0917, -0.0171
2020-06-09, Sachsen-Anhalt, 15, 0.0917, , 
2020-06-10, Sachsen-Anhalt, 15, 0.0917, -0.0459, -0.0085
2020-06-11, Sachsen-Anhalt, 15, 0.1376, -0.0917, -0.0171
2020-06-12, Sachsen-Anhalt, 15, 0.1376, , 
2020-06-13, Sachsen-Anhalt, 15, 0.1376, , 
2020-06-14, Sachsen-Anhalt, 15, 0.2293, 0.0459, 0.0071
2020-06-15, Sachsen-Anhalt, 15, 0.321, 0.1376, 0.0214
2020-06-16, Sachsen-Anhalt, 15, 0.4127, 0.2293, 0.0357
2020-06-17, Sachsen-Anhalt, 15, 0.3669, 0.321, 0.05
2020-06-18, Sachsen-Anhalt, 15, 0.321, 0.2293, 0.0357
2020-06-19, Sachsen-Anhalt, 15, 0.4127, 0.2751, 0.0429
2020-06-20, Sachsen-Anhalt, 15, 0.3669, 0.2751, 0.0429
2020-06-21, Sachsen-Anhalt, 15, 0.321, 0.1376, 0.0214
2020-06-22, Sachsen-Anhalt, 15, 0.2293, -0.0459, -0.0085
2020-06-23, Sachsen-Anhalt, 15, 0.1834, -0.1834, -0.0342
2020-06-24, Sachsen-Anhalt, 15, 0.1834, -0.1834, -0.0342
