Meldedatum, region, region_id, value, difference, trend
2020-03-03, Thüringen, 16, 0.0472, , 
2020-03-04, Thüringen, 16, 0.0472, , 
2020-03-05, Thüringen, 16, 0.0472, , 
2020-03-06, Thüringen, 16, 0.0472, , 
2020-03-07, Thüringen, 16, 0.0472, , 
2020-03-08, Thüringen, 16, 0.0943, , 
2020-03-09, Thüringen, 16, 0.0943, , 
2020-03-10, Thüringen, 16, 0.0472, , 
2020-03-11, Thüringen, 16, 0.0943, , 
2020-03-12, Thüringen, 16, 0.0943, , 
2020-03-13, Thüringen, 16, 0.1415, , 
2020-03-14, Thüringen, 16, 0.1887, 0.0472, 0.0047
2020-03-15, Thüringen, 16, 0.2358, 0.0472, 0.0047
2020-03-16, Thüringen, 16, 0.2358, 0.0472, 0.0047
2020-03-17, Thüringen, 16, 0.3302, 0.1415, 0.0142
2020-03-18, Thüringen, 16, 0.4716, 0.1887, 0.019
2020-03-19, Thüringen, 16, 0.6603, 0.283, 0.0284
2020-03-20, Thüringen, 16, 0.8018, 0.4245, 0.0427
2020-03-21, Thüringen, 16, 1.0376, 0.3773, 0.0379
2020-03-22, Thüringen, 16, 1.0848, 0.6131, 0.0616
2020-03-23, Thüringen, 16, 1.3206, 0.6131, 0.0616
2020-03-24, Thüringen, 16, 1.4621, 0.8961, 0.09
2020-03-25, Thüringen, 16, 1.9809, 1.1791, 0.1185
2020-03-26, Thüringen, 16, 2.3111, 1.5093, 0.1517
2020-03-27, Thüringen, 16, 2.3582, 1.4149, 0.1422
2020-03-28, Thüringen, 16, 2.7355, 1.0848, 0.109
2020-03-29, Thüringen, 16, 3.4902, 1.6036, 0.1611
2020-03-30, Thüringen, 16, 3.443, 1.6508, 0.1659
2020-03-31, Thüringen, 16, 3.5845, 1.7451, 0.1754
2020-04-01, Thüringen, 16, 3.5845, 1.6508, 0.1659
2020-04-02, Thüringen, 16, 3.726, 1.1791, 0.1185
2020-04-03, Thüringen, 16, 4.0562, 1.2734, 0.128
2020-04-04, Thüringen, 16, 3.7732, 1.5093, 0.1517
2020-04-05, Thüringen, 16, 3.3487, 0.283, 0.0284
2020-04-06, Thüringen, 16, 3.6317, 0.5188, 0.0521
2020-04-07, Thüringen, 16, 3.6317, 0.0943, 0.0095
2020-04-08, Thüringen, 16, 3.726, 0.1415, 0.0142
2020-04-09, Thüringen, 16, 3.443, -0.1415, -0.0157
2020-04-10, Thüringen, 16, 3.4902, -0.1887, -0.0209
2020-04-11, Thüringen, 16, 3.5373, -0.0472, -0.0052
2020-04-12, Thüringen, 16, 3.443, 0.1887, 0.019
2020-04-13, Thüringen, 16, 3.3958, -0.283, -0.0314
2020-04-14, Thüringen, 16, 3.3015, -0.4245, -0.0471
2020-04-15, Thüringen, 16, 3.1129, -0.9433, -0.1047
2020-04-16, Thüringen, 16, 3.1129, -0.1887, -0.0209
2020-04-17, Thüringen, 16, 3.1129, -0.566, -0.0628
2020-04-18, Thüringen, 16, 3.0185, -0.7075, -0.0785
2020-04-19, Thüringen, 16, 3.2072, -0.4716, -0.0524
2020-04-20, Thüringen, 16, 2.9714, -0.3773, -0.0419
2020-04-21, Thüringen, 16, 3.443, -0.2358, -0.0262
