Meldedatum, difference, trend, value
2020-03-03, , , 0.0553
2020-03-04, , , 0.077
2020-03-05, , , 0.0914
2020-03-06, , , 0.1106
2020-03-07, , , 0.1612
2020-03-08, , , 0.1816
2020-03-09, , , 0.1948
2020-03-10, 0.0625, 0.0476, 0.2225
2020-03-11, 0.0902, 0.0686, 0.2706
2020-03-12, 0.1371, 0.1043, 0.3211
2020-03-13, 0.1515, 0.1153, 0.3909
2020-03-14, 0.1551, 0.118, 0.4775
2020-03-15, 0.1491, 0.1134, 0.546
2020-03-16, 0.1852, 0.1409, 0.6362
2020-03-17, 0.2574, 0.1958, 0.831
2020-03-18, 0.2237, 0.1702, 1.0379
2020-03-19, 0.2682, 0.204, 1.3626
2020-03-20, 0.3981, 0.3028, 1.6934
2020-03-21, 0.5063, 0.3852, 2.0361
2020-03-22, 0.6001, 0.4565, 2.4282
2020-03-23, 0.8094, 0.6157, 2.6856
2020-03-24, 1.0151, 0.7722, 3.0428
2020-03-25, 1.2315, 0.9369, 3.602
2020-03-26, 1.4769, 1.1235, 4.1913
2020-03-27, 1.6873, 1.2836, 4.7794
2020-03-28, 1.9964, 1.5188, 5.3687
2020-03-29, 2.0445, 1.5554, 5.8522
2020-03-30, 2.1648, 1.6468, 6.1949
2020-03-31, 2.2923, 1.7438, 6.5954
2020-04-01, 2.3272, 1.7704, 7.1102
2020-04-02, 2.2165, 1.6862, 7.3784
2020-04-03, 2.0349, 1.548, 7.5407
2020-04-04, 1.6212, 1.2333, 7.6526
2020-04-05, 1.5406, 1.172, 7.5131
2020-04-06, 1.1449, 0.871, 7.3519
2020-04-07, 0.6482, 0.4931, 7.2773
2020-04-08, 0.1335, 0.1016, 6.9803
2020-04-09, -0.2718, -0.1738, 6.7855
2020-04-10, -0.5352, -0.3423, 6.5666
2020-04-11, -0.8214, -0.5254, 6.0037
2020-04-12, -1.068, -0.6831, 5.7921
2020-04-13, -1.0499, -0.6715, 5.7139
2020-04-14, -1.2363, -0.7908, 5.2533
2020-04-15, -1.0872, -0.6954, 4.8973
2020-04-16, -1.0632, -0.68, 4.6567
2020-04-17, -1.098, -0.7023, 4.397
2020-04-18, -0.742, -0.4746, 4.3873
2020-04-19, -0.6615, -0.4231, 4.2178
2020-04-20, -0.7048, -0.4508, 4.0734
2020-04-21, -0.4197, -0.2685, 4.1143
2020-04-22, -0.3909, -0.25, 3.9003
2020-04-23, -0.4354, -0.2785, 3.6068
2020-04-24, -0.4654, -0.2977, 3.2869
2020-04-25, -0.7481, -0.4785, 3.0452
