Meldedatum, region, region_id, value, difference, trend
2020-03-03, Berlin, 11, , , 
2020-03-04, Berlin, 11, 0.2, , 
2020-03-05, Berlin, 11, 0.3, , 
2020-03-06, Berlin, 11, 0.5, , 
2020-03-07, Berlin, 11, 0.7, , 
2020-03-08, Berlin, 11, 0.7, , 
2020-03-09, Berlin, 11, 1, , 
2020-03-10, Berlin, 11, 1.6, , 
2020-03-11, Berlin, 11, 2.3, 2.1873, 0.0306
2020-03-12, Berlin, 11, 3.3, 3.2536, 0.0455
2020-03-13, Berlin, 11, 4.3, 3.8551, 0.054
2020-03-14, Berlin, 11, 5.8, 4.7847, 0.067
2020-03-15, Berlin, 11, 6.6, 6.0971, 0.0853
2020-03-16, Berlin, 11, 7, 6.3705, 0.0892
2020-03-17, Berlin, 11, 8.1, 6.8627, 0.0961
2020-03-18, Berlin, 11, 9.8, 5.9057, 0.0827
2020-03-19, Berlin, 11, 12.6, 8.6125, 0.1206
2020-03-20, Berlin, 11, 16.2, 10.9092, 0.1527
2020-03-21, Berlin, 11, 19.2, 11.8661, 0.1661
2020-03-22, Berlin, 11, 21.9, 14.0808, 0.1971
2020-03-23, Berlin, 11, 23.1, 14.2995, 0.2002
2020-03-24, Berlin, 11, 25.7, 15.9947, 0.2239
2020-03-25, Berlin, 11, 28.6, 18.5648, 0.2599
2020-03-26, Berlin, 11, 31.3, 17.0337, 0.2384
2020-03-27, Berlin, 11, 34.2, 17.3344, 0.2426
2020-03-28, Berlin, 11, 35.2, 16.2681, 0.2277
2020-03-29, Berlin, 11, 37.2, 14.7096, 0.2059
2020-03-30, Berlin, 11, 37.7, 14.819, 0.2074
2020-03-31, Berlin, 11, 37.9, 11.2646, 0.1577
2020-04-01, Berlin, 11, 38.3, 7.6556, 0.1072
2020-04-02, Berlin, 11, 36.7, 4.484, 0.0628
2020-04-03, Berlin, 11, 35.4, -0.1367, -0.0017
2020-04-04, Berlin, 11, 36.3, 0.8202, 0.0115
2020-04-05, Berlin, 11, 33.7, -2.3787, -0.0291
2020-04-06, Berlin, 11, 33.5, -4.1285, -0.0506
2020-04-07, Berlin, 11, 32.8, -2.7068, -0.0332
2020-04-08, Berlin, 11, 32.6, -3.0075, -0.0368
2020-04-09, Berlin, 11, 32.3, -2.4607, -0.0301
2020-04-10, Berlin, 11, 30.6, -3.2263, -0.0395
2020-04-11, Berlin, 11, 26.4, -8.6946, -0.1065
2020-04-12, Berlin, 11, 25.8, -7.5736, -0.0928
2020-04-13, Berlin, 11, 25.2, -7.847, -0.0961
2020-04-14, Berlin, 11, 22.9, -10.0343, -0.1229
2020-04-15, Berlin, 11, 19.4, -13.3699, -0.1638
2020-04-16, Berlin, 11, 17.6, -14.2722, -0.1748
2020-04-17, Berlin, 11, 15.4, -14.4636, -0.1772
2020-04-18, Berlin, 11, 16.4, -9.8976, -0.1212
2020-04-19, Berlin, 11, 16.2, -9.5421, -0.1169
2020-04-20, Berlin, 11, 15.6, -8.8586, -0.1085
2020-04-21, Berlin, 11, 15.2, -7.3275, -0.0898
2020-04-22, Berlin, 11, 15.3, -3.1169, -0.0382
2020-04-23, Berlin, 11, 14.4, -4.648, -0.0569
2020-04-24, Berlin, 11, 14.2, -1.7498, -0.0214
2020-04-25, Berlin, 11, 13, -4.484, -0.0549
2020-04-26, Berlin, 11, 12.2, -4.8941, -0.0599
2020-04-27, Berlin, 11, 11.9, -4.2653, -0.0522
2020-04-28, Berlin, 11, 12.2, -4.1832, -0.0512
2020-04-29, Berlin, 11, 12.2, -4.5933, -0.0563
2020-04-30, Berlin, 11, 11.8, -1.8319, -0.0224
2020-05-01, Berlin, 11, 11, -3.1716, -0.0388
2020-05-02, Berlin, 11, 9.7, -1.9412, -0.0238
2020-05-03, Berlin, 11, 9, -2.2967, -0.0281
2020-05-04, Berlin, 11, 9.3, -2.1053, -0.0258
2020-05-05, Berlin, 11, 9.2, -2.324, -0.0285
2020-05-06, Berlin, 11, 8.6, -2.7888, -0.0342
2020-05-07, Berlin, 11, 8.4, -3.0896, -0.0378
2020-05-08, Berlin, 11, 8.4, -2.2146, -0.0271
2020-05-09, Berlin, 11, 7.8, -1.5585, -0.0191
2020-05-10, Berlin, 11, 7.4, -1.3397, -0.0164
2020-05-11, Berlin, 11, 6.8, -2.2693, -0.0278
2020-05-12, Berlin, 11, 5.9, -2.9802, -0.0365
2020-05-13, Berlin, 11, 5.4, -2.8982, -0.0355
2020-05-14, Berlin, 11, 5.4, -2.9802, -0.0365
2020-05-15, Berlin, 11, 5.1, -3.2263, -0.0395
2020-05-16, Berlin, 11, 5.4, -2.7068, -0.0332
2020-05-17, Berlin, 11, 5.4, -2.324, -0.0285
2020-05-18, Berlin, 11, 5.4, -1.6678, -0.0204
2020-05-19, Berlin, 11, 5.9, -0.1914, -0.0023
2020-05-20, Berlin, 11, 6.1, 0.3281, 0.0046
2020-05-21, Berlin, 11, 5.7, 0.4648, 0.0065
2020-05-22, Berlin, 11, 4.8, 0.1367, 0.0019
2020-05-23, Berlin, 11, 5.2, -0.2461, -0.003
2020-05-24, Berlin, 11, 5, -0.1094, -0.0013
2020-05-25, Berlin, 11, 4.9, -0.2734, -0.0033
2020-05-26, Berlin, 11, 4.6, -0.9843, -0.0121
2020-05-27, Berlin, 11, 4, -1.4764, -0.0181
2020-05-28, Berlin, 11, 3.9, -1.7225, -0.0211
2020-05-29, Berlin, 11, 4.3, -0.6289, -0.0077
2020-05-30, Berlin, 11, 4.1, -1.1757, -0.0144
2020-05-31, Berlin, 11, 4.5, -0.6835, -0.0084
2020-06-01, Berlin, 11, 5.2, -0.2461, -0.003
2020-06-02, Berlin, 11, 4.6, 0.3828, 0.0054
2020-06-03, Berlin, 11, 5.1, 1.4764, 0.0207
2020-06-04, Berlin, 11, 5.5, 1.5858, 0.0222
2020-06-05, Berlin, 11, 5.7, 1.3944, 0.0195
2020-06-06, Berlin, 11, 5.9, 1.2577, 0.0176
2020-06-07, Berlin, 11, 5.7, 0.7929, 0.0111
2020-06-08, Berlin, 11, 5.2, 0.2187, 0.0031
2020-06-09, Berlin, 11, 5.9, 0.8476, 0.0119
2020-06-10, Berlin, 11, 6.3, 0.4921, 0.0069
2020-06-11, Berlin, 11, 6.9, 0.9843, 0.0138
