Meldedatum, difference, region, region_id, trend, value
2020-03-03, , Bremen, 4, , 0.3
2020-03-04, , Bremen, 4, , 0.6
2020-03-05, , Bremen, 4, , 0.6
2020-03-06, , Bremen, 4, , 0.6
2020-03-07, , Bremen, 4, , 0.6
2020-03-08, , Bremen, 4, , 0.6
2020-03-09, , Bremen, 4, , 0.4
2020-03-10, 0.147, Bremen, 4, 0.0017, 1.3
2020-03-11, 2.3525, Bremen, 4, 0.0274, 2.6
2020-03-12, 3.6758, Bremen, 4, 0.0428, 4.3
2020-03-13, 5.1461, Bremen, 4, 0.0599, 5.3
2020-03-14, 6.3223, Bremen, 4, 0.0736, 6.6
2020-03-15, 6.7634, Bremen, 4, 0.0788, 7.1
2020-03-16, 7.3515, Bremen, 4, 0.0856, 7.5
2020-03-17, 6.4694, Bremen, 4, 0.0753, 6.6
2020-03-18, 4.4109, Bremen, 4, 0.0514, 6.8
2020-03-19, 2.7936, Bremen, 4, 0.0325, 6.6
2020-03-20, 6.3223, Bremen, 4, 0.0736, 11.5
2020-03-21, 6.7634, Bremen, 4, 0.0788, 13.7
2020-03-22, 9.2629, Bremen, 4, 0.1079, 16.5
2020-03-23, 9.1159, Bremen, 4, 0.1062, 16.6
2020-03-24, 11.7625, Bremen, 4, 0.137, 18.2
2020-03-25, 12.3506, Bremen, 4, 0.1438, 19.3
2020-03-26, 12.4976, Bremen, 4, 0.1455, 19.4
2020-03-27, 6.0283, Bremen, 4, 0.0702, 18.1
2020-03-28, 4.1169, Bremen, 4, 0.0479, 17.5
2020-03-29, , Bremen, 4, , 17.9
2020-03-30, 0.7352, Bremen, 4, 0.0086, 17.5
2020-03-31, -1.4703, Bremen, 4, -0.0212, 16.9
2020-04-01, -2.4995, Bremen, 4, -0.036, 16.6
2020-04-02, -1.9114, Bremen, 4, -0.0275, 17.3
2020-04-03, -3.3817, Bremen, 4, -0.0487, 14.4
2020-04-04, -3.9698, Bremen, 4, -0.0572, 16.3
2020-04-05, -1.1762, Bremen, 4, -0.0169, 14.9
2020-04-06, -1.9114, Bremen, 4, -0.0275, 15.1
2020-04-07, -2.2055, Bremen, 4, -0.0318, 14.7
2020-04-08, -0.7352, Bremen, 4, -0.0106, 17.5
2020-04-09, -0.7352, Bremen, 4, -0.0106, 16
2020-04-10, 1.7644, Bremen, 4, 0.0205, 17.1
2020-04-11, -0.147, Bremen, 4, -0.0021, 13.5
2020-04-12, -2.3525, Bremen, 4, -0.0339, 13.2
2020-04-13, -2.2055, Bremen, 4, -0.0318, 13.4
2020-04-14, -1.3233, Bremen, 4, -0.0191, 13.5
2020-04-15, -6.6164, Bremen, 4, -0.0953, 9.3
2020-04-16, -7.2045, Bremen, 4, -0.1038, 10.6
2020-04-17, -1.9114, Bremen, 4, -0.0275, 14.6
2020-04-18, 1.1762, Bremen, 4, 0.0137, 15
2020-04-19, 2.3525, Bremen, 4, 0.0274, 15.6
2020-04-20, 4.1169, Bremen, 4, 0.0479, 16.8
2020-04-21, 3.9698, Bremen, 4, 0.0462, 16.9
2020-04-22, 9.557, Bremen, 4, 0.1113, 18.2
2020-04-23, 14.262, Bremen, 4, 0.1661, 31.9
2020-04-24, 8.0867, Bremen, 4, 0.0942, 27.8
2020-04-25, 8.0867, Bremen, 4, 0.0942, 28.5
2020-04-26, 7.7926, Bremen, 4, 0.0908, 28.2
2020-04-27, 6.0283, Bremen, 4, 0.0702, 28.5
2020-04-28, 5.7342, Bremen, 4, 0.0668, 28.5
2020-04-29, 7.3515, Bremen, 4, 0.0856, 32.5
2020-04-30, -4.2639, Bremen, 4, -0.0614, 22.8
2020-05-01, 0.147, Bremen, 4, 0.0017, 23.5
2020-05-02, -1.0292, Bremen, 4, -0.0148, 22.8
2020-05-03, -2.9406, Bremen, 4, -0.0424, 21
2020-05-04, -2.7936, Bremen, 4, -0.0403, 21.5
2020-05-05, -3.2347, Bremen, 4, -0.0466, 22.9
2020-05-06, -8.8218, Bremen, 4, -0.1271, 18.1
2020-05-07, -1.0292, Bremen, 4, -0.0148, 19.8
2020-05-08, -2.0584, Bremen, 4, -0.0297, 20.9
2020-05-09, 1.0292, Bremen, 4, 0.012, 23.2
2020-05-10, 4.852, Bremen, 4, 0.0565, 25
2020-05-11, 3.5287, Bremen, 4, 0.0411, 24.3
2020-05-12, 2.2055, Bremen, 4, 0.0257, 22.2
2020-05-13, 6.0283, Bremen, 4, 0.0702, 23.7
2020-05-14, 1.1762, Bremen, 4, 0.0137, 20
2020-05-15, -1.4703, Bremen, 4, -0.0212, 19.1
2020-05-16, -4.705, Bremen, 4, -0.0678, 18.1
2020-05-17, -7.0575, Bremen, 4, -0.1017, 18.7
2020-05-18, -7.0575, Bremen, 4, -0.1017, 18.4
2020-05-19, -2.6466, Bremen, 4, -0.0381, 19.6
2020-05-20, -4.1169, Bremen, 4, -0.0593, 19.4
2020-05-21, -2.0584, Bremen, 4, -0.0297, 17.8
2020-05-22, -2.2055, Bremen, 4, -0.0318, 16.8
2020-05-23, -3.6758, Bremen, 4, -0.053, 14.3
2020-05-24, -5.8812, Bremen, 4, -0.0847, 11.9
2020-05-25, -4.705, Bremen, 4, -0.0678, 12.4
2020-05-26, -8.5278, Bremen, 4, -0.1229, 11
2020-05-27, -9.8511, Bremen, 4, -0.1419, 9.7
2020-05-28, -6.9104, Bremen, 4, -0.0996, 10.9
2020-05-29, -4.999, Bremen, 4, -0.072, 12.4
2020-05-30, 0.7352, Bremen, 4, 0.0086, 16
2020-05-31, 2.6466, Bremen, 4, 0.0308, 19.1
2020-06-01, 0.2941, Bremen, 4, 0.0034, 18.4
2020-06-02, 7.0575, Bremen, 4, 0.0822, 18.2
2020-06-03, 8.6748, Bremen, 4, 0.101, 18.4
2020-06-04, 5.8812, Bremen, 4, 0.0685, 17.2
2020-06-05, 6.1753, Bremen, 4, 0.0719, 18.4
2020-06-06, 0.8822, Bremen, 4, 0.0103, 16.3
2020-06-07, -1.6173, Bremen, 4, -0.0233, 13.5
2020-06-08, 1.3233, Bremen, 4, 0.0154, 14.6
2020-06-09, -3.9698, Bremen, 4, -0.0572, 14.6
2020-06-10, -3.5287, Bremen, 4, -0.0508, 15.1
2020-06-11, -1.7644, Bremen, 4, -0.0254, 15
2020-06-12, -7.0575, Bremen, 4, -0.1017, 11.2
2020-06-13, -6.0283, Bremen, 4, -0.0869, 10.1
2020-06-14, -2.6466, Bremen, 4, -0.0381, 10.6
2020-06-15, -5.2931, Bremen, 4, -0.0763, 8.8
2020-06-16, -5.2931, Bremen, 4, -0.0763, 8.8
2020-06-17, -6.0283, Bremen, 4, -0.0869, 8.7
2020-06-18, -6.9104, Bremen, 4, -0.0996, 7.9
2020-06-19, -3.2347, Bremen, 4, -0.0466, 7.8
2020-06-20, -1.9114, Bremen, 4, -0.0275, 8.1
2020-06-21, -2.2055, Bremen, 4, -0.0318, 8.1
2020-06-22, -0.5881, Bremen, 4, -0.0085, 8.1
2020-06-23, 0.147, Bremen, 4, 0.0017, 8.8
2020-06-24, -1.9114, Bremen, 4, -0.0275, 6.8
2020-06-25, -2.9406, Bremen, 4, -0.0424, 5.3
2020-06-26, -3.0876, Bremen, 4, -0.0445, 4.7
2020-06-27, -4.705, Bremen, 4, -0.0678, 3.4
2020-06-28, -5.7342, Bremen, 4, -0.0826, 2.5
2020-06-29, -6.1753, Bremen, 4, -0.089, 2.1
2020-06-30, -7.6456, Bremen, 4, -0.1102, 1.3
2020-07-01, -4.705, Bremen, 4, -0.0678, 2.1
2020-07-02, -2.7936, Bremen, 4, -0.0403, 2.4
2020-07-03, -2.2055, Bremen, 4, -0.0318, 2.5
2020-07-04, -1.0292, Bremen, 4, -0.0148, 2.4
2020-07-05, , Bremen, 4, , 2.5
2020-07-06, 0.5881, Bremen, 4, 0.0068, 2.6
2020-07-07, 1.1762, Bremen, 4, 0.0137, 2.5
2020-07-08, -0.2941, Bremen, 4, -0.0042, 2.1
2020-07-09, -0.2941, Bremen, 4, -0.0042, 1.9
2020-07-10, -0.5881, Bremen, 4, -0.0085, 1.9
2020-07-11, -0.2941, Bremen, 4, -0.0042, 2.1
2020-07-12, -0.8822, Bremen, 4, -0.0127, 1.6
2020-07-13, -1.0292, Bremen, 4, -0.0148, 1.6
2020-07-14, -0.7352, Bremen, 4, -0.0106, 1.8
2020-07-15, -0.2941, Bremen, 4, -0.0042, 1.5
2020-07-16, , Bremen, 4, , 1.9
2020-07-17, , Bremen, 4, , 1.9
2020-07-18, 0.8822, Bremen, 4, 0.0103, 2.9
2020-07-19, 2.6466, Bremen, 4, 0.0308, 4.3
2020-07-20, 2.7936, Bremen, 4, 0.0325, 4.4
2020-07-21, 2.6466, Bremen, 4, 0.0308, 4.4
2020-07-22, 3.5287, Bremen, 4, 0.0411, 5
2020-07-23, 2.4995, Bremen, 4, 0.0291, 4.4
2020-07-24, 2.7936, Bremen, 4, 0.0325, 4.7
2020-07-25, 1.9114, Bremen, 4, 0.0223, 4.9
2020-07-26, -0.147, Bremen, 4, -0.0021, 4.3
2020-07-27, -0.4411, Bremen, 4, -0.0064, 4
2020-07-28, 0.147, Bremen, 4, 0.0017, 4.6
2020-07-29, -0.147, Bremen, 4, -0.0021, 4.9
2020-07-30, 0.8822, Bremen, 4, 0.0103, 5.3
2020-07-31, 1.3233, Bremen, 4, 0.0154, 6
2020-08-01, 0.8822, Bremen, 4, 0.0103, 5.7
2020-08-02, 1.0292, Bremen, 4, 0.012, 5.1
2020-08-03, 1.1762, Bremen, 4, 0.0137, 5.1
2020-08-04, 0.5881, Bremen, 4, 0.0068, 5
2020-08-05, -0.147, Bremen, 4, -0.0021, 4.7
2020-08-06, -1.0292, Bremen, 4, -0.0148, 4.3
2020-08-07, -2.4995, Bremen, 4, -0.036, 3.5
2020-08-08, -2.9406, Bremen, 4, -0.0424, 2.8
2020-08-09, -2.0584, Bremen, 4, -0.0297, 3.1
2020-08-10, -1.9114, Bremen, 4, -0.0275, 3.2
2020-08-11, -1.7644, Bremen, 4, -0.0254, 3.8
2020-08-12, -0.4411, Bremen, 4, -0.0064, 4.3
2020-08-13, 0.147, Bremen, 4, 0.0017, 4.4
2020-08-14, 0.8822, Bremen, 4, 0.0103, 4.4
2020-08-15, 2.3525, Bremen, 4, 0.0274, 5.1
2020-08-16, 2.4995, Bremen, 4, 0.0291, 5.6
2020-08-17, 2.7936, Bremen, 4, 0.0325, 6
2020-08-18, 2.3525, Bremen, 4, 0.0274, 5.7
2020-08-19, 2.4995, Bremen, 4, 0.0291, 6.8
2020-08-20, 3.6758, Bremen, 4, 0.0428, 8.1
2020-08-21, 3.9698, Bremen, 4, 0.0462, 8.2
2020-08-22, 3.3817, Bremen, 4, 0.0394, 8.4
2020-08-23, 3.0876, Bremen, 4, 0.036, 8.5
2020-08-24, 2.7936, Bremen, 4, 0.0325, 8.7
2020-08-25, 3.3817, Bremen, 4, 0.0394, 9
2020-08-26, 1.9114, Bremen, 4, 0.0223, 8.5
