Meldedatum, region, region_id, value, difference, trend
2020-03-03, Hamburg, 2, 0.1, , 
2020-03-04, Hamburg, 2, 0.3, , 
2020-03-05, Hamburg, 2, 0.3, , 
2020-03-06, Hamburg, 2, 0.6, , 
2020-03-07, Hamburg, 2, 0.8, , 
2020-03-08, Hamburg, 2, 0.9, , 
2020-03-09, Hamburg, 2, 1.1, , 
2020-03-10, Hamburg, 2, 2.3, , 
2020-03-11, Hamburg, 2, 3.7, 0.7018, 0.0153
2020-03-12, Hamburg, 2, 5.2, 3.023, 0.066
2020-03-13, Hamburg, 2, 7.2, 4.7504, 0.1037
2020-03-14, Hamburg, 2, 9.1, 5.7221, 0.1249
2020-03-15, Hamburg, 2, 13.1, 7.8274, 0.1708
2020-03-16, Hamburg, 2, 17.1, 12.6317, 0.2756
2020-03-17, Hamburg, 2, 20.2, 14.5751, 0.318
2020-03-18, Hamburg, 2, 25.9, 15.1149, 0.3298
2020-03-19, Hamburg, 2, 31.5, 15.4388, 0.3369
2020-03-20, Hamburg, 2, 39.4, 19.7573, 0.4311
2020-03-21, Hamburg, 2, 45.2, 17.2202, 0.3757
2020-03-22, Hamburg, 2, 46.6, 26.3431, 0.5748
2020-03-23, Hamburg, 2, 50.5, 21.3768, 0.4664
2020-03-24, Hamburg, 2, 53.3, 21.1608, 0.4617
2020-03-25, Hamburg, 2, 57.2, 24.8856, 0.543
2020-03-26, Hamburg, 2, 58.7, 15.5467, 0.3392
2020-03-27, Hamburg, 2, 57.9, 22.0785, 0.4817
2020-03-28, Hamburg, 2, 57.7, 20.4591, 0.4464
2020-03-29, Hamburg, 2, 59.8, 7.5574, 0.1649
2020-03-30, Hamburg, 2, 57.9, 11.3901, 0.2485
2020-03-31, Hamburg, 2, 54.6, 9.1769, 0.2002
2020-04-01, Hamburg, 2, 52.1, 0.8637, 0.0188
2020-04-02, Hamburg, 2, 50.9, 5.2362, 0.1143
2020-04-03, Hamburg, 2, 50.6, -4.9123, -0.0931
2020-04-04, Hamburg, 2, 51.4, -3.8867, -0.0737
2020-04-05, Hamburg, 2, 49.5, 3.2389, 0.0707
2020-04-06, Hamburg, 2, 49.1, -3.6708, -0.0696
