Meldedatum, region, region_id, value, difference, trend
2020-03-03, Mecklenburg-Vorpommern, 13, , , 
2020-03-04, Mecklenburg-Vorpommern, 13, 0.1, , 
2020-03-05, Mecklenburg-Vorpommern, 13, 0.2, , 
2020-03-06, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-07, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-08, Mecklenburg-Vorpommern, 13, 0.3, , 
2020-03-09, Mecklenburg-Vorpommern, 13, 0.4, , 
2020-03-10, Mecklenburg-Vorpommern, 13, 0.7, , 
2020-03-11, Mecklenburg-Vorpommern, 13, 0.6, , 
2020-03-12, Mecklenburg-Vorpommern, 13, 1, 0.4967, 0.0066
2020-03-13, Mecklenburg-Vorpommern, 13, 1.5, 0.745, 0.0098
2020-03-14, Mecklenburg-Vorpommern, 13, 2, 0.8691, 0.0115
2020-03-15, Mecklenburg-Vorpommern, 13, 2.1, 1.4279, 0.0189
2020-03-16, Mecklenburg-Vorpommern, 13, 2, 1.49, 0.0197
2020-03-17, Mecklenburg-Vorpommern, 13, 2.7, 1.8004, 0.0238
2020-03-18, Mecklenburg-Vorpommern, 13, 4.5, 2.235, 0.0295
2020-03-19, Mecklenburg-Vorpommern, 13, 6.8, 4.1595, 0.055
2020-03-20, Mecklenburg-Vorpommern, 13, 8.3, 5.4011, 0.0714
2020-03-21, Mecklenburg-Vorpommern, 13, 8.8, 6.8911, 0.0911
2020-03-22, Mecklenburg-Vorpommern, 13, 9.4, 6.6428, 0.0878
2020-03-23, Mecklenburg-Vorpommern, 13, 9.4, 6.5186, 0.0861
2020-03-24, Mecklenburg-Vorpommern, 13, 9.3, 7.0153, 0.0927
2020-03-25, Mecklenburg-Vorpommern, 13, 9.7, 5.5253, 0.073
2020-03-26, Mecklenburg-Vorpommern, 13, 8.4, 2.3591, 0.0312
2020-03-27, Mecklenburg-Vorpommern, 13, 7.8, -0.3104, -0.0089
2020-03-28, Mecklenburg-Vorpommern, 13, 9.4, 0.1242, 0.0016
2020-03-29, Mecklenburg-Vorpommern, 13, 10.1, 1.552, 0.0205
2020-03-30, Mecklenburg-Vorpommern, 13, 10.7, 2.0487, 0.0271
2020-03-31, Mecklenburg-Vorpommern, 13, 10.7, 1.0554, 0.0139
2020-04-01, Mecklenburg-Vorpommern, 13, 11.5, 2.0487, 0.0271
2020-04-02, Mecklenburg-Vorpommern, 13, 11.4, 3.6008, 0.0476
2020-04-03, Mecklenburg-Vorpommern, 13, 11.7, 4.9666, 0.0656
2020-04-04, Mecklenburg-Vorpommern, 13, 11.1, 2.3591, 0.0312
2020-04-05, Mecklenburg-Vorpommern, 13, 10.7, 0.5587, 0.0074
2020-04-06, Mecklenburg-Vorpommern, 13, 10.1, -0.2483, -0.0071
2020-04-07, Mecklenburg-Vorpommern, 13, 9.6, -0.6829, -0.0195
2020-04-08, Mecklenburg-Vorpommern, 13, 8.7, -2.3591, -0.0674
2020-04-09, Mecklenburg-Vorpommern, 13, 7.8, -3.2283, -0.0922
2020-04-10, Mecklenburg-Vorpommern, 13, 6.9, -4.3457, -0.1241
2020-04-11, Mecklenburg-Vorpommern, 13, 5.6, -4.8424, -0.1383
2020-04-12, Mecklenburg-Vorpommern, 13, 5.5, -5.5253, -0.1578
2020-04-13, Mecklenburg-Vorpommern, 13, 5.6, -4.4699, -0.1277
