Meldedatum, region, region_id, value, difference, trend
2020-03-03, Niedersachsen, 3, , , 
2020-03-04, Niedersachsen, 3, 0.1, , 
2020-03-05, Niedersachsen, 3, 0.2, , 
2020-03-06, Niedersachsen, 3, 0.2, , 
2020-03-07, Niedersachsen, 3, 0.3, , 
2020-03-08, Niedersachsen, 3, 0.4, , 
2020-03-09, Niedersachsen, 3, 0.5, , 
2020-03-10, Niedersachsen, 3, 0.6, , 
2020-03-11, Niedersachsen, 3, 1, , 
2020-03-12, Niedersachsen, 3, 1.7, 0.8122, 0.0197
2020-03-13, Niedersachsen, 3, 2.5, 1.3369, 0.0324
2020-03-14, Niedersachsen, 3, 3.5, 1.8742, 0.0454
2020-03-15, Niedersachsen, 3, 4.4, 2.424, 0.0587
2020-03-16, Niedersachsen, 3, 5.2, 2.7988, 0.0678
2020-03-17, Niedersachsen, 3, 7, 3.2611, 0.079
2020-03-18, Niedersachsen, 3, 8.7, 4.3856, 0.1062
2020-03-19, Niedersachsen, 3, 11.3, 5.785, 0.1401
2020-03-20, Niedersachsen, 3, 13.6, 6.0599, 0.1467
2020-03-21, Niedersachsen, 3, 15.8, 7.2094, 0.1746
2020-03-22, Niedersachsen, 3, 17.1, 9.4585, 0.229
2020-03-23, Niedersachsen, 3, 17.6, 10.583, 0.2563
2020-03-24, Niedersachsen, 3, 18.6, 11.7075, 0.2835
2020-03-25, Niedersachsen, 3, 20.1, 12.857, 0.3113
2020-03-26, Niedersachsen, 3, 21.4, 10.5205, 0.2548
2020-03-27, Niedersachsen, 3, 23, 12.3322, 0.2986
2020-03-28, Niedersachsen, 3, 24.8, 11.5201, 0.279
2020-03-29, Niedersachsen, 3, 26.9, 10.0957, 0.2445
2020-03-30, Niedersachsen, 3, 27.7, 10.7829, 0.2611
2020-03-31, Niedersachsen, 3, 28.6, 10.1582, 0.246
2020-04-01, Niedersachsen, 3, 29.4, 7.8466, 0.19
2020-04-02, Niedersachsen, 3, 29.3, 7.5468, 0.1828
2020-04-03, Niedersachsen, 3, 28.8, 4.9854, 0.1207
2020-04-04, Niedersachsen, 3, 28.5, 5.1478, 0.1247
2020-04-05, Niedersachsen, 3, 27, 1.2495, 0.0303
2020-04-06, Niedersachsen, 3, 26.5, -0.0625, -0.0017
2020-04-07, Niedersachsen, 3, 25.5, -2.0616, -0.0568
2020-04-08, Niedersachsen, 3, 25.7, -4.3731, -0.1204
2020-04-09, Niedersachsen, 3, 25.3, -2.8488, -0.0784
2020-04-10, Niedersachsen, 3, 25, -3.2236, -0.0888
2020-04-11, Niedersachsen, 3, 23.4, -6.2348, -0.1717
