Meldedatum, difference, region, region_id, trend, value
2020-03-03, , Rheinland-Pfalz, 7, , 
2020-03-04, , Rheinland-Pfalz, 7, , 0.1
2020-03-05, , Rheinland-Pfalz, 7, , 0.2
2020-03-06, , Rheinland-Pfalz, 7, , 0.2
2020-03-07, , Rheinland-Pfalz, 7, , 0.2
2020-03-08, , Rheinland-Pfalz, 7, , 0.2
2020-03-09, , Rheinland-Pfalz, 7, , 0.3
2020-03-10, 0.3416, Rheinland-Pfalz, 7, 0.0081, 0.5
2020-03-11, 0.488, Rheinland-Pfalz, 7, 0.0115, 0.9
2020-03-12, 0.854, Rheinland-Pfalz, 7, 0.0202, 1.5
2020-03-13, 1.8544, Rheinland-Pfalz, 7, 0.0438, 3
2020-03-14, 2.5376, Rheinland-Pfalz, 7, 0.06, 4.4
2020-03-15, 3.6112, Rheinland-Pfalz, 7, 0.0854, 5.6
2020-03-16, 6.9539, Rheinland-Pfalz, 7, 0.1644, 7.8
2020-03-17, 9.5159, Rheinland-Pfalz, 7, 0.2249, 10.7
2020-03-18, 10.1503, Rheinland-Pfalz, 7, 0.2399, 14.4
2020-03-19, 12.9563, Rheinland-Pfalz, 7, 0.3062, 17.5
2020-03-20, 14.4691, Rheinland-Pfalz, 7, 0.342, 19.3
2020-03-21, 15.7623, Rheinland-Pfalz, 7, 0.3725, 22.2
2020-03-22, 16.2747, Rheinland-Pfalz, 7, 0.3847, 23.8
2020-03-23, 13.4931, Rheinland-Pfalz, 7, 0.3189, 24.9
2020-03-24, 12.9075, Rheinland-Pfalz, 7, 0.3051, 26.7
2020-03-25, 13.2491, Rheinland-Pfalz, 7, 0.3131, 27.6
2020-03-26, 11.5899, Rheinland-Pfalz, 7, 0.2739, 27.9
2020-03-27, 9.4671, Rheinland-Pfalz, 7, 0.2238, 29.8
2020-03-28, 8.8571, Rheinland-Pfalz, 7, 0.2093, 32
2020-03-29, 8.9791, Rheinland-Pfalz, 7, 0.2122, 33.3
2020-03-30, 9.1499, Rheinland-Pfalz, 7, 0.2163, 33.3
2020-03-31, 5.8804, Rheinland-Pfalz, 7, 0.139, 32
2020-04-01, 3.904, Rheinland-Pfalz, 7, 0.0923, 31.9
2020-04-02, 4.0504, Rheinland-Pfalz, 7, 0.0957, 33.9
2020-04-03, 4.0992, Rheinland-Pfalz, 7, 0.0969, 33.2
2020-04-04, -0.4148, Rheinland-Pfalz, 7, -0.0076, 31.9
2020-04-05, -2.196, Rheinland-Pfalz, 7, -0.0402, 31.3
2020-04-06, -1.1956, Rheinland-Pfalz, 7, -0.0219, 30.4
2020-04-07, -0.7564, Rheinland-Pfalz, 7, -0.0139, 30.2
2020-04-08, -1.0248, Rheinland-Pfalz, 7, -0.0188, 29.7
2020-04-09, -4.3432, Rheinland-Pfalz, 7, -0.0795, 27.8
2020-04-10, -7.0027, Rheinland-Pfalz, 7, -0.1282, 27
2020-04-11, -4.636, Rheinland-Pfalz, 7, -0.0849, 24.9
