Meldedatum, region, region_id, value, difference, trend
2020-03-03, Sachsen, 14, , , 
2020-03-04, Sachsen, 14, , , 
2020-03-05, Sachsen, 14, , , 
2020-03-06, Sachsen, 14, , , 
2020-03-07, Sachsen, 14, 0.1, , 
2020-03-08, Sachsen, 14, 0.1, , 
2020-03-09, Sachsen, 14, 0.2, , 
2020-03-10, Sachsen, 14, 0.3, , 
2020-03-11, Sachsen, 14, 0.9, 0.3697, 0.0035
2020-03-12, Sachsen, 14, 1.3, 0.6902, 0.0065
2020-03-13, Sachsen, 14, 2, 1.0846, 0.0102
2020-03-14, Sachsen, 14, 2.8, 1.9966, 0.0188
2020-03-15, Sachsen, 14, 3.6, 2.0705, 0.0195
2020-03-16, Sachsen, 14, 4.2, 2.1938, 0.0207
2020-03-17, Sachsen, 14, 5.2, 4.0178, 0.0378
2020-03-18, Sachsen, 14, 6.8, 3.6481, 0.0344
2020-03-19, Sachsen, 14, 9.6, 4.8805, 0.046
2020-03-20, Sachsen, 14, 12.8, 6.7785, 0.0638
2020-03-21, Sachsen, 14, 15.4, 9.3174, 0.0877
2020-03-22, Sachsen, 14, 17.7, 9.4899, 0.0894
2020-03-23, Sachsen, 14, 18.3, 9.8596, 0.0929
2020-03-24, Sachsen, 14, 20.3, 10.9196, 0.1028
2020-03-25, Sachsen, 14, 22.1, 12.6696, 0.1193
2020-03-26, Sachsen, 14, 23.3, 12.645, 0.1191
2020-03-27, Sachsen, 14, 23.7, 10.7224, 0.101
2020-03-28, Sachsen, 14, 24.8, 7.1975, 0.0678
2020-03-29, Sachsen, 14, 25.6, 8.7504, 0.0824
2020-03-30, Sachsen, 14, 26.1, 11.5604, 0.1089
2020-03-31, Sachsen, 14, 26.5, 8.011, 0.0754
2020-04-01, Sachsen, 14, 27, 6.039, 0.0569
2020-04-02, Sachsen, 14, 27.1, 3.7467, 0.0353
2020-04-03, Sachsen, 14, 28.5, 2.9579, 0.0279
2020-04-04, Sachsen, 14, 30, 4.708, 0.0443
2020-04-05, Sachsen, 14, 29.5, 2.8346, 0.0267
2020-04-06, Sachsen, 14, 29.4, 1.7008, 0.016
2020-04-07, Sachsen, 14, 28, 1.3064, 0.0123
2020-04-08, Sachsen, 14, 27, 0.7395, 0.007
2020-04-09, Sachsen, 14, 26.4, -0.1232, -0.0011
2020-04-10, Sachsen, 14, 23.3, -1.7501, -0.015
2020-04-11, Sachsen, 14, 20.3, -5.5461, -0.0475
2020-04-12, Sachsen, 14, 18.8, -7.937, -0.068
2020-04-13, Sachsen, 14, 19.3, -10.4512, -0.0896
2020-04-14, Sachsen, 14, 18.2, -8.9723, -0.0769
2020-04-15, Sachsen, 14, 16.5, -9.8596, -0.0845
2020-04-16, Sachsen, 14, 14, -8.8983, -0.0763
2020-04-17, Sachsen, 14, 14.1, -7.8877, -0.0676
2020-04-18, Sachsen, 14, 12, -6.8032, -0.0583
2020-04-19, Sachsen, 14, 11.1, -4.9545, -0.0425
2020-04-20, Sachsen, 14, 9.5, -5.8911, -0.0505
2020-04-21, Sachsen, 14, 9.4, -6.7539, -0.0579
2020-04-22, Sachsen, 14, 8.8, -6.1376, -0.0526
2020-04-23, Sachsen, 14, 8.6, -5.5461, -0.0475
2020-04-24, Sachsen, 14, 6.9, -5.8172, -0.0499
