Meldedatum, difference, region, region_id, trend, value
2020-03-03, , Schleswig-Holstein, 1, , 0.1
2020-03-04, , Schleswig-Holstein, 1, , 0.2
2020-03-05, , Schleswig-Holstein, 1, , 0.2
2020-03-06, , Schleswig-Holstein, 1, , 0.2
2020-03-07, , Schleswig-Holstein, 1, , 0.2
2020-03-08, , Schleswig-Holstein, 1, , 0.2
2020-03-09, , Schleswig-Holstein, 1, , 0.2
2020-03-10, 0.1031, Schleswig-Holstein, 1, 0.0031, 0.3
2020-03-11, 0.2748, Schleswig-Holstein, 1, 0.0083, 0.5
2020-03-12, 0.7558, Schleswig-Holstein, 1, 0.0227, 1.1
2020-03-13, 1.1337, Schleswig-Holstein, 1, 0.0341, 1.7
2020-03-14, 1.4429, Schleswig-Holstein, 1, 0.0433, 2.6
2020-03-15, 2.3017, Schleswig-Holstein, 1, 0.0691, 3.4
2020-03-16, 3.0575, Schleswig-Holstein, 1, 0.0918, 4.1
2020-03-17, 3.7789, Schleswig-Holstein, 1, 0.1135, 5
2020-03-18, 4.5004, Schleswig-Holstein, 1, 0.1352, 6.3
2020-03-19, 4.8439, Schleswig-Holstein, 1, 0.1455, 7.5
2020-03-20, 6.0806, Schleswig-Holstein, 1, 0.1827, 8.9
2020-03-21, 6.2524, Schleswig-Holstein, 1, 0.1878, 10.7
2020-03-22, 5.9432, Schleswig-Holstein, 1, 0.1785, 11.4
2020-03-23, 5.7028, Schleswig-Holstein, 1, 0.1713, 11.9
2020-03-24, 7.4204, Schleswig-Holstein, 1, 0.2229, 14.1
2020-03-25, 8.3137, Schleswig-Holstein, 1, 0.2497, 15.9
2020-03-26, 8.9664, Schleswig-Holstein, 1, 0.2693, 17.1
2020-03-27, 9.9626, Schleswig-Holstein, 1, 0.2993, 18.3
2020-03-28, 10.581, Schleswig-Holstein, 1, 0.3179, 19.7
2020-03-29, 11.5086, Schleswig-Holstein, 1, 0.3457, 20.9
2020-03-30, 11.2337, Schleswig-Holstein, 1, 0.3375, 21.2
2020-03-31, 8.0388, Schleswig-Holstein, 1, 0.2415, 20.7
2020-04-01, 7.0426, Schleswig-Holstein, 1, 0.2116, 20.8
2020-04-02, 5.5997, Schleswig-Holstein, 1, 0.1682, 21.4
2020-04-03, 3.2293, Schleswig-Holstein, 1, 0.097, 21.9
2020-04-04, 2.1299, Schleswig-Holstein, 1, 0.064, 21.7
2020-04-05, 0.2748, Schleswig-Holstein, 1, 0.0083, 21.3
2020-04-06, -0.0687, Schleswig-Holstein, 1, -0.0021, 21.1
2020-04-07, -0.1374, Schleswig-Holstein, 1, -0.0042, 20.5
2020-04-08, -1.2367, Schleswig-Holstein, 1, -0.0375, 20.7
2020-04-09, -1.6146, Schleswig-Holstein, 1, -0.049, 20.3
2020-04-10, -2.233, Schleswig-Holstein, 1, -0.0677, 19.7
2020-04-11, -5.05, Schleswig-Holstein, 1, -0.1531, 17
2020-04-12, -5.1874, Schleswig-Holstein, 1, -0.1573, 16
2020-04-13, -5.634, Schleswig-Holstein, 1, -0.1708, 15.3
2020-04-14, -5.8402, Schleswig-Holstein, 1, -0.1771, 16.6
2020-04-15, -6.115, Schleswig-Holstein, 1, -0.1854, 13.3
2020-04-16, -7.2143, Schleswig-Holstein, 1, -0.2188, 11.7
2020-04-17, -8.2106, Schleswig-Holstein, 1, -0.249, 10.3
2020-04-18, -5.3592, Schleswig-Holstein, 1, -0.1625, 10.5
2020-04-19, -5.2218, Schleswig-Holstein, 1, -0.1583, 10
2020-04-20, -4.9813, Schleswig-Holstein, 1, -0.151, 9.7
2020-04-21, -6.596, Schleswig-Holstein, 1, -0.2, 7.3
2020-04-22, -5.0157, Schleswig-Holstein, 1, -0.1521, 8
2020-04-23, -3.8133, Schleswig-Holstein, 1, -0.1156, 7.8
2020-04-24, -3.3323, Schleswig-Holstein, 1, -0.101, 7.4
2020-04-25, -3.1262, Schleswig-Holstein, 1, -0.0948, 7.4
2020-04-26, -3.0231, Schleswig-Holstein, 1, -0.0917, 7.1
2020-04-27, -2.817, Schleswig-Holstein, 1, -0.0854, 7
2020-04-28, -0.584, Schleswig-Holstein, 1, -0.0177, 6.5
2020-04-29, -2.0269, Schleswig-Holstein, 1, -0.0615, 5.9
2020-04-30, -2.4048, Schleswig-Holstein, 1, -0.0729, 5.3
2020-05-01, -2.0956, Schleswig-Holstein, 1, -0.0635, 4.6
2020-05-02, -3.2293, Schleswig-Holstein, 1, -0.0979, 3.7
2020-05-03, -3.1949, Schleswig-Holstein, 1, -0.0969, 3.5
2020-05-04, -1.6146, Schleswig-Holstein, 1, -0.049, 5
2020-05-05, -1.2711, Schleswig-Holstein, 1, -0.0385, 5.1
2020-05-06, -0.9963, Schleswig-Holstein, 1, -0.0302, 6
2020-05-07, -0.3435, Schleswig-Holstein, 1, -0.0104, 5.9
2020-05-08, 0.4466, Schleswig-Holstein, 1, 0.0134, 6.4
2020-05-09, 2.1643, Schleswig-Holstein, 1, 0.065, 6.7
2020-05-10, 3.3667, Schleswig-Holstein, 1, 0.1011, 7
2020-05-11, 0.7901, Schleswig-Holstein, 1, 0.0237, 6
2020-05-12, 0.481, Schleswig-Holstein, 1, 0.0144, 5.7
2020-05-13, -0.4122, Schleswig-Holstein, 1, -0.0125, 4.6
2020-05-14, -0.6527, Schleswig-Holstein, 1, -0.0198, 4.4
2020-05-15, -1.8551, Schleswig-Holstein, 1, -0.0562, 3.4
2020-05-16, -3.1606, Schleswig-Holstein, 1, -0.0958, 2.9
2020-05-17, -4.6721, Schleswig-Holstein, 1, -0.1417, 2.3
2020-05-18, -4.2255, Schleswig-Holstein, 1, -0.1281, 1.6
2020-05-19, -3.9851, Schleswig-Holstein, 1, -0.1208, 1.5
2020-05-20, -3.0575, Schleswig-Holstein, 1, -0.0927, 1.4
2020-05-21, -3.0575, Schleswig-Holstein, 1, -0.0927, 1.3
2020-05-22, -1.649, Schleswig-Holstein, 1, -0.05, 1.9
2020-05-23, -0.6527, Schleswig-Holstein, 1, -0.0198, 2.3
2020-05-24, -0.1718, Schleswig-Holstein, 1, -0.0052, 2.2
2020-05-25, 0.4122, Schleswig-Holstein, 1, 0.0124, 2.2
2020-05-26, 0.7214, Schleswig-Holstein, 1, 0.0217, 2.2
2020-05-27, 0.481, Schleswig-Holstein, 1, 0.0144, 2
2020-05-28, 0.4122, Schleswig-Holstein, 1, 0.0124, 1.6
2020-05-29, -0.6184, Schleswig-Holstein, 1, -0.0187, 1.1
2020-05-30, -1.3742, Schleswig-Holstein, 1, -0.0417, 0.9
2020-05-31, -1.168, Schleswig-Holstein, 1, -0.0354, 1.1
2020-06-01, -1.0306, Schleswig-Holstein, 1, -0.0312, 1.2
2020-06-02, -0.9619, Schleswig-Holstein, 1, -0.0292, 1.3
2020-06-03, -0.6871, Schleswig-Holstein, 1, -0.0208, 1.1
2020-06-04, -0.4466, Schleswig-Holstein, 1, -0.0135, 1.1
2020-06-05, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.9
2020-06-06, -0.2748, Schleswig-Holstein, 1, -0.0083, 0.5
2020-06-07, -0.481, Schleswig-Holstein, 1, -0.0146, 0.4
2020-06-08, -0.6527, Schleswig-Holstein, 1, -0.0198, 0.4
2020-06-09, -0.8932, Schleswig-Holstein, 1, -0.0271, 0.3
2020-06-10, -0.7901, Schleswig-Holstein, 1, -0.024, 0.3
2020-06-11, -0.7214, Schleswig-Holstein, 1, -0.0219, 0.4
2020-06-12, -0.4122, Schleswig-Holstein, 1, -0.0125, 0.5
2020-06-13, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.4
2020-06-14, -0.1031, Schleswig-Holstein, 1, -0.0031, 0.4
2020-06-15, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.3
2020-06-16, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.3
2020-06-17, -0.0344, Schleswig-Holstein, 1, -0.001, 0.3
2020-06-18, -0.1718, Schleswig-Holstein, 1, -0.0052, 0.2
2020-06-19, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.4
2020-06-20, 0.0344, Schleswig-Holstein, 1, 0.001, 0.5
2020-06-21, 0.1718, Schleswig-Holstein, 1, 0.0052, 0.5
2020-06-22, 0.2748, Schleswig-Holstein, 1, 0.0083, 0.6
2020-06-23, 0.2405, Schleswig-Holstein, 1, 0.0072, 0.5
2020-06-24, 0.2061, Schleswig-Holstein, 1, 0.0062, 0.5
2020-06-25, 0.3779, Schleswig-Holstein, 1, 0.0114, 0.7
2020-06-26, , Schleswig-Holstein, 1, , 0.5
2020-06-27, -0.0344, Schleswig-Holstein, 1, -0.001, 0.5
2020-06-28, -0.0687, Schleswig-Holstein, 1, -0.0021, 0.6
2020-06-29, -0.2061, Schleswig-Holstein, 1, -0.0062, 0.5
2020-06-30, 0.0687, Schleswig-Holstein, 1, 0.0021, 0.7
2020-07-01, 0.2061, Schleswig-Holstein, 1, 0.0062, 0.8
2020-07-02, 0.1718, Schleswig-Holstein, 1, 0.0052, 1.1
2020-07-03, 0.5497, Schleswig-Holstein, 1, 0.0165, 1.1
2020-07-04, 0.584, Schleswig-Holstein, 1, 0.0175, 1.2
2020-07-05, 0.584, Schleswig-Holstein, 1, 0.0175, 1.2
2020-07-06, 0.8245, Schleswig-Holstein, 1, 0.0248, 1.3
2020-07-07, 0.584, Schleswig-Holstein, 1, 0.0175, 1.2
2020-07-08, 0.4466, Schleswig-Holstein, 1, 0.0134, 1.1
2020-07-09, 0.1718, Schleswig-Holstein, 1, 0.0052, 1
2020-07-10, -0.1718, Schleswig-Holstein, 1, -0.0052, 0.9
2020-07-11, -0.2061, Schleswig-Holstein, 1, -0.0063, 0.8
2020-07-12, -0.3092, Schleswig-Holstein, 1, -0.0094, 0.7
2020-07-13, -0.6184, Schleswig-Holstein, 1, -0.0188, 0.8
2020-07-14, -0.1031, Schleswig-Holstein, 1, -0.0031, 1.1
2020-07-15, 0.0344, Schleswig-Holstein, 1, 0.001, 1.2
2020-07-16, 0.2061, Schleswig-Holstein, 1, 0.0062, 1.3
2020-07-17, 0.3435, Schleswig-Holstein, 1, 0.0103, 1.2
2020-07-18, 0.7558, Schleswig-Holstein, 1, 0.0227, 1.7
2020-07-19, 0.9276, Schleswig-Holstein, 1, 0.0279, 1.8
2020-07-20, 1.065, Schleswig-Holstein, 1, 0.032, 1.8
2020-07-21, 0.6527, Schleswig-Holstein, 1, 0.0196, 1.8
2020-07-22, 0.5153, Schleswig-Holstein, 1, 0.0155, 1.7
2020-07-23, 0.7558, Schleswig-Holstein, 1, 0.0227, 2
2020-07-24, 0.9276, Schleswig-Holstein, 1, 0.0279, 2.2
2020-07-25, 0.4466, Schleswig-Holstein, 1, 0.0134, 2.2
2020-07-26, 0.481, Schleswig-Holstein, 1, 0.0144, 2.3
2020-07-27, 0.3779, Schleswig-Holstein, 1, 0.0114, 2.3
2020-07-28, 0.6527, Schleswig-Holstein, 1, 0.0196, 2.7
2020-07-29, 1.7521, Schleswig-Holstein, 1, 0.0526, 3.4
2020-07-30, 1.7177, Schleswig-Holstein, 1, 0.0516, 3.9
2020-07-31, 2.1987, Schleswig-Holstein, 1, 0.066, 4.5
2020-08-01, 2.6796, Schleswig-Holstein, 1, 0.0805, 4.9
2020-08-02, 2.7483, Schleswig-Holstein, 1, 0.0826, 5.3
2020-08-03, 2.7483, Schleswig-Holstein, 1, 0.0826, 5.3
2020-08-04, 2.5422, Schleswig-Holstein, 1, 0.0764, 5.1
2020-08-05, 1.3054, Schleswig-Holstein, 1, 0.0392, 4.9
2020-08-06, 0.7558, Schleswig-Holstein, 1, 0.0227, 4.4
2020-08-07, 0.4466, Schleswig-Holstein, 1, 0.0134, 4.8
2020-08-08, -0.481, Schleswig-Holstein, 1, -0.0146, 4.3
2020-08-09, -0.9276, Schleswig-Holstein, 1, -0.0281, 4.1
2020-08-10, -0.9963, Schleswig-Holstein, 1, -0.0302, 4.1
2020-08-11, -0.584, Schleswig-Holstein, 1, -0.0177, 4.7
2020-08-12, 0.6871, Schleswig-Holstein, 1, 0.0206, 5.7
2020-08-13, 1.8208, Schleswig-Holstein, 1, 0.0547, 6.5
2020-08-14, 1.2024, Schleswig-Holstein, 1, 0.0361, 6
2020-08-15, 2.1987, Schleswig-Holstein, 1, 0.066, 6.8
2020-08-16, 2.6453, Schleswig-Holstein, 1, 0.0795, 7.1
2020-08-17, 2.817, Schleswig-Holstein, 1, 0.0846, 6.9
2020-08-18, 1.6833, Schleswig-Holstein, 1, 0.0506, 6.2
2020-08-19, -0.584, Schleswig-Holstein, 1, -0.0177, 5.1
2020-08-20, -1.7521, Schleswig-Holstein, 1, -0.0531, 4.5
2020-08-21, -1.5116, Schleswig-Holstein, 1, -0.0458, 4.6
2020-08-22, -2.5078, Schleswig-Holstein, 1, -0.076, 3.9
2020-08-23, -2.8857, Schleswig-Holstein, 1, -0.0875, 3.7
2020-08-24, -2.8857, Schleswig-Holstein, 1, -0.0875, 3.9
2020-08-25, -2.0956, Schleswig-Holstein, 1, -0.0635, 4.1
2020-08-26, -0.4466, Schleswig-Holstein, 1, -0.0135, 4.5
2020-08-27, -0.1031, Schleswig-Holstein, 1, -0.0031, 4.5
