Meldedatum, region, region_id, value, difference, trend
2020-03-03, Thüringen, 16, , , 
2020-03-04, Thüringen, 16, , , 
2020-03-05, Thüringen, 16, , , 
2020-03-06, Thüringen, 16, , , 
2020-03-07, Thüringen, 16, , , 
2020-03-08, Thüringen, 16, 0.1, , 
2020-03-09, Thüringen, 16, 0.1, , 
2020-03-10, Thüringen, 16, , , 
2020-03-11, Thüringen, 16, 0.5, 0.3773, 0.0042
2020-03-12, Thüringen, 16, 0.5, 0.4245, 0.0048
2020-03-13, Thüringen, 16, 1, 0.6603, 0.0074
2020-03-14, Thüringen, 16, 1.5, 1.3678, 0.0153
2020-03-15, Thüringen, 16, 2.3, 1.5564, 0.0174
2020-03-16, Thüringen, 16, 2.4, 1.5564, 0.0174
2020-03-17, Thüringen, 16, 3.2, 2.2639, 0.0254
2020-03-18, Thüringen, 16, 4.2, 2.5469, 0.0285
2020-03-19, Thüringen, 16, 5.9, 3.4902, 0.0391
2020-03-20, Thüringen, 16, 8, 5.2824, 0.0592
2020-03-21, Thüringen, 16, 11.1, 5.8484, 0.0655
2020-03-22, Thüringen, 16, 12, 6.2729, 0.0703
2020-03-23, Thüringen, 16, 13.3, 7.8293, 0.0877
2020-03-24, Thüringen, 16, 14.9, 9.9989, 0.112
2020-03-25, Thüringen, 16, 16.8, 11.2723, 0.1263
2020-03-26, Thüringen, 16, 18.8, 12.0741, 0.1352
2020-03-27, Thüringen, 16, 19.7, 11.4138, 0.1278
2020-03-28, Thüringen, 16, 19.5, 8.6311, 0.0967
2020-03-29, Thüringen, 16, 21, 11.3667, 0.1273
2020-03-30, Thüringen, 16, 20.7, 9.7159, 0.1088
2020-03-31, Thüringen, 16, 19.9, 7.169, 0.0803
2020-04-01, Thüringen, 16, 20.2, 4.9994, 0.056
2020-04-02, Thüringen, 16, 19.1, 2.2167, 0.0248
2020-04-03, Thüringen, 16, 19.6, , 
2020-04-04, Thüringen, 16, 19.4, 2.3111, 0.0259
2020-04-05, Thüringen, 16, 18.5, -1.1319, -0.013
2020-04-06, Thüringen, 16, 19.5, -0.283, -0.0033
2020-04-07, Thüringen, 16, 19.1, -0.7075, -0.0081
2020-04-08, Thüringen, 16, 18.8, -0.8961, -0.0103
2020-04-09, Thüringen, 16, 19.2, 0.4245, 0.0048
2020-04-10, Thüringen, 16, 18.5, 0.7075, 0.0079
2020-04-11, Thüringen, 16, 16.4, -2.4526, -0.0282
2020-04-12, Thüringen, 16, 15.4, -3.3487, -0.0385
2020-04-13, Thüringen, 16, 15, -4.9051, -0.0564
2020-04-14, Thüringen, 16, 14.7, -5.1881, -0.0597
2020-04-15, Thüringen, 16, 13.4, -6.0842, -0.07
2020-04-16, Thüringen, 16, 12.3, -7.1218, -0.0819
2020-04-17, Thüringen, 16, 12.9, -5.9899, -0.0689
2020-04-18, Thüringen, 16, 13.3, -3.2072, -0.0369
2020-04-19, Thüringen, 16, 14.2, -1.6508, -0.019
2020-04-20, Thüringen, 16, 13.5, -1.0376, -0.0119
2020-04-21, Thüringen, 16, 14.2, -1.0376, -0.0119
2020-04-22, Thüringen, 16, 15.7, 1.7923, 0.0201
2020-04-23, Thüringen, 16, 16.4, 3.3487, 0.0375
2020-04-24, Thüringen, 16, 15.7, 3.1129, 0.0349
2020-04-25, Thüringen, 16, 16.2, 2.6412, 0.0296
2020-04-26, Thüringen, 16, 15.1, 1.7451, 0.0195
2020-04-27, Thüringen, 16, 15.4, 2.2167, 0.0248
2020-04-28, Thüringen, 16, 15, 1.9809, 0.0222
2020-04-29, Thüringen, 16, 15, -1.8394, -0.0211
2020-04-30, Thüringen, 16, 14.4, -1.3678, -0.0157
2020-05-01, Thüringen, 16, 14.1, -1.5564, -0.0179
2020-05-02, Thüringen, 16, 12.6, -3.1129, -0.0358
2020-05-03, Thüringen, 16, 12.5, -3.4902, -0.0401
2020-05-04, Thüringen, 16, 11.5, -4.292, -0.0493
2020-05-05, Thüringen, 16, 11.6, -3.3015, -0.038
2020-05-06, Thüringen, 16, 9.9, -2.877, -0.0331
2020-05-07, Thüringen, 16, 10, -5.0466, -0.058
2020-05-08, Thüringen, 16, 9.4, -5.2353, -0.0602
2020-05-09, Thüringen, 16, 10, -3.3015, -0.038
2020-05-10, Thüringen, 16, 10.5, -2.4997, -0.0287
2020-05-11, Thüringen, 16, 10.8, -0.6603, -0.0076
2020-05-12, Thüringen, 16, 10.8, -2.0281, -0.0233
2020-05-13, Thüringen, 16, 10.2, -0.6603, -0.0076
2020-05-14, Thüringen, 16, 8.9, -0.4716, -0.0054
2020-05-15, Thüringen, 16, 7.8, -1.1791, -0.0136
2020-05-16, Thüringen, 16, 7.6, -1.5093, -0.0174
2020-05-17, Thüringen, 16, 7.3, -2.4054, -0.0277
2020-05-18, Thüringen, 16, 7.3, -3.3958, -0.039
2020-05-19, Thüringen, 16, 6.4, -3.3958, -0.039
2020-05-20, Thüringen, 16, 6.7, -3.6317, -0.0418
2020-05-21, Thüringen, 16, 6.9, -2.0281, -0.0233
2020-05-22, Thüringen, 16, 6.6, -1.4149, -0.0163
