Week, difference, region, region_id, trend, value
2020-12, , Hessen, 6, , 10.4
2020-13, 1.3, Hessen, 6, 0.2889, 11.7
2020-14, -1.5, Hessen, 6, -0.375, 10.2
2020-15, 1.1, Hessen, 6, 0.2444, 11.3
2020-16, -2.9, Hessen, 6, -0.725, 8.4
2020-17, -1, Hessen, 6, -0.25, 7.4
2020-18, -1.5, Hessen, 6, -0.375, 5.9
2020-19, -2.3, Hessen, 6, -0.575, 3.6
2020-20, -1.1, Hessen, 6, -0.275, 2.5
2020-21, 0.3, Hessen, 6, 0.0667, 2.8
2020-22, -1.1, Hessen, 6, -0.275, 1.7
2020-23, -0.7, Hessen, 6, -0.175, 1
2020-24, -0.4, Hessen, 6, -0.1, 0.6
2020-25, 0.4, Hessen, 6, 0.0889, 1
2020-26, -0.3, Hessen, 6, -0.075, 0.7
2020-27, 0.1, Hessen, 6, 0.0222, 0.8
2020-28, 0.1, Hessen, 6, 0.0222, 0.9
2020-29, -0.2, Hessen, 6, -0.05, 0.7
2020-30, 0.1, Hessen, 6, 0.0222, 0.8
2020-31, 0.7, Hessen, 6, 0.1556, 1.5
2020-32, -0.3, Hessen, 6, -0.075, 1.2
2020-33, , Hessen, 6, , 1.2
2020-34, 0.2, Hessen, 6, 0.0444, 1.4
2020-35, -0.4, Hessen, 6, -0.1, 1
2020-36, 0.1, Hessen, 6, 0.0222, 1.1
2020-37, , Hessen, 6, , 1.1
2020-38, 0.5, Hessen, 6, 0.1111, 1.6
2020-39, 0.2, Hessen, 6, 0.0444, 1.8
2020-40, 0.5, Hessen, 6, 0.1111, 2.3
2020-41, 1.1, Hessen, 6, 0.2444, 3.4
2020-42, 2, Hessen, 6, 0.4444, 5.4
2020-43, 4.5, Hessen, 6, 1, 9.9
2020-44, 0.4, Hessen, 6, 0.0889, 10.3
2020-45, 0.6, Hessen, 6, 0.1333, 10.9
2020-46, 2, Hessen, 6, 0.4444, 12.9
2020-47, 0.3, Hessen, 6, 0.0667, 13.2
2020-48, 1.3, Hessen, 6, 0.2889, 14.5
2020-49, -0.9, Hessen, 6, -0.225, 13.6
2020-50, 1.8, Hessen, 6, 0.4, 15.4
2020-51, 0.6, Hessen, 6, 0.1333, 16
2020-52, 3.1, Hessen, 6, 0.6889, 19.1
2020-53, 1.4, Hessen, 6, 0.3111, 20.5
2021-01, -3.5, Hessen, 6, -0.875, 17
2021-02, -4, Hessen, 6, -1, 13
2021-03, -0.3, Hessen, 6, -0.075, 12.7
2021-04, -0.6, Hessen, 6, -0.15, 12.1
2021-05, -2.1, Hessen, 6, -0.525, 10
2021-06, -2.1, Hessen, 6, -0.525, 7.9
2021-07, 0.1, Hessen, 6, 0.0222, 8
2021-08, 0.2, Hessen, 6, 0.0444, 8.2
2021-09, -0.4, Hessen, 6, -0.1, 7.8
2021-10, 1.8, Hessen, 6, 0.4, 9.6
2021-11, 1.7, Hessen, 6, 0.3778, 11.3
2021-12, 2, Hessen, 6, 0.4444, 13.3
2021-13, 0.2, Hessen, 6, 0.0444, 13.5
2021-14, 1.6, Hessen, 6, 0.3556, 15.1
2021-15, 0.7, Hessen, 6, 0.1556, 15.8
2021-16, -0.3, Hessen, 6, -0.075, 15.5
2021-17, -1.1, Hessen, 6, -0.275, 14.4
2021-18, -1.9, Hessen, 6, -0.475, 12.5
2021-19, -0.4, Hessen, 6, -0.1, 12.1
2021-20, -3, Hessen, 6, -0.75, 9.1
2021-21, -2.4, Hessen, 6, -0.6, 6.7
2021-22, -2.3, Hessen, 6, -0.575, 4.4
2021-23, -0.8, Hessen, 6, -0.2, 3.6
2021-24, -1.4, Hessen, 6, -0.35, 2.2
2021-25, -0.5, Hessen, 6, -0.125, 1.7
2021-26, -0.3, Hessen, 6, -0.075, 1.4
2021-27, 0.2, Hessen, 6, 0.0444, 1.6
2021-28, 0.6, Hessen, 6, 0.1333, 2.2
2021-29, 0.5, Hessen, 6, 0.1111, 2.7
2021-30, 0.5, Hessen, 6, 0.1111, 3.2
2021-31, 0.8, Hessen, 6, 0.1778, 4
2021-32, 1.4, Hessen, 6, 0.3111, 5.4
2021-33, 2.5, Hessen, 6, 0.5556, 7.9
2021-34, 1.5, Hessen, 6, 0.3333, 9.4
2021-35, 2.7, Hessen, 6, 0.6, 12.1
2021-36, -1.8, Hessen, 6, -0.45, 10.3
