Altersgruppe, Week, difference, trend, value
>=80, 2020-12, , , 11.3
>=80, 2020-13, 3.9, 1.5, 15.2
>=80, 2020-14, -0.9, -0.2903, 14.3
>=80, 2020-15, -3.7, -1.1935, 10.6
>=80, 2020-16, -2.2, -0.7097, 8.4
>=80, 2020-17, -2.3, -0.7419, 6.1
>=80, 2020-18, -1.6, -0.5161, 4.5
>=80, 2020-19, -1.7, -0.5484, 2.8
>=80, 2020-20, -0.9, -0.2903, 1.9
>=80, 2020-21, -0.5, -0.1613, 1.4
>=80, 2020-22, -0.6, -0.1935, 0.8
>=80, 2020-23, -0.2, -0.0645, 0.6
>=80, 2020-24, -0.1, -0.0323, 0.5
>=80, 2020-25, -0.1, -0.0323, 0.4
>=80, 2020-26, -0.1, -0.0323, 0.3
>=80, 2020-27, -0.1, -0.0323, 0.2
>=80, 2020-28, , , 0.2
>=80, 2020-29, 0.1, 0.0385, 0.3
>=80, 2020-30, , , 0.3
>=80, 2020-31, , , 0.3
>=80, 2020-32, , , 0.3
>=80, 2020-33, , , 0.3
>=80, 2020-34, -0.1, -0.0323, 0.2
>=80, 2020-35, , , 0.2
>=80, 2020-36, 0.1, 0.0385, 0.3
>=80, 2020-37, 0.1, 0.0385, 0.4
>=80, 2020-38, 0.2, 0.0769, 0.6
>=80, 2020-39, 0.2, 0.0769, 0.8
>=80, 2020-40, 0.1, 0.0385, 0.9
>=80, 2020-41, 0.6, 0.2308, 1.5
>=80, 2020-42, 1.1, 0.4231, 2.6
>=80, 2020-43, 2.3, 0.8846, 4.9
>=80, 2020-44, 1.8, 0.6923, 6.7
>=80, 2020-45, 1.8, 0.6923, 8.5
>=80, 2020-46, 1.5, 0.5769, 10
>=80, 2020-47, 2, 0.7692, 12
>=80, 2020-48, 1.9, 0.7308, 13.9
>=80, 2020-49, 1.7, 0.6538, 15.6
>=80, 2020-50, 2.5, 0.9615, 18.1
>=80, 2020-51, 1.4, 0.5385, 19.5
>=80, 2020-52, 2.6, 1, 22.1
>=80, 2020-53, -0.2, -0.0645, 21.9
>=80, 2021-01, -3.1, -1, 18.8
>=80, 2021-02, -2, -0.6452, 16.8
>=80, 2021-03, -1.1, -0.3548, 15.7
>=80, 2021-04, -2, -0.6452, 13.7
>=80, 2021-05, -2.4, -0.7742, 11.3
>=80, 2021-06, -2.2, -0.7097, 9.1
>=80, 2021-07, -1.5, -0.4839, 7.6
>=80, 2021-08, -1, -0.3226, 6.6
>=80, 2021-09, -1.2, -0.3871, 5.4
>=80, 2021-10, -0.3, -0.0968, 5.1
>=80, 2021-11, 0.2, 0.0769, 5.3
>=80, 2021-12, 0.4, 0.1538, 5.7
>=80, 2021-13, 0.5, 0.1923, 6.2
>=80, 2021-14, -0.2, -0.0645, 6
>=80, 2021-15, -0.1, -0.0323, 5.9
>=80, 2021-16, -0.1, -0.0323, 5.8
>=80, 2021-17, -0.6, -0.1935, 5.2
>=80, 2021-18, -0.7, -0.2258, 4.5
>=80, 2021-19, -0.7, -0.2258, 3.8
>=80, 2021-20, -1.1, -0.3548, 2.7
>=80, 2021-21, -0.6, -0.1935, 2.1
>=80, 2021-22, -0.8, -0.2581, 1.3
>=80, 2021-23, -0.5, -0.1613, 0.8
>=80, 2021-24, -0.3, -0.0968, 0.5
>=80, 2021-25, -0.1, -0.0323, 0.4
>=80, 2021-26, -0.2, -0.0645, 0.2
>=80, 2021-27, 0.1, 0.0385, 0.3
>=80, 2021-28, -0.1, -0.0323, 0.2
>=80, 2021-29, 0.1, 0.0385, 0.3
>=80, 2021-30, 0.2, 0.0769, 0.5
>=80, 2021-31, 0.1, 0.0385, 0.6
>=80, 2021-32, 0.4, 0.1538, 1
>=80, 2021-33, 0.3, 0.1154, 1.3
>=80, 2021-34, 0.6, 0.2308, 1.9
>=80, 2021-35, 0.4, 0.1538, 2.3
>=80, 2021-36, 0.4, 0.1538, 2.7
