Week, difference, region, region_id, trend, value
2020-12, , Bayern, 9, , 0.1524
2020-13, 0.5029, Bayern, 9, 0.1875, 0.6553
2020-14, 1.5467, Bayern, 9, 0.5767, 2.2019
2020-15, 0.7695, Bayern, 9, 0.2869, 2.9715
2020-16, 0.6095, Bayern, 9, 0.2273, 3.581
2020-17, -0.9905, Bayern, 9, -0.5221, 2.5905
2020-18, -0.1981, Bayern, 9, -0.1044, 2.3924
2020-19, -0.541, Bayern, 9, -0.2851, 1.8515
2020-20, -0.861, Bayern, 9, -0.4538, 0.9905
2020-21, -0.2743, Bayern, 9, -0.1446, 0.7162
2020-22, -0.16, Bayern, 9, -0.0843, 0.5562
2020-23, -0.1676, Bayern, 9, -0.0884, 0.3886
2020-24, -0.0838, Bayern, 9, -0.0442, 0.3048
2020-25, -0.1219, Bayern, 9, -0.0643, 0.1829
2020-26, 0.0229, Bayern, 9, 0.0085, 0.2057
2020-27, -0.1448, Bayern, 9, -0.0763, 0.061
2020-28, 0.0305, Bayern, 9, 0.0114, 0.0914
2020-29, -0.061, Bayern, 9, -0.0321, 0.0305
2020-30, -0.0076, Bayern, 9, -0.004, 0.0229
2020-31, , Bayern, 9, , 0.0229
2020-32, 0.0076, Bayern, 9, 0.0028, 0.0305
2020-33, 0.0076, Bayern, 9, 0.0028, 0.0381
2020-34, -0.0229, Bayern, 9, -0.012, 0.0152
2020-35, 0.0229, Bayern, 9, 0.0085, 0.0381
2020-36, -0.0076, Bayern, 9, -0.004, 0.0305
2020-37, -0.0076, Bayern, 9, -0.004, 0.0229
2020-38, , Bayern, 9, , 0.0229
2020-39, 0.061, Bayern, 9, 0.0227, 0.0838
2020-40, 0.0076, Bayern, 9, 0.0028, 0.0914
2020-41, 0.0152, Bayern, 9, 0.0057, 0.1067
2020-42, 0.1067, Bayern, 9, 0.0398, 0.2133
2020-43, 0.0076, Bayern, 9, 0.0028, 0.221
2020-44, 0.2819, Bayern, 9, 0.1051, 0.5029
2020-45, 0.2971, Bayern, 9, 0.1108, 0.8
2020-46, 0.8762, Bayern, 9, 0.3267, 1.6762
2020-47, 0.5562, Bayern, 9, 0.2074, 2.2324
2020-48, 0.5029, Bayern, 9, 0.1875, 2.7353
2020-49, 1.1048, Bayern, 9, 0.4119, 3.8401
2020-50, 0.4191, Bayern, 9, 0.1562, 4.2591
2020-51, 1.8896, Bayern, 9, 0.7045, 6.1487
2020-52, -1.8972, Bayern, 9, -1, 4.2515
2020-53, 0.7391, Bayern, 9, 0.2756, 4.9906
2021-01, 2.682, Bayern, 9, 1, 7.6725
2021-02, -1.4629, Bayern, 9, -0.7711, 6.2096
2021-03, 1.0438, Bayern, 9, 0.3892, 7.2535
2021-04, -1.6381, Bayern, 9, -0.8635, 5.6154
2021-05, 0.0762, Bayern, 9, 0.0284, 5.6915
2021-06, -1.4781, Bayern, 9, -0.7791, 4.2134
2021-07, -0.9143, Bayern, 9, -0.4819, 3.2991
2021-08, -1.2495, Bayern, 9, -0.6586, 2.0496
2021-09, -0.1295, Bayern, 9, -0.0683, 1.92
2021-10, -0.5105, Bayern, 9, -0.2691, 1.4096
2021-11, -0.2362, Bayern, 9, -0.1245, 1.1734
2021-12, 0.1219, Bayern, 9, 0.0455, 1.2953
2021-13, , Bayern, 9, , 1.2953
2021-14, 0.0686, Bayern, 9, 0.0256, 1.3638
2021-15, 0.4191, Bayern, 9, 0.1562, 1.7829
2021-16, 0.0533, Bayern, 9, 0.0199, 1.8362
2021-17, -0.1143, Bayern, 9, -0.0602, 1.7219
2021-18, -0.0533, Bayern, 9, -0.0281, 1.6686
2021-19, -0.3429, Bayern, 9, -0.1807, 1.3257
2021-20, 0.1448, Bayern, 9, 0.054, 1.4705
2021-21, -0.2438, Bayern, 9, -0.1285, 1.2267
2021-22, -0.6553, Bayern, 9, -0.3454, 0.5714
2021-23, 0.0762, Bayern, 9, 0.0284, 0.6476
2021-24, 0.0152, Bayern, 9, 0.0057, 0.6629
2021-25, -0.2438, Bayern, 9, -0.1285, 0.4191
2021-26, -0.1829, Bayern, 9, -0.0964, 0.2362
2021-27, -0.0686, Bayern, 9, -0.0361, 0.1676
2021-28, -0.0762, Bayern, 9, -0.0402, 0.0914
2021-29, 0.0076, Bayern, 9, 0.0028, 0.099
2021-30, 0.0381, Bayern, 9, 0.0142, 0.1371
2021-31, 0.0305, Bayern, 9, 0.0114, 0.1676
2021-32, -0.0762, Bayern, 9, -0.0402, 0.0914
