Altersgruppe, Meldedatum, difference, trend, value
>=80, 2020-03-11, , , 0.4401
>=80, 2020-03-12, , , 0.4929
>=80, 2020-03-13, , , 0.6337
>=80, 2020-03-14, , , 0.8801
>=80, 2020-03-15, , , 1.0209
>=80, 2020-03-16, , , 1.373
>=80, 2020-03-17, , , 1.7074
>=80, 2020-03-18, 2.0066, 0.1155, 2.4467
>=80, 2020-03-19, 2.9748, 0.1712, 3.4676
>=80, 2020-03-20, 3.8373, 0.2209, 4.4709
>=80, 2020-03-21, 4.999, 0.2877, 5.8791
>=80, 2020-03-22, 6.46, 0.3718, 7.4809
>=80, 2020-03-23, 6.9528, 0.4002, 8.3258
>=80, 2020-03-24, 8.0266, 0.462, 9.734
>=80, 2020-03-25, 9.1707, 0.5279, 11.6174
>=80, 2020-03-26, 10.5085, 0.6049, 13.9761
>=80, 2020-03-27, 12.1807, 0.7011, 16.6516
>=80, 2020-03-28, 13.0608, 0.7518, 18.9399
>=80, 2020-03-29, 13.2544, 0.7629, 20.7353
>=80, 2020-03-30, 13.8529, 0.7974, 22.1787
>=80, 2020-03-31, 14.9618, 0.8612, 24.6958
>=80, 2020-04-01, 16.1235, 0.9281, 27.7409
>=80, 2020-04-02, 16.0531, 0.924, 30.0292
>=80, 2020-04-03, 14.9794, 0.8622, 31.631
>=80, 2020-04-04, 14.2753, 0.8217, 33.2152
>=80, 2020-04-05, 12.9552, 0.7457, 33.6905
>=80, 2020-04-06, 11.6526, 0.6707, 33.8313
>=80, 2020-04-07, 9.2939, 0.535, 33.9897
>=80, 2020-04-08, 6.0199, 0.3465, 33.7609
>=80, 2020-04-09, 3.5556, 0.2047, 33.5848
>=80, 2020-04-10, 1.725, 0.0993, 33.356
>=80, 2020-04-11, -2.0947, -0.1467, 31.1205
>=80, 2020-04-12, -3.0628, -0.2145, 30.6277
>=80, 2020-04-13, -3.2388, -0.2269, 30.5925
>=80, 2020-04-14, -5.1046, -0.3576, 28.8851
>=80, 2020-04-15, -6.6888, -0.4686, 27.0721
>=80, 2020-04-16, -7.3929, -0.5179, 26.1919
>=80, 2020-04-17, -8.8363, -0.619, 24.5197
>=80, 2020-04-18, -6.6008, -0.4624, 24.5197
