Meldedatum, difference, region, region_id, trend, value
2020-03-06, , Niedersachsen, 3, , 0.05
2020-03-07, , Niedersachsen, 3, , 0.0751
2020-03-08, , Niedersachsen, 3, , 0.0876
2020-03-09, , Niedersachsen, 3, , 0.0876
2020-03-10, , Niedersachsen, 3, , 0.0751
2020-03-11, , Niedersachsen, 3, , 0.1001
2020-03-12, , Niedersachsen, 3, , 0.1126
2020-03-13, 0.0876, Niedersachsen, 3, 0.0391, 0.1376
2020-03-14, 0.0625, Niedersachsen, 3, 0.0279, 0.1376
2020-03-15, 0.0876, Niedersachsen, 3, 0.0391, 0.1751
2020-03-16, 0.1376, Niedersachsen, 3, 0.0615, 0.2252
2020-03-17, 0.2502, Niedersachsen, 3, 0.1117, 0.3253
2020-03-18, 0.3253, Niedersachsen, 3, 0.1453, 0.4253
2020-03-19, 0.5129, Niedersachsen, 3, 0.2291, 0.6255
2020-03-20, 0.588, Niedersachsen, 3, 0.2626, 0.7256
2020-03-21, 0.8257, Niedersachsen, 3, 0.3687, 0.9633
2020-03-22, 0.9508, Niedersachsen, 3, 0.4246, 1.1259
2020-03-23, 0.9883, Niedersachsen, 3, 0.4413, 1.2135
2020-03-24, 1.0258, Niedersachsen, 3, 0.4581, 1.3511
2020-03-25, 1.1259, Niedersachsen, 3, 0.5028, 1.5512
2020-03-26, 1.0759, Niedersachsen, 3, 0.4804, 1.7014
2020-03-27, 1.2885, Niedersachsen, 3, 0.5754, 2.0141
2020-03-28, 1.276, Niedersachsen, 3, 0.5698, 2.2393
2020-03-29, 1.3386, Niedersachsen, 3, 0.5978, 2.4645
2020-03-30, 1.4386, Niedersachsen, 3, 0.6425, 2.6521
2020-03-31, 1.4887, Niedersachsen, 3, 0.6648, 2.8398
2020-04-01, 1.5637, Niedersachsen, 3, 0.6983, 3.115
2020-04-02, 1.6013, Niedersachsen, 3, 0.7151, 3.3026
2020-04-03, 1.3511, Niedersachsen, 3, 0.6034, 3.3652
2020-04-04, 1.3386, Niedersachsen, 3, 0.5978, 3.5779
2020-04-05, 1.0884, Niedersachsen, 3, 0.486, 3.5528
2020-04-06, 0.7381, Niedersachsen, 3, 0.3296, 3.3902
2020-04-07, 0.7256, Niedersachsen, 3, 0.324, 3.5653
2020-04-08, 0.3002, Niedersachsen, 3, 0.1341, 3.4152
2020-04-09, 0.2002, Niedersachsen, 3, 0.0894, 3.5028
2020-04-10, 0.1001, Niedersachsen, 3, 0.0447, 3.4653
2020-04-11, -0.4378, Niedersachsen, 3, -0.2187, 3.14
2020-04-12, -0.613, Niedersachsen, 3, -0.3062, 2.9398
2020-04-13, -0.3127, Niedersachsen, 3, -0.1562, 3.0775
2020-04-14, -0.7881, Niedersachsen, 3, -0.3938, 2.7772
2020-04-15, -0.5629, Niedersachsen, 3, -0.2812, 2.8523
2020-04-16, -0.8006, Niedersachsen, 3, -0.4, 2.7022
2020-04-17, -0.7381, Niedersachsen, 3, -0.3687, 2.7272
2020-04-18, -0.3753, Niedersachsen, 3, -0.1875, 2.7647
2020-04-19, -0.0625, Niedersachsen, 3, -0.0313, 2.8773
2020-04-20, -0.2502, Niedersachsen, 3, -0.125, 2.8273
2020-04-21, , Niedersachsen, 3, , 2.7772
2020-04-22, -0.2752, Niedersachsen, 3, -0.1375, 2.5771
2020-04-23, -0.3127, Niedersachsen, 3, -0.1563, 2.3894
2020-04-24, -0.5504, Niedersachsen, 3, -0.275, 2.1767
2020-04-25, -0.7256, Niedersachsen, 3, -0.3625, 2.0391
2020-04-26, -1.0633, Niedersachsen, 3, -0.5312, 1.8139
2020-04-27, -1.1259, Niedersachsen, 3, -0.5625, 1.7014
2020-04-28, -1.1884, Niedersachsen, 3, -0.5937, 1.5888
2020-04-29, -0.9883, Niedersachsen, 3, -0.4937, 1.5888
2020-04-30, -0.9132, Niedersachsen, 3, -0.4562, 1.4762
2020-05-01, -0.8382, Niedersachsen, 3, -0.4187, 1.3386
2020-05-02, -0.9257, Niedersachsen, 3, -0.4625, 1.1134
2020-05-03, -0.7756, Niedersachsen, 3, -0.3875, 1.0383
2020-05-04, -0.7881, Niedersachsen, 3, -0.3937, 0.9132
2020-05-05, -0.588, Niedersachsen, 3, -0.2937, 1.0008
2020-05-06, -0.7131, Niedersachsen, 3, -0.3562, 0.8757
2020-05-07, -0.6005, Niedersachsen, 3, -0.3, 0.8757
2020-05-08, -0.5129, Niedersachsen, 3, -0.2562, 0.8257
2020-05-09, -0.2127, Niedersachsen, 3, -0.1062, 0.9007
2020-05-10, -0.1126, Niedersachsen, 3, -0.0562, 0.9257
2020-05-11, 0.0125, Niedersachsen, 3, 0.0056, 0.9257
2020-05-12, -0.1126, Niedersachsen, 3, -0.0563, 0.8882
2020-05-13, -0.1251, Niedersachsen, 3, -0.0625, 0.7506
2020-05-14, -0.2377, Niedersachsen, 3, -0.1188, 0.638
2020-05-15, -0.2002, Niedersachsen, 3, -0.1, 0.6255
2020-05-16, -0.3127, Niedersachsen, 3, -0.1562, 0.588
2020-05-17, -0.3503, Niedersachsen, 3, -0.175, 0.5755
2020-05-18, -0.3253, Niedersachsen, 3, -0.1625, 0.6005
2020-05-19, -0.4003, Niedersachsen, 3, -0.2, 0.4879
2020-05-20, -0.2377, Niedersachsen, 3, -0.1188, 0.5129
2020-05-21, , Niedersachsen, 3, , 0.638
2020-05-22, -0.0375, Niedersachsen, 3, -0.0187, 0.588
2020-05-23, 0.0125, Niedersachsen, 3, 0.0056, 0.6005
2020-05-24, 0.025, Niedersachsen, 3, 0.0112, 0.6005
2020-05-25, -0.0375, Niedersachsen, 3, -0.0187, 0.5629
2020-05-26, 0.0751, Niedersachsen, 3, 0.0335, 0.5629
2020-05-27, 0.0751, Niedersachsen, 3, 0.0335, 0.588
2020-05-28, -0.1751, Niedersachsen, 3, -0.0875, 0.4629
2020-05-29, -0.0125, Niedersachsen, 3, -0.0063, 0.5755
