Altersgruppe, Meldedatum, difference, trend, value
60-79, 2020-03-05, , , 0.3
60-79, 2020-03-06, , , 0.4
60-79, 2020-03-07, , , 0.5
60-79, 2020-03-08, , , 0.7
60-79, 2020-03-09, , , 0.7
60-79, 2020-03-10, , , 0.9
60-79, 2020-03-11, , , 1.3
60-79, 2020-03-12, 1.7, 0.0526, 2
60-79, 2020-03-13, 2.3, 0.0713, 2.7
60-79, 2020-03-14, 3.2, 0.0977, 3.7
60-79, 2020-03-15, 3.8, 0.1155, 4.4
60-79, 2020-03-16, 4.4, 0.1354, 5.1
60-79, 2020-03-17, 5.8, 0.1758, 6.6
60-79, 2020-03-18, 7.1, 0.2166, 8.4
60-79, 2020-03-19, 8.7, 0.2658, 10.7
60-79, 2020-03-20, 10.9, 0.3324, 13.6
60-79, 2020-03-21, 12.4, 0.379, 16.1
60-79, 2020-03-22, 14.3, 0.4353, 18.7
60-79, 2020-03-23, 15.2, 0.4646, 20.3
60-79, 2020-03-24, 16, 0.4888, 22.6
60-79, 2020-03-25, 17.1, 0.5224, 25.5
60-79, 2020-03-26, 17.8, 0.5429, 28.5
60-79, 2020-03-27, 17.9, 0.5456, 31.5
60-79, 2020-03-28, 18.7, 0.5713, 34.8
60-79, 2020-03-29, 18.3, 0.5596, 37
60-79, 2020-03-30, 17.9, 0.5456, 38.2
60-79, 2020-03-31, 16.4, 0.5018, 39.1
60-79, 2020-04-01, 15.5, 0.4734, 41
60-79, 2020-04-02, 14, 0.4276, 42.5
60-79, 2020-04-03, 12.1, 0.3702, 43.6
60-79, 2020-04-04, 8.9, 0.2722, 43.8
60-79, 2020-04-05, 6.1, 0.1855, 43.1
60-79, 2020-04-06, 4.3, 0.1298, 42.5
60-79, 2020-04-07, 2.8, 0.0852, 41.9
60-79, 2020-04-08, -0.7, -0.0175, 40.3
60-79, 2020-04-09, -4, -0.0946, 38.6
60-79, 2020-04-10, -7.5, -0.1791, 36.1
60-79, 2020-04-11, -11.4, -0.2732, 32.3
60-79, 2020-04-12, -13, -0.3105, 30.1
60-79, 2020-04-13, -13.3, -0.3191, 29.1
60-79, 2020-04-14, -15.2, -0.3642, 26.6
60-79, 2020-04-15, -16.8, -0.4011, 23.5
60-79, 2020-04-16, -17.3, -0.4139, 21.3
60-79, 2020-04-17, -16.7, -0.3996, 19.4
60-79, 2020-04-18, -13.4, -0.3213, 18.9
60-79, 2020-04-19, -11.8, -0.2825, 18.3
60-79, 2020-04-20, -11.2, -0.2687, 17.9
60-79, 2020-04-21, -8.9, -0.2121, 17.8
60-79, 2020-04-22, -6.1, -0.147, 17.4
60-79, 2020-04-23, -5, -0.1193, 16.3
60-79, 2020-04-24, -4.5, -0.1078, 14.9
60-79, 2020-04-25, -5.1, -0.1213, 13.8
60-79, 2020-04-26, -5.4, -0.1299, 12.9
60-79, 2020-04-27, -5.8, -0.1383, 12.1
60-79, 2020-04-28, -6.2, -0.1478, 11.6
60-79, 2020-04-29, -6.7, -0.1592, 10.7
60-79, 2020-04-30, -6.5, -0.1543, 9.8
60-79, 2020-05-01, -5.7, -0.1358, 9.2
60-79, 2020-05-02, -5.6, -0.1331, 8.3
60-79, 2020-05-03, -5.4, -0.1281, 7.5
60-79, 2020-05-04, -4.9, -0.1179, 7.2
60-79, 2020-05-05, -5, -0.1195, 6.6
60-79, 2020-05-06, -4.5, -0.1072, 6.3
60-79, 2020-05-07, -3.8, -0.0918, 6
60-79, 2020-05-08, -3.5, -0.0846, 5.7
60-79, 2020-05-09, -2.7, -0.0644, 5.6
60-79, 2020-05-10, -1.9, -0.0449, 5.6
60-79, 2020-05-11, -1.5, -0.036, 5.7
60-79, 2020-05-12, -1.1, -0.0254, 5.5
60-79, 2020-05-13, -1, -0.023, 5.3
60-79, 2020-05-14, -1.1, -0.0253, 4.9
60-79, 2020-05-15, -1.2, -0.0289, 4.5
60-79, 2020-05-16, -1.3, -0.0317, 4.2
60-79, 2020-05-17, -1.7, -0.0409, 3.9
60-79, 2020-05-18, -1.9, -0.0444, 3.8
60-79, 2020-05-19, -1.9, -0.045, 3.6
60-79, 2020-05-20, -1.9, -0.0465, 3.4
60-79, 2020-05-21, -1.6, -0.0377, 3.3
60-79, 2020-05-22, -1.5, -0.036, 3
60-79, 2020-05-23, -1.5, -0.0352, 2.8
60-79, 2020-05-24, -1.2, -0.0275, 2.8
60-79, 2020-05-25, -1.1, -0.0253, 2.8
60-79, 2020-05-26, -0.9, -0.0215, 2.8
60-79, 2020-05-27, -0.6, -0.0143, 2.8
60-79, 2020-05-28, -0.7, -0.0172, 2.6
60-79, 2020-05-29, -0.2, -0.0057, 2.7
60-79, 2020-05-30, -0.2, -0.0038, 2.6
60-79, 2020-05-31, -0.3, -0.0083, 2.4
60-79, 2020-06-01, -0.3, -0.0079, 2.4
60-79, 2020-06-02, -0.5, -0.0131, 2.2
60-79, 2020-06-03, -0.8, -0.02, 1.9
60-79, 2020-06-04, -1, -0.0237, 1.6
60-79, 2020-06-05, -1.2, -0.0287, 1.5
60-79, 2020-06-06, -1.1, -0.0262, 1.5
60-79, 2020-06-07, -0.9, -0.0217, 1.5
60-79, 2020-06-08, -0.9, -0.022, 1.5
60-79, 2020-06-09, -0.7, -0.0162, 1.5
60-79, 2020-06-10, -0.4, -0.0087, 1.6
60-79, 2020-06-11, , -0.0008, 1.6
60-79, 2020-06-12, , -0.0011, 1.5
60-79, 2020-06-13, -0.1, -0.0036, 1.4
60-79, 2020-06-14, -0.3, -0.0061, 1.3
60-79, 2020-06-15, -0.2, -0.0057, 1.3
60-79, 2020-06-16, -0.3, -0.0066, 1.3
60-79, 2020-06-17, -0.3, -0.0078, 1.2
60-79, 2020-06-18, -0.3, -0.0077, 1.3
60-79, 2020-06-19, , -0.0012, 1.4
60-79, 2020-06-20, 0.3, 0.0081, 1.6
60-79, 2020-06-21, 0.5, 0.0147, 1.8
60-79, 2020-06-22, 0.5, 0.0142, 1.7
60-79, 2020-06-23, 0.5, 0.0149, 1.7
60-79, 2020-06-24, 0.6, 0.0178, 1.8
60-79, 2020-06-25, 0.4, 0.013, 1.7
60-79, 2020-06-26, 0.3, 0.0079, 1.7
60-79, 2020-06-27, , -0.0008, 1.6
60-79, 2020-06-28, -0.2, -0.0052, 1.5
60-79, 2020-06-29, -0.2, -0.0056, 1.5
60-79, 2020-06-30, -0.2, -0.0041, 1.6
60-79, 2020-07-01, -0.3, -0.0064, 1.5
60-79, 2020-07-02, -0.2, -0.004, 1.5
60-79, 2020-07-03, -0.3, -0.0061, 1.4
60-79, 2020-07-04, -0.2, -0.0057, 1.4
60-79, 2020-07-05, -0.2, -0.0041, 1.4
60-79, 2020-07-06, -0.1, -0.0026, 1.4
60-79, 2020-07-07, -0.3, -0.0062, 1.3
60-79, 2020-07-08, -0.3, -0.0072, 1.2
60-79, 2020-07-09, -0.2, -0.0057, 1.3
60-79, 2020-07-10, -0.1, -0.0021, 1.3
60-79, 2020-07-11, , 0.0005, 1.4
60-79, 2020-07-12, , 0.0005, 1.4
60-79, 2020-07-13, , 0.0003, 1.4
60-79, 2020-07-14, 0.1, 0.0032, 1.4
60-79, 2020-07-15, 0.2, 0.0049, 1.4
60-79, 2020-07-16, 0.1, 0.0046, 1.4
60-79, 2020-07-17, 0.2, 0.0051, 1.5
60-79, 2020-07-18, 0.2, 0.0049, 1.5
60-79, 2020-07-19, 0.2, 0.0057, 1.6
60-79, 2020-07-20, 0.2, 0.0059, 1.6
60-79, 2020-07-21, 0.2, 0.0069, 1.6
60-79, 2020-07-22, 0.4, 0.011, 1.8
60-79, 2020-07-23, 0.3, 0.01, 1.8
60-79, 2020-07-24, 0.3, 0.0091, 1.8
60-79, 2020-07-25, 0.4, 0.0122, 1.9
60-79, 2020-07-26, 0.4, 0.012, 2
60-79, 2020-07-27, 0.4, 0.0118, 2
60-79, 2020-07-28, 0.4, 0.0108, 2
60-79, 2020-07-29, 0.2, 0.0076, 2
60-79, 2020-07-30, 0.4, 0.0108, 2.1
60-79, 2020-07-31, 0.3, 0.0103, 2.1
60-79, 2020-08-01, 0.3, 0.0079, 2.2
60-79, 2020-08-02, 0.2, 0.0051, 2.1
60-79, 2020-08-03, 0.2, 0.0068, 2.2
60-79, 2020-08-04, 0.3, 0.0091, 2.3
60-79, 2020-08-05, 0.4, 0.0135, 2.5
60-79, 2020-08-06, 0.4, 0.0115, 2.5
60-79, 2020-08-07, 0.5, 0.0157, 2.7
60-79, 2020-08-08, 0.4, 0.0127, 2.6
60-79, 2020-08-09, 0.5, 0.0167, 2.7
60-79, 2020-08-10, 0.4, 0.0125, 2.6
60-79, 2020-08-11, 0.3, 0.0096, 2.6
60-79, 2020-08-12, , -0.0003, 2.4
60-79, 2020-08-13, , , 2.5
60-79, 2020-08-14, -0.3, -0.0074, 2.4
60-79, 2020-08-15, -0.2, -0.0037, 2.5
60-79, 2020-08-16, -0.2, -0.0053, 2.5
60-79, 2020-08-17, -0.1, -0.0024, 2.5
60-79, 2020-08-18, , 0.0003, 2.6
60-79, 2020-08-19, 0.3, 0.0086, 2.7
60-79, 2020-08-20, 0.2, 0.0061, 2.7
60-79, 2020-08-21, 0.5, 0.015, 2.8
60-79, 2020-08-22, 0.4, 0.0118, 2.8
60-79, 2020-08-23, 0.4, 0.0127, 2.9
60-79, 2020-08-24, 0.4, 0.0118, 2.9
60-79, 2020-08-25, 0.3, 0.0081, 2.9
60-79, 2020-08-26, 0.3, 0.0088, 3
60-79, 2020-08-27, 0.3, 0.0093, 3
60-79, 2020-08-28, 0.2, 0.0066, 3.1
60-79, 2020-08-29, 0.2, 0.0049, 3
60-79, 2020-08-30, 0.1, 0.0022, 2.9
60-79, 2020-08-31, 0.1, 0.0017, 3
60-79, 2020-09-01, , , 2.9
60-79, 2020-09-02, -0.3, -0.0065, 2.7
60-79, 2020-09-03, -0.3, -0.0077, 2.7
60-79, 2020-09-04, -0.3, -0.0083, 2.7
60-79, 2020-09-05, -0.2, -0.0037, 2.8
60-79, 2020-09-06, 0.1, 0.0024, 3
60-79, 2020-09-07, 0.1, 0.0039, 3.1
60-79, 2020-09-08, 0.4, 0.0118, 3.3
60-79, 2020-09-09, 0.8, 0.0242, 3.5
60-79, 2020-09-10, 1.2, 0.0372, 3.9
60-79, 2020-09-11, 1.3, 0.0404, 4
60-79, 2020-09-12, 1.6, 0.0475, 4.4
60-79, 2020-09-13, 1.6, 0.0489, 4.6
60-79, 2020-09-14, 1.7, 0.0516, 4.8
60-79, 2020-09-15, 1.7, 0.0507, 4.9
60-79, 2020-09-16, 1.9, 0.0568, 5.4
60-79, 2020-09-17, 1.9, 0.0568, 5.8
60-79, 2020-09-18, 2.2, 0.0669, 6.2
60-79, 2020-09-19, 2.1, 0.0648, 6.5
60-79, 2020-09-20, 2.1, 0.0641, 6.7
60-79, 2020-09-21, 2, 0.0605, 6.8
60-79, 2020-09-22, 2.1, 0.0634, 7
60-79, 2020-09-23, 1.4, 0.0423, 6.8
60-79, 2020-09-24, 1.2, 0.0369, 7
60-79, 2020-09-25, 1, 0.0292, 7.2
60-79, 2020-09-26, 0.7, 0.022, 7.2
60-79, 2020-09-27, 0.6, 0.0198, 7.4
60-79, 2020-09-28, 0.7, 0.0216, 7.5
60-79, 2020-09-29, 0.6, 0.0178, 7.6
60-79, 2020-09-30, 1.2, 0.0379, 8
60-79, 2020-10-01, 1.3, 0.0389, 8.2
60-79, 2020-10-02, 1.4, 0.044, 8.6
60-79, 2020-10-03, 1.9, 0.0577, 9.1
60-79, 2020-10-04, 2.3, 0.0717, 9.7
60-79, 2020-10-05, 2.5, 0.0751, 9.9
60-79, 2020-10-06, 2.8, 0.0854, 10.4
60-79, 2020-10-07, 3.3, 0.0994, 11.3
60-79, 2020-10-08, 4.5, 0.1359, 12.7
60-79, 2020-10-09, 5.3, 0.1616, 13.9
60-79, 2020-10-10, 6.2, 0.1897, 15.3
60-79, 2020-10-11, 6.3, 0.1915, 16
60-79, 2020-10-12, 7, 0.2127, 16.9
60-79, 2020-10-13, 7.6, 0.2306, 17.9
60-79, 2020-10-14, 8.1, 0.2485, 19.4
60-79, 2020-10-15, 8.8, 0.2673, 21.5
60-79, 2020-10-16, 10, 0.3053, 23.9
60-79, 2020-10-17, 11, 0.3354, 26.3
60-79, 2020-10-18, 12.1, 0.3701, 28.1
60-79, 2020-10-19, 12.1, 0.3706, 29
60-79, 2020-10-20, 12.9, 0.3927, 30.8
60-79, 2020-10-21, 14.6, 0.4468, 34.1
60-79, 2020-10-22, 16.2, 0.4952, 37.7
60-79, 2020-10-23, 18.2, 0.5559, 42.1
60-79, 2020-10-24, 20.2, 0.6152, 46.5
60-79, 2020-10-25, 22.2, 0.6778, 50.3
60-79, 2020-10-26, 24.4, 0.7459, 53.5
