Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Berlin, 11, , 0.3
2020-03-06, , Berlin, 11, , 0.5
2020-03-07, , Berlin, 11, , 0.7
2020-03-08, , Berlin, 11, , 0.7
2020-03-09, , Berlin, 11, , 1
2020-03-10, , Berlin, 11, , 1.6
2020-03-11, , Berlin, 11, , 2.3
2020-03-12, 3.1, Berlin, 11, 0.045, 3.3
2020-03-13, 3.8, Berlin, 11, 0.0559, 4.3
2020-03-14, 5.1, Berlin, 11, 0.0756, 5.8
2020-03-15, 5.9, Berlin, 11, 0.0868, 6.6
2020-03-16, 6, Berlin, 11, 0.0884, 7
2020-03-17, 6.6, Berlin, 11, 0.0969, 8.1
2020-03-18, 7.5, Berlin, 11, 0.1101, 9.8
2020-03-19, 9.3, Berlin, 11, 0.1367, 12.6
2020-03-20, 11.9, Berlin, 11, 0.1752, 16.2
2020-03-21, 13.4, Berlin, 11, 0.1982, 19.2
2020-03-22, 15.3, Berlin, 11, 0.2263, 21.9
2020-03-23, 16.1, Berlin, 11, 0.2371, 23.1
2020-03-24, 17.6, Berlin, 11, 0.2592, 25.7
2020-03-25, 18.8, Berlin, 11, 0.2777, 28.6
2020-03-26, 18.7, Berlin, 11, 0.2757, 31.3
2020-03-27, 18, Berlin, 11, 0.2649, 34.2
2020-03-28, 15.9, Berlin, 11, 0.2343, 35.1
2020-03-29, 15.2, Berlin, 11, 0.2243, 37.1
2020-03-30, 14.6, Berlin, 11, 0.2146, 37.6
2020-03-31, 12.1, Berlin, 11, 0.1789, 37.8
2020-04-01, 9.6, Berlin, 11, 0.1419, 38.2
2020-04-02, 5.4, Berlin, 11, 0.0792, 36.7
2020-04-03, 1.2, Berlin, 11, 0.0173, 35.3
2020-04-04, 1.1, Berlin, 11, 0.0165, 36.2
2020-04-05, -3.4, Berlin, 11, -0.0378, 33.7
2020-04-06, -4.1, Berlin, 11, -0.0458, 33.5
2020-04-07, -5, Berlin, 11, -0.0561, 32.8
2020-04-08, -5.7, Berlin, 11, -0.0638, 32.5
2020-04-09, -4.4, Berlin, 11, -0.0494, 32.2
2020-04-10, -4.8, Berlin, 11, -0.0534, 30.6
2020-04-11, -9.9, Berlin, 11, -0.1107, 26.4
2020-04-12, -8, Berlin, 11, -0.0891, 25.8
2020-04-13, -8.4, Berlin, 11, -0.0937, 25.2
2020-04-14, -9.9, Berlin, 11, -0.1113, 22.9
2020-04-15, -13.1, Berlin, 11, -0.147, 19.4
2020-04-16, -14.6, Berlin, 11, -0.1635, 17.6
2020-04-17, -15.2, Berlin, 11, -0.1702, 15.4
2020-04-18, -10, Berlin, 11, -0.1117, 16.4
2020-04-19, -9.6, Berlin, 11, -0.1071, 16.2
2020-04-20, -9.6, Berlin, 11, -0.1071, 15.6
2020-04-21, -7.6, Berlin, 11, -0.0854, 15.2
2020-04-22, -4.1, Berlin, 11, -0.0458, 15.3
2020-04-23, -3.2, Berlin, 11, -0.036, 14.4
2020-04-24, -1.1, Berlin, 11, -0.0128, 14.2
2020-04-25, -3.4, Berlin, 11, -0.0384, 12.9
2020-04-26, -4, Berlin, 11, -0.0448, 12.2
2020-04-27, -3.7, Berlin, 11, -0.0412, 11.9
2020-04-28, -3.1, Berlin, 11, -0.0342, 12.2
2020-04-29, -3, Berlin, 11, -0.0336, 12.3
2020-04-30, -2.5, Berlin, 11, -0.0281, 11.9
2020-05-01, -3.1, Berlin, 11, -0.0351, 11.1
2020-05-02, -3.2, Berlin, 11, -0.0354, 9.8
2020-05-03, -3.1, Berlin, 11, -0.0342, 9.2
2020-05-04, -2.5, Berlin, 11, -0.0275, 9.5
2020-05-05, -2.8, Berlin, 11, -0.0317, 9.3
2020-05-06, -3.7, Berlin, 11, -0.0412, 8.6
2020-05-07, -3.5, Berlin, 11, -0.0397, 8.4
2020-05-08, -2.7, Berlin, 11, -0.0302, 8.4
2020-05-09, -2, Berlin, 11, -0.022, 7.8
2020-05-10, -1.7, Berlin, 11, -0.0192, 7.4
2020-05-11, -2.7, Berlin, 11, -0.0299, 6.8
2020-05-12, -3.5, Berlin, 11, -0.039, 5.9
2020-05-13, -3.2, Berlin, 11, -0.0357, 5.4
2020-05-14, -2.9, Berlin, 11, -0.0329, 5.4
2020-05-15, -3.3, Berlin, 11, -0.0372, 5.1
2020-05-16, -2.4, Berlin, 11, -0.0272, 5.4
2020-05-17, -2.1, Berlin, 11, -0.0232, 5.4
2020-05-18, -1.4, Berlin, 11, -0.0159, 5.4
2020-05-19, -0.1, Berlin, 11, -0.0006, 5.8
2020-05-20, 0.6, Berlin, 11, 0.0088, 6
2020-05-21, 0.3, Berlin, 11, 0.004, 5.7
2020-05-22, -0.3, Berlin, 11, -0.0037, 4.7
2020-05-23, -0.1, Berlin, 11, -0.0015, 5.3
2020-05-24, -0.3, Berlin, 11, -0.0037, 5
2020-05-25, -0.5, Berlin, 11, -0.0052, 4.9
2020-05-26, -1.2, Berlin, 11, -0.0134, 4.6
2020-05-27, -2, Berlin, 11, -0.0229, 4
2020-05-28, -1.8, Berlin, 11, -0.0204, 3.9
2020-05-29, -0.5, Berlin, 11, -0.0055, 4.3
2020-05-30, -1.2, Berlin, 11, -0.0131, 4.1
2020-05-31, -0.5, Berlin, 11, -0.0061, 4.5
2020-06-01, 0.2, Berlin, 11, 0.0036, 5.2
2020-06-02, , Berlin, 11, , 4.6
2020-06-03, 1.1, Berlin, 11, 0.0169, 5.1
2020-06-04, 1.6, Berlin, 11, 0.0237, 5.5
2020-06-05, 1.4, Berlin, 11, 0.0213, 5.7
2020-06-06, 1.8, Berlin, 11, 0.0261, 5.9
2020-06-07, 1.2, Berlin, 11, 0.0173, 5.7
2020-06-08, , Berlin, 11, , 5.2
2020-06-09, 1.3, Berlin, 11, 0.0189, 5.9
2020-06-10, 1.2, Berlin, 11, 0.0177, 6.3
2020-06-11, 1.4, Berlin, 11, 0.0213, 6.9
2020-06-12, 1.8, Berlin, 11, 0.0261, 7.5
2020-06-13, 1.8, Berlin, 11, 0.0265, 7.7
2020-06-14, 3.4, Berlin, 11, 0.0502, 9.1
2020-06-15, 4, Berlin, 11, 0.0595, 9.2
2020-06-16, 3.4, Berlin, 11, 0.0494, 9.2
2020-06-17, 3.4, Berlin, 11, 0.0506, 9.8
2020-06-18, 3.1, Berlin, 11, 0.045, 10
