Altersgruppe, Meldedatum, difference, trend, value
35-59, 2020-03-05, , , 2514.3
35-59, 2020-03-06, , , 1821.4
35-59, 2020-03-07, , , 1086.7
35-59, 2020-03-08, , , 858.1
35-59, 2020-03-09, , , 707
35-59, 2020-03-10, , , 768.5
35-59, 2020-03-11, , , 730.3
35-59, 2020-03-12, -1954.7, -39.9799, 559.6
35-59, 2020-03-13, -1283.1, -26.244, 538.3
35-59, 2020-03-14, -499.6, -10.2181, 587.1
35-59, 2020-03-15, -204, -4.1727, 654.1
35-59, 2020-03-16, -26.8, -0.5481, 680.2
35-59, 2020-03-17, -158.9, -3.2494, 609.6
35-59, 2020-03-18, -189.9, -3.8849, 540.3
35-59, 2020-03-19, -54.7, -1.1183, 504.9
35-59, 2020-03-20, -126.1, -2.5795, 412.2
35-59, 2020-03-21, -279.9, -5.7253, 307.2
35-59, 2020-03-22, -406.9, -8.3219, 247.2
35-59, 2020-03-23, -464.6, -9.5022, 215.6
35-59, 2020-03-24, -443.3, -9.0672, 166.3
35-59, 2020-03-25, -422.5, -8.6415, 117.8
35-59, 2020-03-26, -420.6, -8.6022, 84.3
35-59, 2020-03-27, -352.9, -7.2173, 59.3
35-59, 2020-03-28, -260.5, -5.3277, 46.7
35-59, 2020-03-29, -208.4, -4.2615, 38.9
35-59, 2020-03-30, -181.3, -3.7083, 34.3
35-59, 2020-03-31, -139.5, -2.8522, 26.9
35-59, 2020-04-01, -95.3, -1.9499, 22.5
35-59, 2020-04-02, -70.9, -1.4493, 13.4
35-59, 2020-04-03, -50.4, -1.0314, 8.9
35-59, 2020-04-04, -43.4, -0.8885, 3.2
35-59, 2020-04-05, -39.4, -0.8064, -0.5
35-59, 2020-04-06, -38.5, -0.7871, -4.2
35-59, 2020-04-07, -33.3, -0.6801, -6.4
35-59, 2020-04-08, -33.2, -0.6784, -10.7
35-59, 2020-04-09, -25.7, -0.5251, -12.2
35-59, 2020-04-10, -25.8, -0.5279, -16.9
35-59, 2020-04-11, -26.8, -0.5486, -23.6
35-59, 2020-04-12, -27, -0.5513, -27.5
35-59, 2020-04-13, -24.2, -0.494, -28.3
35-59, 2020-04-14, -26.3, -0.5371, -32.7
35-59, 2020-04-15, -28.9, -0.5909, -39.6
35-59, 2020-04-16, -31.9, -0.653, -44.2
35-59, 2020-04-17, -28.4, -0.5817, -45.4
35-59, 2020-04-18, -17.7, -0.3628, -41.3
35-59, 2020-04-19, -12.7, -0.2599, -40.2
35-59, 2020-04-20, -11.4, -0.234, -39.8
35-59, 2020-04-21, -0.5, -0.0099, -33.1
35-59, 2020-04-22, 15.1, 0.2351, -24.5
35-59, 2020-04-23, 23.7, 0.3697, -20.4
35-59, 2020-04-24, 22.3, 0.3475, -23.1
35-59, 2020-04-25, 13, 0.202, -28.4
35-59, 2020-04-26, 10.2, 0.159, -30
35-59, 2020-04-27, 7.9, 0.123, -31.9
35-59, 2020-04-28, -3.6, -0.0739, -36.8
35-59, 2020-04-29, -15, -0.3075, -39.5
35-59, 2020-04-30, -22.2, -0.4532, -42.6
35-59, 2020-05-01, -16.4, -0.3351, -39.5
35-59, 2020-05-02, -11.9, -0.243, -40.3
35-59, 2020-05-03, -11.1, -0.2276, -41.1
35-59, 2020-05-04, -7.8, -0.1604, -39.7
35-59, 2020-05-05, -2.4, -0.0486, -39.1
35-59, 2020-05-06, 1.2, 0.0182, -38.4
35-59, 2020-05-07, 9.9, 0.155, -32.7
35-59, 2020-05-08, 8.6, 0.1349, -30.8
35-59, 2020-05-09, 19.2, 0.2999, -21
35-59, 2020-05-10, 28.9, 0.4499, -12.3
35-59, 2020-05-11, 28.8, 0.4492, -10.9
35-59, 2020-05-12, 33, 0.5141, -6.2
35-59, 2020-05-13, 33.4, 0.5205, -5
35-59, 2020-05-14, 25.4, 0.3962, -7.3
35-59, 2020-05-15, 21.4, 0.3344, -9.4
35-59, 2020-05-16, 4.3, 0.0663, -16.8
35-59, 2020-05-17, -10.9, -0.2224, -23.1
35-59, 2020-05-18, -12, -0.2456, -22.9
35-59, 2020-05-19, -19.7, -0.4027, -25.9
35-59, 2020-05-20, -20.8, -0.425, -25.8
35-59, 2020-05-21, -17.1, -0.3492, -24.3
35-59, 2020-05-22, -19.9, -0.4078, -29.3
35-59, 2020-05-23, -11.6, -0.2368, -28.3
35-59, 2020-05-24, -3.2, -0.0652, -26.3
35-59, 2020-05-25, -4.8, -0.0989, -27.7
35-59, 2020-05-26, -1.8, -0.0365, -27.6
35-59, 2020-05-27, -1, -0.0199, -26.7
35-59, 2020-05-28, -5.3, -0.1093, -29.7
35-59, 2020-05-29, 11.8, 0.184, -17.5
35-59, 2020-05-30, 13.6, 0.2119, -14.7
35-59, 2020-05-31, 14.8, 0.2303, -11.6
35-59, 2020-06-01, 17, 0.265, -10.7
35-59, 2020-06-02, 10.1, 0.1571, -17.6
35-59, 2020-06-03, -1.4, -0.0294, -28.2
35-59, 2020-06-04, 2.6, 0.041, -27
35-59, 2020-06-05, -12.8, -0.262, -30.3
35-59, 2020-06-06, -16, -0.3268, -30.7
35-59, 2020-06-07, -21.9, -0.4487, -33.5
35-59, 2020-06-08, -20.8, -0.4262, -31.6
35-59, 2020-06-09, 1, 0.0163, -16.5
35-59, 2020-06-10, 32.3, 0.5037, 4.1
35-59, 2020-06-11, 36.3, 0.5668, 9.3
35-59, 2020-06-12, 30.5, 0.4749, 0.1
35-59, 2020-06-13, 27.2, 0.4248, -3.5
35-59, 2020-06-14, 32.6, 0.5084, -0.9
35-59, 2020-06-15, 30.4, 0.4747, -1.1
35-59, 2020-06-16, 7.9, 0.1225, -8.7
35-59, 2020-06-17, -12.9, -0.2646, -8.8
35-59, 2020-06-18, 5.8, 0.091, 15.1
35-59, 2020-06-19, 54.2, 0.8452, 54.3
35-59, 2020-06-20, 106.3, 1.6577, 102.8
35-59, 2020-06-21, 124, 1.9333, 123.1
35-59, 2020-06-22, 127.5, 1.9877, 126.3
35-59, 2020-06-23, 145.8, 2.2742, 137.2
35-59, 2020-06-24, 137.4, 2.143, 128.6
35-59, 2020-06-25, 48.3, 0.7531, 63.4
35-59, 2020-06-26, -26.3, -0.538, 28
35-59, 2020-06-27, -113.5, -2.3212, -10.7
35-59, 2020-06-28, -147.7, -3.0205, -24.6
35-59, 2020-06-29, -153.1, -3.1317, -26.8
35-59, 2020-06-30, -169.9, -3.4746, -32.7
35-59, 2020-07-01, -167, -3.4151, -38.4
35-59, 2020-07-02, -96.7, -1.9784, -33.3
35-59, 2020-07-03, -61.2, -1.2515, -33.2
35-59, 2020-07-04, -14.8, -0.3035, -25.5
35-59, 2020-07-05, 3.6, 0.0565, -21
35-59, 2020-07-06, 4.6, 0.0717, -22.2
35-59, 2020-07-07, 9.6, 0.1492, -23.1
35-59, 2020-07-08, 19.9, 0.3107, -18.4
35-59, 2020-07-09, 16, 0.2501, -17.3
35-59, 2020-07-10, 17, 0.2655, -16.1
35-59, 2020-07-11, 9.6, 0.1493, -15.9
35-59, 2020-07-12, 5.7, 0.0882, -15.3
35-59, 2020-07-13, 8.4, 0.1307, -13.8
35-59, 2020-07-14, 14.8, 0.2304, -8.4
35-59, 2020-07-15, 12.3, 0.1923, -6.1
35-59, 2020-07-16, 14.6, 0.2276, -2.7
35-59, 2020-07-17, 21.8, 0.3392, 5.6
35-59, 2020-07-18, 30.7, 0.4781, 14.7
35-59, 2020-07-19, 42.5, 0.6628, 27.2
35-59, 2020-07-20, 44.1, 0.6881, 30.3
35-59, 2020-07-21, 39.4, 0.614, 31
35-59, 2020-07-22, 39.5, 0.6165, 33.4
35-59, 2020-07-23, 44.1, 0.6873, 41.4
35-59, 2020-07-24, 34.4, 0.5362, 40
35-59, 2020-07-25, 29.1, 0.4543, 43.9
35-59, 2020-07-26, 9.8, 0.1523, 37
35-59, 2020-07-27, 7.7, 0.1194, 38
35-59, 2020-07-28, 6.7, 0.104, 37.7
35-59, 2020-07-29, 6.3, 0.098, 39.7
35-59, 2020-07-30, -7.4, -0.1517, 34
35-59, 2020-07-31, -5.9, -0.1211, 34.1
35-59, 2020-08-01, -17.4, -0.3565, 26.4
35-59, 2020-08-02, -16.3, -0.3325, 20.7
35-59, 2020-08-03, -19, -0.3894, 18.9
35-59, 2020-08-04, -14.3, -0.2924, 23.4
35-59, 2020-08-05, -18.6, -0.3808, 21.1
35-59, 2020-08-06, -15.7, -0.3216, 18.3
35-59, 2020-08-07, -14.4, -0.2941, 19.7
35-59, 2020-08-08, -8.1, -0.1664, 18.3
35-59, 2020-08-09, -0.5, -0.0099, 20.2
35-59, 2020-08-10, -0.2, -0.0038, 18.7
35-59, 2020-08-11, -6.4, -0.1305, 17
35-59, 2020-08-12, -5.8, -0.1178, 15.4
35-59, 2020-08-13, 0.3, 0.0046, 18.6
35-59, 2020-08-14, -3.8, -0.0777, 15.9
35-59, 2020-08-15, , -0.0006, 18.3
35-59, 2020-08-16, -2.7, -0.0546, 17.5
35-59, 2020-08-17, 2.6, 0.0409, 21.4
35-59, 2020-08-18, 3.7, 0.057, 20.7
35-59, 2020-08-19, 6.6, 0.1027, 21.9
35-59, 2020-08-20, 1.1, 0.0168, 19.7
35-59, 2020-08-21, 1.9, 0.0302, 17.8
35-59, 2020-08-22, 1.4, 0.0214, 19.6
35-59, 2020-08-23, 4.7, 0.0734, 22.3
35-59, 2020-08-24, -2.2, -0.0453, 19.1
35-59, 2020-08-25, -7.3, -0.1503, 13.3
35-59, 2020-08-26, -12.8, -0.2615, 9.2
35-59, 2020-08-27, -14.6, -0.2987, 5.1
35-59, 2020-08-28, -14.5, -0.2961, 3.4
35-59, 2020-08-29, -25.1, -0.5139, -5.5
35-59, 2020-08-30, -30.9, -0.631, -8.6
35-59, 2020-08-31, -28.2, -0.5773, -9.1
35-59, 2020-09-01, -23.9, -0.4891, -10.6
35-59, 2020-09-02, -20.5, -0.4201, -11.4
35-59, 2020-09-03, -16.7, -0.3408, -11.6
35-59, 2020-09-04, -15.9, -0.326, -12.6
35-59, 2020-09-05, -1.5, -0.0297, -6.9
35-59, 2020-09-06, 7, 0.1097, -1.6
35-59, 2020-09-07, 8.2, 0.1286, -0.8
35-59, 2020-09-08, 15.8, 0.2462, 5.2
35-59, 2020-09-09, 19.9, 0.3104, 8.5
35-59, 2020-09-10, 28.2, 0.4396, 16.6
35-59, 2020-09-11, 32.8, 0.5107, 20.2
35-59, 2020-09-12, 27, 0.4205, 20
35-59, 2020-09-13, 16.4, 0.2557, 14.8
35-59, 2020-09-14, 16.8, 0.2614, 15.9
35-59, 2020-09-15, 10.1, 0.1569, 15.3
35-59, 2020-09-16, 11.5, 0.18, 20.1
35-59, 2020-09-17, 1.7, 0.0261, 18.3
35-59, 2020-09-18, 5.4, 0.0847, 25.6
35-59, 2020-09-19, 9.3, 0.1444, 29.3
35-59, 2020-09-20, 16.5, 0.2568, 31.3
35-59, 2020-09-21, 13.8, 0.2146, 29.7
35-59, 2020-09-22, 11.2, 0.1754, 26.5
35-59, 2020-09-23, -1.9, -0.0383, 18.2
35-59, 2020-09-24, -3.8, -0.0768, 14.5
35-59, 2020-09-25, -19.7, -0.4025, 5.9
35-59, 2020-09-26, -24.8, -0.5066, 4.5
35-59, 2020-09-27, -24.8, -0.5074, 6.5
35-59, 2020-09-28, -21.7, -0.4445, 8
35-59, 2020-09-29, -15.7, -0.3218, 10.8
35-59, 2020-09-30, -3, -0.0616, 15.2
35-59, 2020-10-01, 4.3, 0.0668, 18.8
35-59, 2020-10-02, 19.1, 0.2975, 25
35-59, 2020-10-03, 19.8, 0.3094, 24.4
35-59, 2020-10-04, 16.9, 0.2639, 23.4
35-59, 2020-10-05, 15.6, 0.2433, 23.6
35-59, 2020-10-06, 15, 0.2339, 25.8
35-59, 2020-10-07, 19.1, 0.2972, 34.2
35-59, 2020-10-08, 25.2, 0.3926, 44
35-59, 2020-10-09, 25, 0.3901, 50
35-59, 2020-10-10, 37.7, 0.5881, 62.1
35-59, 2020-10-11, 44.8, 0.6983, 68.2
35-59, 2020-10-12, 49.1, 0.7652, 72.6
35-59, 2020-10-13, 49.9, 0.778, 75.7
35-59, 2020-10-14, 37, 0.5775, 71.3
35-59, 2020-10-15, 22.8, 0.3549, 66.7
35-59, 2020-10-16, 17.7, 0.2753, 67.7
35-59, 2020-10-17, 0.5, 0.0074, 62.5
35-59, 2020-10-18, -7.5, -0.1543, 60.7
35-59, 2020-10-19, -13.5, -0.2761, 59.1
35-59, 2020-10-20, -17.1, -0.3493, 58.6
35-59, 2020-10-21, -8.5, -0.1745, 62.7
35-59, 2020-10-22, 1, 0.0162, 67.8
35-59, 2020-10-23, 1.9, 0.0299, 69.6
35-59, 2020-10-24, 12, 0.1874, 74.6
35-59, 2020-10-25, 18.5, 0.2892, 79.2
35-59, 2020-10-26, 23.6, 0.3672, 82.7
35-59, 2020-10-27, 26.4, 0.412, 85
35-59, 2020-10-28, 20.3, 0.317, 83.1
35-59, 2020-10-29, 9.6, 0.1493, 77.3
35-59, 2020-10-30, 1.1, 0.0168, 70.7
35-59, 2020-10-31, -12.1, -0.2482, 62.4
35-59, 2020-11-01, -25.2, -0.515, 54
35-59, 2020-11-02, -32.4, -0.6635, 50.3
35-59, 2020-11-03, -40.7, -0.8317, 44.3
35-59, 2020-11-04, -46.2, -0.9443, 36.9
35-59, 2020-11-05, -48.8, -0.999, 28.5
35-59, 2020-11-06, -48.9, -1, 21.8
35-59, 2020-11-07, -45, -0.921, 17.4
35-59, 2020-11-08, -38.2, -0.7803, 15.9
35-59, 2020-11-09, -37.9, -0.7744, 12.4
35-59, 2020-11-10, -34.6, -0.7083, 9.7
35-59, 2020-11-11, -30.1, -0.6151, 6.8
35-59, 2020-11-12, -23.1, -0.4729, 5.4
35-59, 2020-11-13, -16.9, -0.3454, 4.9
35-59, 2020-11-14, -14.6, -0.2992, 2.8
35-59, 2020-11-15, -14.6, -0.2983, 1.3
35-59, 2020-11-16, -11.7, -0.2401, 0.7
35-59, 2020-11-17, -10.5, -0.2156, -0.8
35-59, 2020-11-18, -7.1, -0.1449, -0.3
35-59, 2020-11-19, -5, -0.1017, 0.4
35-59, 2020-11-20, -5.7, -0.1162, -0.8
35-59, 2020-11-21, -2.1, -0.0434, 0.6
35-59, 2020-11-22, -1.1, -0.0231, 0.2
35-59, 2020-11-23, 0.2, 0.0038, 0.9
35-59, 2020-11-24, 3.1, 0.0484, 2.3
35-59, 2020-11-25, 0.9, 0.0133, 0.6
35-59, 2020-11-26, -2.3, -0.0463, -1.9
35-59, 2020-11-27, -1.5, -0.0315, -2.3
35-59, 2020-11-28, -6.3, -0.1287, -5.6
35-59, 2020-11-29, -5.1, -0.1045, -5
35-59, 2020-11-30, -5.8, -0.1183, -4.9
35-59, 2020-12-01, -9.3, -0.1902, -7
35-59, 2020-12-02, -7.4, -0.1518, -6.8
35-59, 2020-12-03, -2.5, -0.0503, -4.3
35-59, 2020-12-04, -0.4, -0.0081, -2.7
35-59, 2020-12-05, 7, 0.1094, 1.4
35-59, 2020-12-06, 6.6, 0.1023, 1.6
35-59, 2020-12-07, 7.7, 0.1203, 2.8
35-59, 2020-12-08, 14.9, 0.2326, 7.9
35-59, 2020-12-09, 19, 0.2958, 12.1
35-59, 2020-12-10, 19.1, 0.2983, 14.8
35-59, 2020-12-11, 20.6, 0.3207, 17.8
35-59, 2020-12-12, 18.4, 0.2862, 19.7
35-59, 2020-12-13, 21.2, 0.3309, 22.8
35-59, 2020-12-14, 20.4, 0.3179, 23.2
35-59, 2020-12-15, 13.4, 0.2084, 21.3
35-59, 2020-12-16, 8.4, 0.1308, 20.5
35-59, 2020-12-17, 3.8, 0.0593, 18.6
35-59, 2020-12-18, -1.3, -0.0274, 16.5
35-59, 2020-12-19, -4.8, -0.0992, 14.9
35-59, 2020-12-20, -10.1, -0.2058, 12.8
35-59, 2020-12-21, -10.9, -0.2233, 12.3
35-59, 2020-12-22, -9.4, -0.1915, 11.9
35-59, 2020-12-23, -10.2, -0.2085, 10.3
35-59, 2020-12-24, -8.7, -0.1782, 9.9
35-59, 2020-12-25, -14.7, -0.301, 1.8
35-59, 2020-12-26, -24.8, -0.507, -9.9
35-59, 2020-12-27, -29.7, -0.607, -16.9
35-59, 2020-12-28, -32.5, -0.6642, -20.2
35-59, 2020-12-29, -35.1, -0.7177, -23.2
35-59, 2020-12-30, -35.4, -0.7242, -25.1
35-59, 2020-12-31, -38.3, -0.7832, -28.4
35-59, 2021-01-01, -27.2, -0.557, -25.5
35-59, 2021-01-02, -9.4, -0.1924, -19.3
35-59, 2021-01-03, 2, 0.0313, -14.9
35-59, 2021-01-04, 7.3, 0.1132, -12.9
35-59, 2021-01-05, 11.8, 0.1841, -11.4
35-59, 2021-01-06, 14.7, 0.2287, -10.4
35-59, 2021-01-07, 18.3, 0.2859, -10.1
