Week, difference, region, region_id, trend, value
2020-12, , Brandenburg, 12, , 6.2
2020-13, -0.3, Brandenburg, 12, -0.0638, 5.9
2020-14, 0.9, Brandenburg, 12, 0.2143, 6.8
2020-15, 0.7, Brandenburg, 12, 0.1667, 7.5
2020-16, -2.2, Brandenburg, 12, -0.4681, 5.3
2020-17, -0.2, Brandenburg, 12, -0.0426, 5.1
2020-18, -1.1, Brandenburg, 12, -0.234, 4
2020-19, -1.2, Brandenburg, 12, -0.2553, 2.8
2020-20, -1.7, Brandenburg, 12, -0.3617, 1.1
2020-21, -0.1, Brandenburg, 12, -0.0213, 1
2020-22, -0.5, Brandenburg, 12, -0.1064, 0.5
2020-23, -0.4, Brandenburg, 12, -0.0851, 0.1
2020-24, 0.4, Brandenburg, 12, 0.0952, 0.5
2020-25, , Brandenburg, 12, , 0.5
2020-26, -0.2, Brandenburg, 12, -0.0426, 0.3
2020-27, 0.1, Brandenburg, 12, 0.0238, 0.4
2020-28, -0.1, Brandenburg, 12, -0.0213, 0.3
2020-29, 0.1, Brandenburg, 12, 0.0238, 0.4
2020-30, 0.4, Brandenburg, 12, 0.0952, 0.8
2020-31, -0.1, Brandenburg, 12, -0.0213, 0.7
2020-32, -0.1, Brandenburg, 12, -0.0213, 0.6
2020-33, 0.2, Brandenburg, 12, 0.0476, 0.8
2020-34, -0.5, Brandenburg, 12, -0.1064, 0.3
2020-35, 0.1, Brandenburg, 12, 0.0238, 0.4
2020-36, 0.1, Brandenburg, 12, 0.0238, 0.5
2020-37, , Brandenburg, 12, , 0.5
2020-38, 0.6, Brandenburg, 12, 0.1429, 1.1
2020-39, -0.2, Brandenburg, 12, -0.0426, 0.9
2020-40, , Brandenburg, 12, , 0.9
2020-41, 1.1, Brandenburg, 12, 0.2619, 2
2020-42, 0.7, Brandenburg, 12, 0.1667, 2.7
2020-43, 0.8, Brandenburg, 12, 0.1905, 3.5
2020-44, 3, Brandenburg, 12, 0.7143, 6.5
2020-45, -1.2, Brandenburg, 12, -0.2553, 5.3
2020-46, 0.5, Brandenburg, 12, 0.119, 5.8
2020-47, 2.6, Brandenburg, 12, 0.619, 8.4
2020-48, -0.7, Brandenburg, 12, -0.1489, 7.7
2020-49, 3.1, Brandenburg, 12, 0.7381, 10.8
2020-50, 4.2, Brandenburg, 12, 1, 15
2020-51, 0.1, Brandenburg, 12, 0.0238, 15.1
2020-52, 1.7, Brandenburg, 12, 0.4048, 16.8
2020-53, 2, Brandenburg, 12, 0.4762, 18.8
2021-01, -3.5, Brandenburg, 12, -0.7447, 15.3
2021-02, -4.7, Brandenburg, 12, -1, 10.6
2021-03, -2.5, Brandenburg, 12, -0.5319, 8.1
2021-04, -0.4, Brandenburg, 12, -0.0851, 7.7
2021-05, -0.8, Brandenburg, 12, -0.1702, 6.9
2021-06, -0.8, Brandenburg, 12, -0.1702, 6.1
2021-07, -0.9, Brandenburg, 12, -0.1915, 5.2
2021-08, -0.5, Brandenburg, 12, -0.1064, 4.7
2021-09, -0.1, Brandenburg, 12, -0.0213, 4.6
2021-10, 0.5, Brandenburg, 12, 0.119, 5.1
2021-11, 1, Brandenburg, 12, 0.2381, 6.1
2021-12, 1.8, Brandenburg, 12, 0.4286, 7.9
2021-13, 2.5, Brandenburg, 12, 0.5952, 10.4
2021-14, -0.4, Brandenburg, 12, -0.0851, 10
2021-15, -0.7, Brandenburg, 12, -0.1489, 9.3
2021-16, -0.3, Brandenburg, 12, -0.0638, 9
2021-17, -1.3, Brandenburg, 12, -0.2766, 7.7
2021-18, -1.4, Brandenburg, 12, -0.2979, 6.3
2021-19, -0.1, Brandenburg, 12, -0.0213, 6.2
2021-20, -1.3, Brandenburg, 12, -0.2766, 4.9
2021-21, -2.1, Brandenburg, 12, -0.4468, 2.8
2021-22, -1, Brandenburg, 12, -0.2128, 1.8
2021-23, -0.9, Brandenburg, 12, -0.1915, 0.9
2021-24, -0.2, Brandenburg, 12, -0.0426, 0.7
2021-25, -0.2, Brandenburg, 12, -0.0426, 0.5
2021-26, , Brandenburg, 12, , 0.5
2021-27, 0.1, Brandenburg, 12, 0.0238, 0.6
2021-28, 0.2, Brandenburg, 12, 0.0476, 0.8
2021-29, -0.1, Brandenburg, 12, -0.0213, 0.7
2021-30, 0.5, Brandenburg, 12, 0.119, 1.2
2021-31, 0.3, Brandenburg, 12, 0.0714, 1.5
2021-32, 1.1, Brandenburg, 12, 0.2619, 2.6
