Week, difference, region, region_id, trend, value
2020-12, , Mecklenburg-Vorpommern, 13, , 2.7
2020-13, 0.7, Mecklenburg-Vorpommern, 13, 0.2593, 3.4
2020-14, -1.3, Mecklenburg-Vorpommern, 13, -0.3939, 2.1
2020-15, 1.6, Mecklenburg-Vorpommern, 13, 0.5926, 3.7
2020-16, -1.8, Mecklenburg-Vorpommern, 13, -0.5455, 1.9
2020-17, -0.2, Mecklenburg-Vorpommern, 13, -0.0606, 1.7
2020-18, -1.2, Mecklenburg-Vorpommern, 13, -0.3636, 0.5
2020-19, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.4
2020-20, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.3
2020-21, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.2
2020-22, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 0.4
2020-23, , Mecklenburg-Vorpommern, 13, , 0.4
2020-24, -0.3, Mecklenburg-Vorpommern, 13, -0.0909, 0.1
2020-25, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 0.3
2020-26, , Mecklenburg-Vorpommern, 13, , 0.3
2020-27, -0.3, Mecklenburg-Vorpommern, 13, -0.0909, 
2020-28, 0.1, Mecklenburg-Vorpommern, 13, 0.037, 0.1
2020-29, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 0.3
2020-30, -0.3, Mecklenburg-Vorpommern, 13, -0.0909, 
2020-31, 1, Mecklenburg-Vorpommern, 13, 0.3704, 1
2020-32, -0.4, Mecklenburg-Vorpommern, 13, -0.1212, 0.6
2020-33, -0.4, Mecklenburg-Vorpommern, 13, -0.1212, 0.2
2020-34, , Mecklenburg-Vorpommern, 13, , 0.2
2020-35, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.1
2020-36, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 0.3
2020-37, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.2
2020-38, 0.1, Mecklenburg-Vorpommern, 13, 0.037, 0.3
2020-39, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.2
2020-40, 0.7, Mecklenburg-Vorpommern, 13, 0.2593, 0.9
2020-41, -0.2, Mecklenburg-Vorpommern, 13, -0.0606, 0.7
2020-42, 0.6, Mecklenburg-Vorpommern, 13, 0.2222, 1.3
2020-43, 0.8, Mecklenburg-Vorpommern, 13, 0.2963, 2.1
2020-44, 0.9, Mecklenburg-Vorpommern, 13, 0.3333, 3
2020-45, 1.2, Mecklenburg-Vorpommern, 13, 0.4444, 4.2
2020-46, -0.6, Mecklenburg-Vorpommern, 13, -0.1818, 3.6
2020-47, 0.7, Mecklenburg-Vorpommern, 13, 0.2593, 4.3
2020-48, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 4.2
2020-49, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 4.1
2020-50, 1.1, Mecklenburg-Vorpommern, 13, 0.4074, 5.2
2020-51, 0.8, Mecklenburg-Vorpommern, 13, 0.2963, 6
2020-52, 1.4, Mecklenburg-Vorpommern, 13, 0.5185, 7.4
2020-53, 1.8, Mecklenburg-Vorpommern, 13, 0.6667, 9.2
2021-01, -0.5, Mecklenburg-Vorpommern, 13, -0.1515, 8.7
2021-02, -2.6, Mecklenburg-Vorpommern, 13, -0.7879, 6.1
2021-03, 1.1, Mecklenburg-Vorpommern, 13, 0.4074, 7.2
2021-04, , Mecklenburg-Vorpommern, 13, , 7.2
2021-05, 0.3, Mecklenburg-Vorpommern, 13, 0.1111, 7.5
2021-06, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 7.7
2021-07, 0.3, Mecklenburg-Vorpommern, 13, 0.1111, 8
2021-08, -1.2, Mecklenburg-Vorpommern, 13, -0.3636, 6.8
2021-09, -1.2, Mecklenburg-Vorpommern, 13, -0.3636, 5.6
2021-10, -0.9, Mecklenburg-Vorpommern, 13, -0.2727, 4.7
2021-11, 1, Mecklenburg-Vorpommern, 13, 0.3704, 5.7
2021-12, 1.5, Mecklenburg-Vorpommern, 13, 0.5556, 7.2
2021-13, 2.7, Mecklenburg-Vorpommern, 13, 1, 9.9
2021-14, -0.8, Mecklenburg-Vorpommern, 13, -0.2424, 9.1
2021-15, -1, Mecklenburg-Vorpommern, 13, -0.303, 8.1
2021-16, 0.4, Mecklenburg-Vorpommern, 13, 0.1481, 8.5
2021-17, -0.4, Mecklenburg-Vorpommern, 13, -0.1212, 8.1
2021-18, -1.9, Mecklenburg-Vorpommern, 13, -0.5758, 6.2
2021-19, -0.7, Mecklenburg-Vorpommern, 13, -0.2121, 5.5
2021-20, , Mecklenburg-Vorpommern, 13, , 5.5
2021-21, -3.3, Mecklenburg-Vorpommern, 13, -1, 2.2
2021-22, -1.1, Mecklenburg-Vorpommern, 13, -0.3333, 1.1
2021-23, -0.3, Mecklenburg-Vorpommern, 13, -0.0909, 0.8
2021-24, -0.4, Mecklenburg-Vorpommern, 13, -0.1212, 0.4
2021-25, , Mecklenburg-Vorpommern, 13, , 0.4
2021-26, -0.1, Mecklenburg-Vorpommern, 13, -0.0303, 0.3
2021-27, -0.2, Mecklenburg-Vorpommern, 13, -0.0606, 0.1
2021-28, 0.2, Mecklenburg-Vorpommern, 13, 0.0741, 0.3
2021-29, 0.1, Mecklenburg-Vorpommern, 13, 0.037, 0.4
2021-30, 0.6, Mecklenburg-Vorpommern, 13, 0.2222, 1
2021-31, , Mecklenburg-Vorpommern, 13, , 1
2021-32, 0.6, Mecklenburg-Vorpommern, 13, 0.2222, 1.6
