Week, difference, region, region_id, trend, value
2020-12, , Sachsen, 14, , 6.6
2020-13, 3.3, Sachsen, 14, 0.8462, 9.9
2020-14, 1.5, Sachsen, 14, 0.3846, 11.4
2020-15, -2.3, Sachsen, 14, -0.377, 9.1
2020-16, -2.7, Sachsen, 14, -0.4426, 6.4
2020-17, -1.2, Sachsen, 14, -0.1967, 5.2
2020-18, -2, Sachsen, 14, -0.3279, 3.2
2020-19, -0.7, Sachsen, 14, -0.1148, 2.5
2020-20, -1, Sachsen, 14, -0.1639, 1.5
2020-21, 0.1, Sachsen, 14, 0.0256, 1.6
2020-22, -0.8, Sachsen, 14, -0.1311, 0.8
2020-23, , Sachsen, 14, , 0.8
2020-24, -0.5, Sachsen, 14, -0.082, 0.3
2020-25, 0.6, Sachsen, 14, 0.1538, 0.9
2020-26, -0.6, Sachsen, 14, -0.0984, 0.3
2020-27, 0.4, Sachsen, 14, 0.1026, 0.7
2020-28, -0.4, Sachsen, 14, -0.0656, 0.3
2020-29, 0.1, Sachsen, 14, 0.0256, 0.4
2020-30, , Sachsen, 14, , 0.4
2020-31, 0.2, Sachsen, 14, 0.0513, 0.6
2020-32, 0.3, Sachsen, 14, 0.0769, 0.9
2020-33, 0.1, Sachsen, 14, 0.0256, 1
2020-34, 0.3, Sachsen, 14, 0.0769, 1.3
2020-35, 0.4, Sachsen, 14, 0.1026, 1.7
2020-36, -0.1, Sachsen, 14, -0.0164, 1.6
2020-37, 0.1, Sachsen, 14, 0.0256, 1.7
2020-38, 0.2, Sachsen, 14, 0.0513, 1.9
2020-39, 0.1, Sachsen, 14, 0.0256, 2
2020-40, 0.3, Sachsen, 14, 0.0769, 2.3
2020-41, 1.6, Sachsen, 14, 0.4103, 3.9
2020-42, 2.1, Sachsen, 14, 0.5385, 6
2020-43, 2.9, Sachsen, 14, 0.7436, 8.9
2020-44, 2.6, Sachsen, 14, 0.6667, 11.5
2020-45, -0.1, Sachsen, 14, -0.0164, 11.4
2020-46, 2, Sachsen, 14, 0.5128, 13.4
2020-47, 1.8, Sachsen, 14, 0.4615, 15.2
2020-48, 1.8, Sachsen, 14, 0.4615, 17
2020-49, 1.5, Sachsen, 14, 0.3846, 18.5
2020-50, 2.7, Sachsen, 14, 0.6923, 21.2
2020-51, 0.4, Sachsen, 14, 0.1026, 21.6
2020-52, 3.9, Sachsen, 14, 1, 25.5
2020-53, 2.5, Sachsen, 14, 0.641, 28
2021-01, -6.1, Sachsen, 14, -1, 21.9
2021-02, -5.8, Sachsen, 14, -0.9508, 16.1
2021-03, -2.4, Sachsen, 14, -0.3934, 13.7
2021-04, -1.6, Sachsen, 14, -0.2623, 12.1
2021-05, -1.8, Sachsen, 14, -0.2951, 10.3
2021-06, -1.4, Sachsen, 14, -0.2295, 8.9
2021-07, -1.1, Sachsen, 14, -0.1803, 7.8
2021-08, 0.4, Sachsen, 14, 0.1026, 8.2
2021-09, -1.3, Sachsen, 14, -0.2131, 6.9
2021-10, 1.5, Sachsen, 14, 0.3846, 8.4
2021-11, 1.6, Sachsen, 14, 0.4103, 10
2021-12, 1, Sachsen, 14, 0.2564, 11
2021-13, 0.7, Sachsen, 14, 0.1795, 11.7
2021-14, 2.3, Sachsen, 14, 0.5897, 14
2021-15, -1.9, Sachsen, 14, -0.3115, 12.1
2021-16, 1.5, Sachsen, 14, 0.3846, 13.6
2021-17, -1.3, Sachsen, 14, -0.2131, 12.3
2021-18, -0.5, Sachsen, 14, -0.082, 11.8
2021-19, -2.2, Sachsen, 14, -0.3607, 9.6
2021-20, -2.1, Sachsen, 14, -0.3443, 7.5
2021-21, -2.8, Sachsen, 14, -0.459, 4.7
2021-22, -1.7, Sachsen, 14, -0.2787, 3
2021-23, -1, Sachsen, 14, -0.1639, 2
2021-24, -0.8, Sachsen, 14, -0.1311, 1.2
2021-25, -0.3, Sachsen, 14, -0.0492, 0.9
2021-26, -0.3, Sachsen, 14, -0.0492, 0.6
2021-27, 0.1, Sachsen, 14, 0.0256, 0.7
2021-28, 0.1, Sachsen, 14, 0.0256, 0.8
2021-29, 0.1, Sachsen, 14, 0.0256, 0.9
2021-30, 0.3, Sachsen, 14, 0.0769, 1.2
2021-31, 0.5, Sachsen, 14, 0.1282, 1.7
2021-32, 0.6, Sachsen, 14, 0.1538, 2.3
