Altersgruppe, Week, difference, trend, value
0-4, 2020-12, , , 2
0-4, 2020-13, 0.9, 0.4091, 2.9
0-4, 2020-14, 1.5, 0.6818, 4.4
0-4, 2020-15, -0.3, -0.1667, 4.1
0-4, 2020-16, -1.1, -0.6111, 3
0-4, 2020-17, -0.7, -0.3889, 2.3
0-4, 2020-18, -1, -0.5556, 1.3
0-4, 2020-19, -0.4, -0.2222, 0.9
0-4, 2020-20, 0.2, 0.0909, 1.1
0-4, 2020-21, -0.1, -0.0556, 1
0-4, 2020-22, -0.1, -0.0556, 0.9
0-4, 2020-23, 0.2, 0.0909, 1.1
0-4, 2020-24, -0.4, -0.2222, 0.7
0-4, 2020-25, 0.1, 0.0455, 0.8
0-4, 2020-26, -0.2, -0.1111, 0.6
0-4, 2020-27, -0.2, -0.1111, 0.4
0-4, 2020-28, , , 0.4
0-4, 2020-29, -0.1, -0.0556, 0.3
0-4, 2020-30, 0.1, 0.0455, 0.4
0-4, 2020-31, 0.2, 0.0909, 0.6
0-4, 2020-32, , , 0.6
0-4, 2020-33, 0.4, 0.1818, 1
0-4, 2020-34, -0.1, -0.0556, 0.9
0-4, 2020-35, -0.4, -0.2222, 0.5
0-4, 2020-36, , , 0.5
0-4, 2020-37, 0.3, 0.1364, 0.8
0-4, 2020-38, 0.1, 0.0455, 0.9
0-4, 2020-39, -0.1, -0.0556, 0.8
0-4, 2020-40, 0.3, 0.1364, 1.1
0-4, 2020-41, 0.7, 0.3182, 1.8
0-4, 2020-42, 0.6, 0.2727, 2.4
0-4, 2020-43, 1.1, 0.5, 3.5
0-4, 2020-44, 0.4, 0.1818, 3.9
0-4, 2020-45, 0.1, 0.0455, 4
0-4, 2020-46, 0.6, 0.2727, 4.6
0-4, 2020-47, 0.1, 0.0455, 4.7
0-4, 2020-48, 0.1, 0.0455, 4.8
0-4, 2020-49, 0.1, 0.0455, 4.9
0-4, 2020-50, 1.3, 0.5909, 6.2
0-4, 2020-51, -0.2, -0.1111, 6
0-4, 2020-52, 0.4, 0.1818, 6.4
0-4, 2020-53, 2.2, 1, 8.6
0-4, 2021-01, 1.1, 0.5, 9.7
0-4, 2021-02, -1.8, -1, 7.9
0-4, 2021-03, -1.1, -0.6111, 6.8
0-4, 2021-04, -0.3, -0.1667, 6.5
0-4, 2021-05, 0.3, 0.1364, 6.8
0-4, 2021-06, -0.4, -0.2222, 6.4
0-4, 2021-07, -0.7, -0.3889, 5.7
0-4, 2021-08, 0.9, 0.4091, 6.6
0-4, 2021-09, -0.5, -0.2778, 6.1
0-4, 2021-10, -0.7, -0.3889, 5.4
0-4, 2021-11, -0.1, -0.0556, 5.3
0-4, 2021-12, 1.6, 0.7273, 6.9
0-4, 2021-13, 0.4, 0.1818, 7.3
0-4, 2021-14, 2, 0.9091, 9.3
0-4, 2021-15, -0.7, -0.3889, 8.6
0-4, 2021-16, , , 8.6
0-4, 2021-17, -0.7, -0.3889, 7.9
0-4, 2021-18, 0.1, 0.0455, 8
0-4, 2021-19, 0.2, 0.0909, 8.2
0-4, 2021-20, -1.5, -0.8333, 6.7
0-4, 2021-21, -1.7, -0.9444, 5
0-4, 2021-22, -1.6, -0.8889, 3.4
0-4, 2021-23, -1.1, -0.6111, 2.3
0-4, 2021-24, -0.6, -0.3333, 1.7
0-4, 2021-25, -0.8, -0.4444, 0.9
0-4, 2021-26, -0.3, -0.1667, 0.6
0-4, 2021-27, , , 0.6
0-4, 2021-28, 0.3, 0.1364, 0.9
0-4, 2021-29, 0.1, 0.0455, 1
0-4, 2021-30, 1.2, 0.5455, 2.2
0-4, 2021-31, 1.5, 0.6818, 3.7
0-4, 2021-32, 1.6, 0.7273, 5.3
